corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,det_final_v,fb_final_v,sns1_final_v,vref_final_v,i_mkfb_final_a
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.93249e-01,-3.61561e-01,3.33137e-03,2.11365e+00,7.90048e-01,1.23923e+00,4.91135e-15
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,3.25819e-01,-3.36728e-01,3.70785e-03,2.44365e+00,7.90111e-01,1.24077e+00,-4.19788e-15
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,3.58352e-01,-3.11750e-01,4.08568e-03,2.77365e+00,7.90174e-01,1.24224e+00,-8.05280e-14
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.93298e-01,-3.41047e-01,7.60230e-03,2.16526e+00,7.08464e-01,1.16228e+00,6.46837e-14
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,3.25189e-01,-3.16479e-01,8.49791e-03,2.49526e+00,7.08537e-01,1.16369e+00,9.69611e-14
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,3.55879e-01,-2.92419e-01,9.40530e-03,2.82526e+00,7.08611e-01,1.16504e+00,1.69715e-13
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.67392e-01,-2.96244e-01,2.68496e-02,2.26237e+00,5.80225e-01,1.04397e+00,4.81326e-11
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.74050e-01,-2.82870e-01,3.09149e-02,2.59237e+00,5.80311e-01,1.04524e+00,5.75729e-11
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.56393e-01,-2.77622e-01,3.53613e-02,2.92237e+00,5.80401e-01,1.04646e+00,6.96345e-11
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.94146e-01,-3.11564e-01,2.61633e-03,2.16997e+00,7.85334e-01,1.19021e+00,1.02899e-14
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,3.26713e-01,-2.86526e-01,2.90956e-03,2.49997e+00,7.85398e-01,1.19161e+00,-3.39547e-14
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,3.58992e-01,-2.61542e-01,3.20337e-03,2.82997e+00,7.85461e-01,1.19296e+00,3.76905e-14
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.92431e-01,-2.92634e-01,5.50345e-03,2.22089e+00,7.02351e-01,1.11137e+00,4.14579e-13
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,3.21730e-01,-2.69501e-01,6.13231e-03,2.55089e+00,7.02426e-01,1.11266e+00,5.24807e-13
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,3.45508e-01,-2.49504e-01,6.76489e-03,2.88089e+00,7.02501e-01,1.11389e+00,5.93826e-13
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.20388e-01,-2.69587e-01,1.68468e-02,2.31688e+00,5.72017e-01,9.90001e-01,1.46237e-10
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,1.84237e-01,-2.69774e-01,1.89834e-02,2.64688e+00,5.72105e-01,9.91163e-01,1.69142e-10
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,1.07441e-01,-2.69651e-01,2.11892e-02,2.97688e+00,5.72197e-01,9.92277e-01,1.96716e-10
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.92309e-01,-4.10487e-01,5.34921e-03,2.05712e+00,7.96181e-01,1.28955e+00,-2.78244e-15
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,3.24788e-01,-3.85948e-01,5.97187e-03,2.38712e+00,7.96243e-01,1.29124e+00,4.78226e-14
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,3.57262e-01,-3.61233e-01,6.60089e-03,2.71712e+00,7.96305e-01,1.29283e+00,-3.72705e-15
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.92860e-01,-3.89312e-01,1.41439e-02,2.10941e+00,7.16419e-01,1.21491e+00,1.26017e-14
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,3.25252e-01,-3.64669e-01,1.60251e-02,2.43941e+00,7.16492e-01,1.21646e+00,1.56274e-14
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,3.57390e-01,-3.39932e-01,1.79951e-02,2.76941e+00,7.16565e-01,1.21792e+00,4.00600e-14
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.84443e-01,-3.35319e-01,7.82471e-02,2.20765e+00,5.90908e-01,1.10032e+00,3.47113e-11
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,3.08093e-01,-3.14628e-01,1.14863e-01,2.53765e+00,5.90994e-01,1.10171e+00,7.64429e-11
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,3.23034e-01,-2.97513e-01,1.91542e-01,2.86764e+00,5.91085e-01,1.10306e+00,3.73998e-10
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.93251e-01,-3.82567e-01,4.75945e-03,2.14187e+00,7.90058e-01,1.23945e+00,7.72601e-16
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,3.25831e-01,-3.57238e-01,5.30625e-03,2.47187e+00,7.90122e-01,1.24100e+00,2.77056e-14
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,3.58398e-01,-3.31688e-01,5.85703e-03,2.80187e+00,7.90185e-01,1.24249e+00,3.41065e-14
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.93574e-01,-3.56863e-01,1.19299e-02,2.19313e+00,7.08477e-01,1.16250e+00,4.88567e-14
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,3.25902e-01,-3.31262e-01,1.34320e-02,2.52313e+00,7.08551e-01,1.16392e+00,5.22175e-14
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,3.57730e-01,-3.05668e-01,1.49801e-02,2.85313e+00,7.08625e-01,1.16528e+00,2.59115e-14
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.80105e-01,-2.97538e-01,5.67220e-02,2.28969e+00,5.80243e-01,1.04421e+00,4.48577e-11
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.98950e-01,-2.76927e-01,7.25665e-02,2.61968e+00,5.80330e-01,1.04549e+00,6.68632e-11
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,3.04443e-01,-2.60468e-01,9.73243e-02,2.94968e+00,5.80421e-01,1.04672e+00,1.18862e-10
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.93237e-01,-3.37828e-01,2.45751e-03,2.08544e+00,7.90038e-01,1.23901e+00,2.14554e-14
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,3.25771e-01,-3.13159e-01,2.73305e-03,2.41544e+00,7.90100e-01,1.24054e+00,7.82322e-15
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,3.58174e-01,-2.88470e-01,3.00910e-03,2.74544e+00,7.90162e-01,1.24200e+00,-5.68766e-14
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.92618e-01,-3.21265e-01,5.27349e-03,2.13739e+00,7.08451e-01,1.16206e+00,2.01655e-13
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,3.23436e-01,-2.97987e-01,5.87752e-03,2.46739e+00,7.08524e-01,1.16347e+00,2.03556e-13
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,3.51390e-01,-2.76465e-01,6.48548e-03,2.79739e+00,7.08598e-01,1.16481e+00,1.96129e-13
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.42868e-01,-2.97832e-01,1.64236e-02,2.23506e+00,5.80207e-01,1.04374e+00,7.46971e-11
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.26774e-01,-2.97157e-01,1.85306e-02,2.56506e+00,5.80293e-01,1.04501e+00,8.62024e-11
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,1.69711e-01,-3.08463e-01,2.07126e-02,2.89506e+00,5.80383e-01,1.04622e+00,9.99914e-11
