corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,det_final_v,fb_final_v,sns1_final_v,vref_final_v,i_mkfb_final_a
typ,hbt_typ,mos_tt,res_typ,-40,2.97,2u,PASS,2.93339e-01,-3.61495e-01,9.70014e-03,2.11365e+00,7.90048e-01,1.23923e+00,2.14299e-14
typ,hbt_typ,mos_tt,res_typ,-40,3.30,2u,PASS,3.25926e-01,-3.36649e-01,1.08414e-02,2.44365e+00,7.90111e-01,1.24077e+00,-3.42414e-14
typ,hbt_typ,mos_tt,res_typ,-40,3.63,2u,PASS,3.58499e-01,-3.11644e-01,1.19980e-02,2.77365e+00,7.90174e-01,1.24224e+00,2.66818e-14
typ,hbt_typ,mos_tt,res_typ,27,2.97,2u,PASS,2.93698e-01,-3.40788e-01,3.08703e-02,2.16526e+00,7.08464e-01,1.16228e+00,1.42788e-13
typ,hbt_typ,mos_tt,res_typ,27,3.30,2u,PASS,3.26103e-01,-3.15892e-01,3.56043e-02,2.49526e+00,7.08537e-01,1.16369e+00,1.87135e-13
typ,hbt_typ,mos_tt,res_typ,27,3.63,2u,PASS,3.58115e-01,-2.91007e-01,4.08358e-02,2.82526e+00,7.08611e-01,1.16504e+00,2.50371e-13
typ,hbt_typ,mos_tt,res_typ,125,2.97,2u,FAIL,2.87111e-01,-2.86347e-01,5.86949e-01,2.21532e+00,5.92471e-01,1.24410e+00,2.04481e-06
typ,hbt_typ,mos_tt,res_typ,125,3.30,2u,FAIL,3.12620e-01,-2.64492e-01,6.27405e-01,2.51488e+00,5.99686e-01,1.39578e+00,3.60031e-06
typ,hbt_typ,mos_tt,res_typ,125,3.63,2u,FAIL,3.31100e-01,-2.45487e-01,6.60549e-01,2.81329e+00,6.06610e-01,1.57086e+00,5.41202e-06
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,2u,PASS,2.94234e-01,-3.11499e-01,8.26702e-03,2.16997e+00,7.85334e-01,1.19021e+00,2.25493e-14
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,2u,PASS,3.26876e-01,-2.86407e-01,9.21561e-03,2.49997e+00,7.85398e-01,1.19161e+00,6.59761e-15
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,2u,PASS,3.59391e-01,-2.61253e-01,1.01709e-02,2.82997e+00,7.85461e-01,1.19296e+00,-7.99326e-14
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,2u,PASS,2.93916e-01,-2.91671e-01,2.16856e-02,2.22089e+00,7.02351e-01,1.11137e+00,6.24467e-13
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,2u,PASS,3.25497e-01,-2.67099e-01,2.44495e-02,2.55089e+00,7.02426e-01,1.11266e+00,7.80178e-13
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,2u,PASS,3.55203e-01,-2.43479e-01,2.73121e-02,2.88089e+00,7.02501e-01,1.11389e+00,1.01362e-12
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,2u,PASS,2.73959e-01,-2.44589e-01,1.82948e-01,2.31679e+00,5.72041e-01,9.90307e-01,3.54030e-09
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,2u,PASS,2.86211e-01,-2.28509e-01,3.02779e-01,2.64575e+00,5.72423e-01,9.95214e-01,4.50533e-08
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,2u,FAIL,2.79517e-01,-2.19065e-01,4.10555e-01,2.96639e+00,5.75118e-01,1.03081e+00,4.27756e-07
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,2u,PASS,2.92426e-01,-4.10403e-01,1.50865e-02,2.05712e+00,7.96181e-01,1.28955e+00,1.18642e-14
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,2u,PASS,3.24918e-01,-3.85854e-01,1.70518e-02,2.38712e+00,7.96243e-01,1.29124e+00,3.06574e-14
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,2u,PASS,3.57408e-01,-3.61128e-01,1.91002e-02,2.71712e+00,7.96305e-01,1.29283e+00,2.26430e-14
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,2u,PASS,2.93035e-01,-3.89198e-01,1.37843e-01,2.10941e+00,7.16419e-01,1.21491e+00,4.23473e-13
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,2u,PASS,3.25548e-01,-3.64479e-01,2.45643e-01,2.43941e+00,7.16492e-01,1.21646e+00,9.00302e-12
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,2u,PASS,3.57980e-01,-3.39557e-01,3.76312e-01,2.76940e+00,7.16567e-01,1.21796e+00,3.99886e-10
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,2u,FAIL,2.91391e-01,-3.31730e-01,8.14736e-01,2.02592e+00,6.30494e-01,2.14533e+00,1.00595e-05
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,2u,FAIL,3.21647e-01,-3.07805e-01,8.51729e-01,2.31093e+00,6.38102e-01,2.50185e+00,1.35473e-05
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,2u,FAIL,3.49549e-01,-2.84687e-01,8.86597e-01,2.59605e+00,6.45067e-01,2.89428e+00,1.74263e-05
sf,hbt_typ,mos_sf,res_typ,-40,2.97,2u,PASS,2.93342e-01,-3.82506e-01,1.35598e-02,2.14187e+00,7.90058e-01,1.23945e+00,-7.11724e-15
sf,hbt_typ,mos_sf,res_typ,-40,3.30,2u,PASS,3.25934e-01,-3.57169e-01,1.52438e-02,2.47187e+00,7.90122e-01,1.24100e+00,-3.98136e-14
sf,hbt_typ,mos_sf,res_typ,-40,3.63,2u,PASS,3.58521e-01,-3.31607e-01,1.69751e-02,2.80187e+00,7.90185e-01,1.24249e+00,2.53980e-14
sf,hbt_typ,mos_sf,res_typ,27,2.97,2u,PASS,2.93791e-01,-3.56736e-01,6.47139e-02,2.19313e+00,7.08477e-01,1.16250e+00,1.52252e-13
sf,hbt_typ,mos_sf,res_typ,27,3.30,2u,PASS,3.26341e-01,-3.31010e-01,8.68619e-02,2.52313e+00,7.08551e-01,1.16392e+00,3.12998e-13
sf,hbt_typ,mos_sf,res_typ,27,3.63,2u,PASS,3.58730e-01,-3.05104e-01,1.27999e-01,2.85313e+00,7.08625e-01,1.16528e+00,1.07970e-12
sf,hbt_typ,mos_sf,res_typ,125,2.97,2u,FAIL,2.90646e-01,-2.92832e-01,7.58337e-01,2.13429e+00,6.15952e-01,1.86136e+00,8.55395e-06
sf,hbt_typ,mos_sf,res_typ,125,3.30,2u,FAIL,3.19614e-01,-2.68130e-01,7.95716e-01,2.42124e+00,6.23795e-01,2.16872e+00,1.18184e-05
sf,hbt_typ,mos_sf,res_typ,125,3.63,2u,FAIL,3.44888e-01,-2.44557e-01,8.30848e-01,2.70792e+00,6.31018e-01,2.51326e+00,1.55036e-05
fs,hbt_typ,mos_fs,res_typ,-40,2.97,2u,PASS,2.93332e-01,-3.37757e-01,7.44052e-03,2.08544e+00,7.90038e-01,1.23901e+00,-5.66744e-14
fs,hbt_typ,mos_fs,res_typ,-40,3.30,2u,PASS,3.25904e-01,-3.13059e-01,8.29518e-03,2.41544e+00,7.90100e-01,1.24054e+00,-6.66777e-14
fs,hbt_typ,mos_fs,res_typ,-40,3.63,2u,PASS,3.58419e-01,-2.88286e-01,9.15625e-03,2.74544e+00,7.90162e-01,1.24200e+00,1.17347e-14
fs,hbt_typ,mos_fs,res_typ,27,2.97,2u,PASS,2.93469e-01,-3.20673e-01,2.03573e-02,2.13739e+00,7.08451e-01,1.16206e+00,2.62392e-13
fs,hbt_typ,mos_fs,res_typ,27,3.30,2u,PASS,3.25513e-01,-2.96550e-01,2.29827e-02,2.46739e+00,7.08524e-01,1.16347e+00,3.28574e-13
fs,hbt_typ,mos_fs,res_typ,27,3.63,2u,PASS,3.56601e-01,-2.72896e-01,2.57107e-02,2.79739e+00,7.08598e-01,1.16481e+00,3.98541e-13
fs,hbt_typ,mos_fs,res_typ,125,2.97,2u,PASS,2.80147e-01,-2.77540e-01,2.09721e-01,2.23499e+00,5.80229e-01,1.04403e+00,3.03014e-09
