corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,det_final_v,fb_final_v,sns1_final_v,vref_final_v,i_mkfb_final_a
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.93249e-01,-3.61558e-01,3.33137e-03,2.11365e+00,7.90048e-01,1.13204e+00,8.43803e-15
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,3.25817e-01,-3.36722e-01,3.70785e-03,2.44365e+00,7.90111e-01,1.13328e+00,-1.10713e-14
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,3.58346e-01,-3.11744e-01,4.08569e-03,2.77365e+00,7.90174e-01,1.13447e+00,-5.39756e-14
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.93298e-01,-3.41047e-01,7.60230e-03,2.16526e+00,7.08464e-01,1.05164e+00,6.46660e-14
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,3.25189e-01,-3.16479e-01,8.49791e-03,2.49526e+00,7.08537e-01,1.05277e+00,9.70275e-14
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,3.55879e-01,-2.92419e-01,9.40530e-03,2.82526e+00,7.08611e-01,1.05385e+00,1.69828e-13
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.67392e-01,-2.96244e-01,2.68496e-02,2.26237e+00,5.80225e-01,9.28381e-01,4.81326e-11
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.74050e-01,-2.82870e-01,3.09149e-02,2.59237e+00,5.80311e-01,9.29387e-01,5.75729e-11
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.56393e-01,-2.77622e-01,3.53613e-02,2.92237e+00,5.80401e-01,9.30361e-01,6.96345e-11
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.94145e-01,-3.11563e-01,2.61632e-03,2.16997e+00,7.85334e-01,1.09564e+00,5.50484e-15
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,3.26706e-01,-2.86527e-01,2.90957e-03,2.49997e+00,7.85398e-01,1.09677e+00,-1.94229e-14
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,3.58944e-01,-2.61567e-01,3.20338e-03,2.82997e+00,7.85461e-01,1.09787e+00,6.37766e-14
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.92431e-01,-2.92634e-01,5.50345e-03,2.22089e+00,7.02351e-01,1.01345e+00,4.14624e-13
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,3.21730e-01,-2.69501e-01,6.13231e-03,2.55089e+00,7.02426e-01,1.01448e+00,5.24954e-13
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,3.45508e-01,-2.49504e-01,6.76489e-03,2.88089e+00,7.02501e-01,1.01548e+00,5.93687e-13
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.20388e-01,-2.69586e-01,1.68468e-02,2.31688e+00,5.72017e-01,8.87338e-01,1.46237e-10
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,1.84237e-01,-2.69774e-01,1.89834e-02,2.64688e+00,5.72105e-01,8.88263e-01,1.69142e-10
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,1.07441e-01,-2.69651e-01,2.11892e-02,2.97688e+00,5.72197e-01,8.89165e-01,1.96716e-10
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.92309e-01,-4.10485e-01,5.34922e-03,2.05712e+00,7.96181e-01,1.16940e+00,1.29373e-14
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,3.24788e-01,-3.85943e-01,5.97174e-03,2.38712e+00,7.96243e-01,1.17073e+00,-7.72935e-14
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,3.57262e-01,-3.61225e-01,6.60091e-03,2.71712e+00,7.96305e-01,1.17201e+00,1.91041e-14
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.92860e-01,-3.89312e-01,1.41439e-02,2.10941e+00,7.16419e-01,1.09127e+00,1.25143e-14
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,3.25252e-01,-3.64669e-01,1.60251e-02,2.43941e+00,7.16492e-01,1.09248e+00,1.55384e-14
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,3.57390e-01,-3.39932e-01,1.79951e-02,2.76941e+00,7.16565e-01,1.09365e+00,4.01797e-14
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.84443e-01,-3.35319e-01,7.82471e-02,2.20765e+00,5.90908e-01,9.71550e-01,3.47113e-11
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,3.08093e-01,-3.14628e-01,1.14863e-01,2.53765e+00,5.90994e-01,9.72640e-01,7.64429e-11
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,3.23034e-01,-2.97513e-01,1.91542e-01,2.86764e+00,5.91085e-01,9.73709e-01,3.73998e-10
