corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,det_final_v,fb_final_v,sns1_final_v,vref_final_v,i_mkfb_final_a
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.93249e-01,-3.61558e-01,3.33137e-03,2.11365e+00,7.90048e-01,1.12099e+00,8.41688e-15
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,3.25817e-01,-3.36722e-01,3.70785e-03,2.44365e+00,7.90111e-01,1.12213e+00,-1.10884e-14
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,3.58346e-01,-3.11744e-01,4.08569e-03,2.77365e+00,7.90174e-01,1.12322e+00,-5.59899e-14
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.93298e-01,-3.41047e-01,7.60230e-03,2.16526e+00,7.08464e-01,1.04278e+00,6.46636e-14
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,3.25189e-01,-3.16479e-01,8.49791e-03,2.49526e+00,7.08537e-01,1.04383e+00,9.70474e-14
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,3.55879e-01,-2.92419e-01,9.40530e-03,2.82526e+00,7.08611e-01,1.04483e+00,1.69829e-13
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.67392e-01,-2.96244e-01,2.68496e-02,2.26237e+00,5.80225e-01,9.21812e-01,4.81326e-11
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.74050e-01,-2.82870e-01,3.09149e-02,2.59237e+00,5.80311e-01,9.22755e-01,5.75729e-11
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.56393e-01,-2.77622e-01,3.53613e-02,2.92237e+00,5.80401e-01,9.23666e-01,6.96345e-11
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.94145e-01,-3.11563e-01,2.61632e-03,2.16997e+00,7.85334e-01,1.08361e+00,5.53030e-15
