corner_label,mos_section,res_section,temp_c,vdd_v,status,det_on_v,fb_on_v,vtrip_v,det_off_v,fb_off_v
typ,mos_tt,res_typ,-40,2.97,PASS,2.970000e+00,1.963260e-04,6.11321e-01,3.34293e-04,2.97000e+00
typ,mos_tt,res_typ,-40,3.30,PASS,3.300000e+00,2.089816e-04,6.11611e-01,3.62960e-04,3.30000e+00
typ,mos_tt,res_typ,-40,3.63,PASS,3.630000e+00,2.238914e-04,6.11631e-01,3.93616e-04,3.63000e+00
typ,mos_tt,res_typ,27,2.97,PASS,2.969999e+00,2.555834e-04,5.61062e-01,4.42368e-04,2.97000e+00
typ,mos_tt,res_typ,27,3.30,PASS,3.299999e+00,2.682891e-04,5.62206e-01,4.75872e-04,3.30000e+00
typ,mos_tt,res_typ,27,3.63,PASS,3.629999e+00,2.833425e-04,5.63009e-01,5.11755e-04,3.63000e+00
typ,mos_tt,res_typ,125,2.97,PASS,2.969780e+00,3.578117e-04,4.71574e-01,6.74090e-04,2.96962e+00
typ,mos_tt,res_typ,125,3.30,PASS,3.299754e+00,3.709894e-04,4.74172e-01,7.16777e-04,3.29958e+00
typ,mos_tt,res_typ,125,3.63,PASS,3.629722e+00,3.867959e-04,4.76277e-01,7.62790e-04,3.62952e+00
bcs,mos_ff,res_bcs,-40,2.97,PASS,2.970000e+00,1.834307e-04,5.56606e-01,4.31659e-04,2.97000e+00
bcs,mos_ff,res_bcs,-40,3.30,PASS,3.300000e+00,1.944734e-04,5.56960e-01,4.68450e-04,3.30000e+00
bcs,mos_ff,res_bcs,-40,3.63,PASS,3.630000e+00,2.072302e-04,5.57043e-01,5.07263e-04,3.63000e+00
bcs,mos_ff,res_bcs,27,2.97,PASS,2.969998e+00,2.379603e-04,5.08723e-01,5.67863e-04,2.96999e+00
bcs,mos_ff,res_bcs,27,3.30,PASS,3.299997e+00,2.492316e-04,5.09966e-01,6.11035e-04,3.29999e+00
bcs,mos_ff,res_bcs,27,3.63,PASS,3.629997e+00,2.623432e-04,5.10828e-01,6.56696e-04,3.62999e+00
bcs,mos_ff,res_bcs,125,2.97,PASS,2.969425e+00,3.321450e-04,4.22558e-01,8.58857e-04,2.96865e+00
bcs,mos_ff,res_bcs,125,3.30,PASS,3.299355e+00,3.440567e-04,4.25277e-01,9.14103e-04,3.29848e+00
bcs,mos_ff,res_bcs,125,3.63,PASS,3.629270e+00,3.580761e-04,4.27479e-01,9.72909e-04,3.62828e+00
wcs,mos_ss,res_wcs,-40,2.97,PASS,2.970000e+00,2.082653e-04,6.67051e-01,2.75371e-04,2.97000e+00
wcs,mos_ss,res_wcs,-40,3.30,PASS,3.300000e+00,2.220500e-04,6.67306e-01,2.98840e-04,3.30000e+00
wcs,mos_ss,res_wcs,-40,3.63,PASS,3.630000e+00,2.385666e-04,6.67291e-01,3.24250e-04,3.63000e+00
wcs,mos_ss,res_wcs,27,2.97,PASS,2.970000e+00,2.720779e-04,6.14918e-01,3.66333e-04,2.97000e+00
wcs,mos_ss,res_wcs,27,3.30,PASS,3.300000e+00,2.856743e-04,6.16013e-01,3.93621e-04,3.30000e+00
wcs,mos_ss,res_wcs,27,3.63,PASS,3.630000e+00,3.020884e-04,6.16766e-01,4.23205e-04,3.63000e+00
wcs,mos_ss,res_wcs,125,2.97,PASS,2.969917e+00,3.820613e-04,5.22877e-01,5.61986e-04,2.96989e+00
wcs,mos_ss,res_wcs,125,3.30,PASS,3.299908e+00,3.958604e-04,5.25416e-01,5.96528e-04,3.29988e+00
wcs,mos_ss,res_wcs,125,3.63,PASS,3.629896e+00,4.127988e-04,5.27444e-01,6.34255e-04,3.62986e+00
sf,mos_sf,res_typ,-40,2.97,PASS,2.970000e+00,2.021906e-04,6.42399e-01,3.39145e-04,2.97000e+00
sf,mos_sf,res_typ,-40,3.30,PASS,3.300000e+00,2.154060e-04,6.42700e-01,3.68148e-04,3.30000e+00
sf,mos_sf,res_typ,-40,3.63,PASS,3.630000e+00,2.311086e-04,6.42729e-01,3.99351e-04,3.63000e+00
sf,mos_sf,res_typ,27,2.97,PASS,2.970000e+00,2.636977e-04,5.92099e-01,4.49992e-04,2.97000e+00
sf,mos_sf,res_typ,27,3.30,PASS,3.300000e+00,2.768517e-04,5.93261e-01,4.83804e-04,3.30000e+00
sf,mos_sf,res_typ,27,3.63,PASS,3.630000e+00,2.925822e-04,5.94078e-01,5.20235e-04,3.63000e+00
sf,mos_sf,res_typ,125,2.97,PASS,2.969880e+00,3.697544e-04,5.02871e-01,6.88036e-04,2.96980e+00
sf,mos_sf,res_typ,125,3.30,PASS,3.299866e+00,3.832555e-04,5.05480e-01,7.30986e-04,3.29977e+00
sf,mos_sf,res_typ,125,3.63,PASS,3.629848e+00,3.996331e-04,5.07579e-01,7.77578e-04,3.62974e+00
fs,mos_fs,res_typ,-40,2.97,PASS,2.970000e+00,1.897240e-04,5.79666e-01,3.28901e-04,2.97000e+00
fs,mos_fs,res_typ,-40,3.30,PASS,3.300000e+00,2.015502e-04,5.79953e-01,3.57019e-04,3.30000e+00
fs,mos_fs,res_typ,-40,3.63,PASS,3.630000e+00,2.153517e-04,5.79964e-01,3.86881e-04,3.63000e+00
fs,mos_fs,res_typ,27,2.97,PASS,2.969999e+00,2.465918e-04,5.29414e-01,4.33980e-04,2.97000e+00
fs,mos_fs,res_typ,27,3.30,PASS,3.299998e+00,2.585681e-04,5.30559e-01,4.66916e-04,3.30000e+00
fs,mos_fs,res_typ,27,3.63,PASS,3.629998e+00,2.726306e-04,5.31345e-01,5.01967e-04,3.63000e+00
fs,mos_fs,res_typ,125,2.97,PASS,2.969590e+00,3.447549e-04,4.39612e-01,6.58890e-04,2.96929e+00
fs,mos_fs,res_typ,125,3.30,PASS,3.299541e+00,3.572988e-04,4.42185e-01,7.00957e-04,3.29920e+00
fs,mos_fs,res_typ,125,3.63,PASS,3.629480e+00,3.722033e-04,4.44305e-01,7.46012e-04,3.62909e+00
