corner_label,mos_section,res_section,temp_c,vdd_v,status,det_on_v,fb_on_v,vtrip_v,det_off_v,fb_off_v
typ,mos_tt,res_typ,-40,2.97,PASS,2.970000e+00,1.945335e-04,6.37018e-01,8.07892e-04,2.97000e+00
typ,mos_tt,res_typ,-40,3.30,PASS,3.300000e+00,2.069900e-04,6.37555e-01,8.57136e-04,3.30000e+00
typ,mos_tt,res_typ,-40,3.63,PASS,3.630000e+00,2.217007e-04,6.37819e-01,9.15954e-04,3.63000e+00
typ,mos_tt,res_typ,27,2.97,PASS,2.970000e+00,2.537910e-04,6.05605e-01,1.22886e-03,2.97000e+00
typ,mos_tt,res_typ,27,3.30,PASS,3.300000e+00,2.662975e-04,6.07260e-01,1.28573e-03,3.30000e+00
typ,mos_tt,res_typ,27,3.63,PASS,3.630000e+00,2.811517e-04,6.08569e-01,1.35445e-03,3.63000e+00
typ,mos_tt,res_typ,125,2.97,PASS,2.969938e+00,3.560059e-04,5.44555e-01,2.17258e-03,2.96961e+00
typ,mos_tt,res_typ,125,3.30,PASS,3.299931e+00,3.689858e-04,5.48099e-01,2.24556e-03,3.29957e+00
typ,mos_tt,res_typ,125,3.63,PASS,3.629922e+00,3.845942e-04,5.51158e-01,2.33557e-03,3.62951e+00
bcs,mos_ff,res_bcs,-40,2.97,PASS,2.970000e+00,1.816383e-04,5.82300e-01,1.00618e-03,2.97000e+00
bcs,mos_ff,res_bcs,-40,3.30,PASS,3.300000e+00,1.924818e-04,5.82984e-01,1.06343e-03,3.30000e+00
bcs,mos_ff,res_bcs,-40,3.63,PASS,3.630000e+00,2.050395e-04,5.83391e-01,1.13043e-03,3.63000e+00
bcs,mos_ff,res_bcs,27,2.97,PASS,2.969999e+00,2.361678e-04,5.53945e-01,1.52491e-03,2.96999e+00
bcs,mos_ff,res_bcs,27,3.30,PASS,3.299999e+00,2.472400e-04,5.55828e-01,1.59217e-03,3.29999e+00
bcs,mos_ff,res_bcs,27,3.63,PASS,3.629999e+00,2.601524e-04,5.57336e-01,1.67185e-03,3.62999e+00
bcs,mos_ff,res_bcs,125,2.97,PASS,2.969835e+00,3.303201e-04,4.97510e-01,2.68751e-03,2.96860e+00
bcs,mos_ff,res_bcs,125,3.30,PASS,3.299814e+00,3.420354e-04,5.01418e-01,2.77559e-03,3.29843e+00
bcs,mos_ff,res_bcs,125,3.63,PASS,3.629790e+00,3.558577e-04,5.04822e-01,2.88194e-03,3.62822e+00
wcs,mos_ss,res_wcs,-40,2.97,PASS,2.970000e+00,2.064729e-04,6.93193e-01,6.85933e-04,2.97000e+00
wcs,mos_ss,res_wcs,-40,3.30,PASS,3.300000e+00,2.200584e-04,6.93646e-01,7.28786e-04,3.30000e+00
wcs,mos_ss,res_wcs,-40,3.63,PASS,3.630000e+00,2.363759e-04,6.93824e-01,7.80915e-04,3.63000e+00
wcs,mos_ss,res_wcs,27,2.97,PASS,2.970000e+00,2.702855e-04,6.59480e-01,1.04711e-03,2.97000e+00
wcs,mos_ss,res_wcs,27,3.30,PASS,3.300000e+00,2.836828e-04,6.61008e-01,1.09567e-03,3.30000e+00
wcs,mos_ss,res_wcs,27,3.63,PASS,3.630000e+00,2.998977e-04,6.62177e-01,1.15558e-03,3.63000e+00
wcs,mos_ss,res_wcs,125,2.97,PASS,2.969977e+00,3.802634e-04,5.95083e-01,1.85702e-03,2.96989e+00
wcs,mos_ss,res_wcs,125,3.30,PASS,3.299975e+00,3.938639e-04,5.98400e-01,1.91781e-03,3.29987e+00
wcs,mos_ss,res_wcs,125,3.63,PASS,3.629971e+00,4.106037e-04,6.01242e-01,1.99484e-03,3.62986e+00
sf,mos_sf,res_typ,-40,2.97,PASS,2.970000e+00,2.003981e-04,6.68664e-01,8.32193e-04,2.97000e+00
sf,mos_sf,res_typ,-40,3.30,PASS,3.300000e+00,2.134144e-04,6.69221e-01,8.83581e-04,3.30000e+00
sf,mos_sf,res_typ,-40,3.63,PASS,3.630000e+00,2.289179e-04,6.69499e-01,9.45527e-04,3.63000e+00
sf,mos_sf,res_typ,27,2.97,PASS,2.970000e+00,2.619053e-04,6.37271e-01,1.26818e-03,2.97000e+00
sf,mos_sf,res_typ,27,3.30,PASS,3.300000e+00,2.748601e-04,6.38961e-01,1.32698e-03,3.30000e+00
sf,mos_sf,res_typ,27,3.63,PASS,3.630000e+00,2.903915e-04,6.40291e-01,1.39877e-03,3.63000e+00
sf,mos_sf,res_typ,125,2.97,PASS,2.969967e+00,3.679544e-04,5.76526e-01,2.24571e-03,2.96979e+00
sf,mos_sf,res_typ,125,3.30,PASS,3.299963e+00,3.812571e-04,5.80112e-01,2.32027e-03,3.29977e+00
sf,mos_sf,res_typ,125,3.63,PASS,3.629958e+00,3.974363e-04,5.83173e-01,2.41346e-03,3.62973e+00
fs,mos_fs,res_typ,-40,2.97,PASS,2.970000e+00,1.879315e-04,6.04843e-01,7.80659e-04,2.97000e+00
fs,mos_fs,res_typ,-40,3.30,PASS,3.300000e+00,1.995586e-04,6.05363e-01,8.26663e-04,3.30000e+00
fs,mos_fs,res_typ,-40,3.63,PASS,3.630000e+00,2.131609e-04,6.05610e-01,8.81071e-04,3.63000e+00
fs,mos_fs,res_typ,27,2.97,PASS,2.970000e+00,2.447993e-04,5.73346e-01,1.18545e-03,2.97000e+00
fs,mos_fs,res_typ,27,3.30,PASS,3.299999e+00,2.565764e-04,5.75013e-01,1.23906e-03,3.30000e+00
fs,mos_fs,res_typ,27,3.63,PASS,3.629999e+00,2.704398e-04,5.76288e-01,1.30322e-03,3.63000e+00
fs,mos_fs,res_typ,125,2.97,PASS,2.969883e+00,3.429384e-04,5.11937e-01,2.09285e-03,2.96927e+00
fs,mos_fs,res_typ,125,3.30,PASS,3.299869e+00,3.552855e-04,5.15484e-01,2.16239e-03,3.29918e+00
fs,mos_fs,res_typ,125,3.63,PASS,3.629852e+00,3.699925e-04,5.18513e-01,2.24724e-03,3.62907e+00
