corner_label,mos_section,res_section,temp_c,vdd_v,status,det_on_v,fb_on_v,vtrip_v,det_off_v,fb_off_v
typ,mos_tt,res_typ,-40,2.97,PASS,2.970000e+00,1.963260e-04,6.11326e-01,4.90395e-04,2.97000e+00
typ,mos_tt,res_typ,-40,3.30,PASS,3.300000e+00,2.089816e-04,6.11615e-01,5.36407e-04,3.30000e+00
typ,mos_tt,res_typ,-40,3.63,PASS,3.630000e+00,2.238914e-04,6.11636e-01,5.84407e-04,3.63000e+00
typ,mos_tt,res_typ,27,2.97,PASS,2.969999e+00,2.555834e-04,5.61068e-01,6.23996e-04,2.97000e+00
typ,mos_tt,res_typ,27,3.30,PASS,3.299999e+00,2.682891e-04,5.62213e-01,6.77681e-04,3.30000e+00
typ,mos_tt,res_typ,27,3.63,PASS,3.629999e+00,2.833425e-04,5.63016e-01,7.33745e-04,3.63000e+00
typ,mos_tt,res_typ,125,2.97,PASS,2.969780e+00,3.578117e-04,4.71584e-01,9.02617e-04,2.96962e+00
typ,mos_tt,res_typ,125,3.30,PASS,3.299754e+00,3.709894e-04,4.74182e-01,9.70697e-04,3.29958e+00
typ,mos_tt,res_typ,125,3.63,PASS,3.629722e+00,3.867959e-04,4.76288e-01,1.04210e-03,3.62952e+00
bcs,mos_ff,res_bcs,-40,2.97,PASS,2.970000e+00,1.834307e-04,5.56612e-01,6.39787e-04,2.97000e+00
bcs,mos_ff,res_bcs,-40,3.30,PASS,3.300000e+00,1.944734e-04,5.56966e-01,6.99703e-04,3.30000e+00
bcs,mos_ff,res_bcs,-40,3.63,PASS,3.630000e+00,2.072302e-04,5.57050e-01,7.61642e-04,3.63000e+00
bcs,mos_ff,res_bcs,27,2.97,PASS,2.969998e+00,2.379603e-04,5.08731e-01,8.10024e-04,2.96999e+00
bcs,mos_ff,res_bcs,27,3.30,PASS,3.299997e+00,2.492316e-04,5.09975e-01,8.80102e-04,3.29999e+00
bcs,mos_ff,res_bcs,27,3.63,PASS,3.629997e+00,2.623432e-04,5.10837e-01,9.52669e-04,3.62999e+00
bcs,mos_ff,res_bcs,125,2.97,PASS,2.969425e+00,3.321450e-04,4.22572e-01,1.16355e-03,2.96864e+00
bcs,mos_ff,res_bcs,125,3.30,PASS,3.299355e+00,3.440567e-04,4.25291e-01,1.25265e-03,3.29847e+00
bcs,mos_ff,res_bcs,125,3.63,PASS,3.629271e+00,3.580761e-04,4.27493e-01,1.34531e-03,3.62827e+00
wcs,mos_ss,res_wcs,-40,2.97,PASS,2.970000e+00,2.082653e-04,6.67055e-01,4.00255e-04,2.97000e+00
wcs,mos_ss,res_wcs,-40,3.30,PASS,3.300000e+00,2.220500e-04,6.67310e-01,4.37601e-04,3.30000e+00
wcs,mos_ss,res_wcs,-40,3.63,PASS,3.630000e+00,2.385666e-04,6.67295e-01,4.76887e-04,3.63000e+00
