corner_label,mos_section,res_section,temp_c,vdd_v,status,det_on_v,fb_on_v,vtrip_v,det_off_v,fb_off_v
wcs,mos_ss,res_wcs,27,2.97,PASS,2.970000e+00,2.720779e-04,6.14923e-01,5.11640e-04,2.97000e+00
wcs,mos_ss,res_wcs,27,3.30,PASS,3.300000e+00,2.856743e-04,6.16018e-01,5.55072e-04,3.30000e+00
wcs,mos_ss,res_wcs,27,3.63,PASS,3.630000e+00,3.020884e-04,6.16772e-01,6.00802e-04,3.63000e+00
wcs,mos_ss,res_wcs,125,2.97,PASS,2.969917e+00,3.820613e-04,5.22886e-01,7.44813e-04,2.96989e+00
wcs,mos_ss,res_wcs,125,3.30,PASS,3.299908e+00,3.958604e-04,5.25424e-01,7.99669e-04,3.29988e+00
wcs,mos_ss,res_wcs,125,3.63,PASS,3.629896e+00,4.127988e-04,5.27452e-01,8.57710e-04,3.62986e+00
sf,mos_sf,res_typ,-40,2.97,PASS,2.970000e+00,2.021906e-04,6.42404e-01,4.95248e-04,2.97000e+00
sf,mos_sf,res_typ,-40,3.30,PASS,3.300000e+00,2.154060e-04,6.42705e-01,5.41594e-04,3.30000e+00
sf,mos_sf,res_typ,-40,3.63,PASS,3.630000e+00,2.311086e-04,6.42734e-01,5.90142e-04,3.63000e+00
sf,mos_sf,res_typ,27,2.97,PASS,2.970000e+00,2.636977e-04,5.92105e-01,6.31620e-04,2.97000e+00
sf,mos_sf,res_typ,27,3.30,PASS,3.300000e+00,2.768517e-04,5.93268e-01,6.85613e-04,3.30000e+00
sf,mos_sf,res_typ,27,3.63,PASS,3.630000e+00,2.925822e-04,5.94085e-01,7.42225e-04,3.63000e+00
sf,mos_sf,res_typ,125,2.97,PASS,2.969880e+00,3.697544e-04,5.02882e-01,9.16564e-04,2.96980e+00
sf,mos_sf,res_typ,125,3.30,PASS,3.299866e+00,3.832555e-04,5.05490e-01,9.84905e-04,3.29977e+00
sf,mos_sf,res_typ,125,3.63,PASS,3.629848e+00,3.996331e-04,5.07590e-01,1.05689e-03,3.62974e+00
fs,mos_fs,res_typ,-40,2.97,PASS,2.970000e+00,1.897240e-04,5.79671e-01,4.85003e-04,2.97000e+00
fs,mos_fs,res_typ,-40,3.30,PASS,3.300000e+00,2.015502e-04,5.79958e-01,5.30465e-04,3.30000e+00
fs,mos_fs,res_typ,-40,3.63,PASS,3.630000e+00,2.153517e-04,5.79969e-01,5.77673e-04,3.63000e+00
fs,mos_fs,res_typ,27,2.97,PASS,2.969999e+00,2.465918e-04,5.29421e-01,6.15609e-04,2.97000e+00
fs,mos_fs,res_typ,27,3.30,PASS,3.299998e+00,2.585681e-04,5.30566e-01,6.68725e-04,3.30000e+00
fs,mos_fs,res_typ,27,3.63,PASS,3.629998e+00,2.726306e-04,5.31351e-01,7.23957e-04,3.63000e+00
fs,mos_fs,res_typ,125,2.97,PASS,2.969590e+00,3.447549e-04,4.39623e-01,8.87418e-04,2.96929e+00
fs,mos_fs,res_typ,125,3.30,PASS,3.299541e+00,3.572988e-04,4.42196e-01,9.54877e-04,3.29920e+00
fs,mos_fs,res_typ,125,3.63,PASS,3.629481e+00,3.722033e-04,4.44316e-01,1.02532e-03,3.62909e+00
