corner_label,mos_section,res_section,temp_c,vdd_v,status,det_on_v,fb_on_v,vtrip_v,det_off_v,fb_off_v
typ,mos_tt,res_typ,-40,2.97,PASS,2.970000e+00,1.951760e-04,6.11321e-01,1.69169e-04,2.97000e+00
typ,mos_tt,res_typ,-40,3.30,PASS,3.300000e+00,2.077038e-04,6.11610e-01,1.79488e-04,3.30000e+00
typ,mos_tt,res_typ,-40,3.63,PASS,3.630000e+00,2.224859e-04,6.11629e-01,1.91796e-04,3.63000e+00
typ,mos_tt,res_typ,27,2.97,PASS,2.969999e+00,2.544335e-04,5.61062e-01,2.50268e-04,2.97000e+00
typ,mos_tt,res_typ,27,3.30,PASS,3.299999e+00,2.670114e-04,5.62206e-01,2.62423e-04,3.30000e+00
typ,mos_tt,res_typ,27,3.63,PASS,3.629999e+00,2.819369e-04,5.63009e-01,2.76959e-04,3.63000e+00
typ,mos_tt,res_typ,125,2.97,PASS,2.969780e+00,3.566617e-04,4.71576e-01,4.32454e-04,2.96962e+00
typ,mos_tt,res_typ,125,3.30,PASS,3.299754e+00,3.697117e-04,4.74173e-01,4.48283e-04,3.29958e+00
typ,mos_tt,res_typ,125,3.63,PASS,3.629722e+00,3.853904e-04,4.76278e-01,4.67438e-04,3.62952e+00
bcs,mos_ff,res_bcs,-40,2.97,PASS,2.970000e+00,1.822808e-04,5.56605e-01,2.11524e-04,2.97000e+00
bcs,mos_ff,res_bcs,-40,3.30,PASS,3.300000e+00,1.931957e-04,5.56958e-01,2.23853e-04,3.30000e+00
bcs,mos_ff,res_bcs,-40,3.63,PASS,3.630000e+00,2.058247e-04,5.57041e-01,2.38204e-04,3.63000e+00
bcs,mos_ff,res_bcs,27,2.97,PASS,2.969998e+00,2.368103e-04,5.08723e-01,3.11774e-04,2.96999e+00
bcs,mos_ff,res_bcs,27,3.30,PASS,3.299997e+00,2.479539e-04,5.09966e-01,3.26484e-04,3.29999e+00
bcs,mos_ff,res_bcs,27,3.63,PASS,3.629997e+00,2.609377e-04,5.10827e-01,3.43685e-04,3.62999e+00
bcs,mos_ff,res_bcs,125,2.97,PASS,2.969425e+00,3.309951e-04,4.22561e-01,5.36753e-04,2.96866e+00
bcs,mos_ff,res_bcs,125,3.30,PASS,3.299355e+00,3.427790e-04,4.25280e-01,5.56194e-04,3.29849e+00
bcs,mos_ff,res_bcs,125,3.63,PASS,3.629271e+00,3.566706e-04,4.27480e-01,5.79195e-04,3.62829e+00
wcs,mos_ss,res_wcs,-40,2.97,PASS,2.970000e+00,2.071153e-04,6.67050e-01,1.43261e-04,2.97000e+00
wcs,mos_ss,res_wcs,-40,3.30,PASS,3.300000e+00,2.207723e-04,6.67305e-01,1.52050e-04,3.30000e+00
wcs,mos_ss,res_wcs,-40,3.63,PASS,3.630000e+00,2.371611e-04,6.67290e-01,1.62781e-04,3.63000e+00
wcs,mos_ss,res_wcs,27,2.97,PASS,2.970000e+00,2.709279e-04,6.14918e-01,2.12637e-04,2.97000e+00
wcs,mos_ss,res_wcs,27,3.30,PASS,3.300000e+00,2.843966e-04,6.16013e-01,2.22845e-04,3.30000e+00
wcs,mos_ss,res_wcs,27,3.63,PASS,3.630000e+00,3.006829e-04,6.16766e-01,2.35350e-04,3.63000e+00
wcs,mos_ss,res_wcs,125,2.97,PASS,2.969917e+00,3.809114e-04,5.22879e-01,3.68648e-04,2.96989e+00
wcs,mos_ss,res_wcs,125,3.30,PASS,3.299908e+00,3.945826e-04,5.25417e-01,3.81702e-04,3.29988e+00
wcs,mos_ss,res_wcs,125,3.63,PASS,3.629896e+00,4.113933e-04,5.27445e-01,3.97941e-04,3.62986e+00
sf,mos_sf,res_typ,-40,2.97,PASS,2.970000e+00,2.010406e-04,6.42398e-01,1.74023e-04,2.97000e+00
sf,mos_sf,res_typ,-40,3.30,PASS,3.300000e+00,2.141282e-04,6.42699e-01,1.84676e-04,3.30000e+00
sf,mos_sf,res_typ,-40,3.63,PASS,3.630000e+00,2.297031e-04,6.42727e-01,1.97532e-04,3.63000e+00
sf,mos_sf,res_typ,27,2.97,PASS,2.970000e+00,2.625477e-04,5.92099e-01,2.57893e-04,2.97000e+00
sf,mos_sf,res_typ,27,3.30,PASS,3.300000e+00,2.755740e-04,5.93261e-01,2.70358e-04,3.30000e+00
sf,mos_sf,res_typ,27,3.63,PASS,3.630000e+00,2.911767e-04,5.94077e-01,2.85441e-04,3.63000e+00
sf,mos_sf,res_typ,125,2.97,PASS,2.969880e+00,3.686045e-04,5.02874e-01,4.46404e-04,2.96980e+00
sf,mos_sf,res_typ,125,3.30,PASS,3.299866e+00,3.819778e-04,5.05481e-01,4.62496e-04,3.29977e+00
sf,mos_sf,res_typ,125,3.63,PASS,3.629848e+00,3.982276e-04,5.07580e-01,4.82231e-04,3.62974e+00
fs,mos_fs,res_typ,-40,2.97,PASS,2.970000e+00,1.885740e-04,5.79665e-01,1.63776e-04,2.97000e+00
fs,mos_fs,res_typ,-40,3.30,PASS,3.300000e+00,2.002724e-04,5.79952e-01,1.73545e-04,3.30000e+00
fs,mos_fs,res_typ,-40,3.63,PASS,3.630000e+00,2.139461e-04,5.79963e-01,1.85059e-04,3.63000e+00
