corner_label,mos_section,res_section,temp_c,vdd_v,status,det_on_v,fb_on_v,vtrip_v,det_off_v,fb_off_v
typ,mos_tt,res_typ,-40,2.97,PASS,2.970000e+00,1.963260e-04,6.11324e-01,3.34330e-04,2.97000e+00
typ,mos_tt,res_typ,-40,3.30,PASS,3.300000e+00,2.089816e-04,6.11614e-01,3.63000e-04,3.30000e+00
typ,mos_tt,res_typ,-40,3.63,PASS,3.630000e+00,2.238914e-04,6.11634e-01,3.93659e-04,3.63000e+00
typ,mos_tt,res_typ,27,2.97,PASS,2.969999e+00,2.555834e-04,5.61066e-01,4.42425e-04,2.97000e+00
typ,mos_tt,res_typ,27,3.30,PASS,3.299999e+00,2.682891e-04,5.62211e-01,4.75933e-04,3.30000e+00
typ,mos_tt,res_typ,27,3.63,PASS,3.629999e+00,2.833425e-04,5.63014e-01,5.11821e-04,3.63000e+00
typ,mos_tt,res_typ,125,2.97,PASS,2.969780e+00,3.578117e-04,4.71582e-01,6.74198e-04,2.96962e+00
typ,mos_tt,res_typ,125,3.30,PASS,3.299754e+00,3.709894e-04,4.74180e-01,7.16893e-04,3.29958e+00
typ,mos_tt,res_typ,125,3.63,PASS,3.629722e+00,3.867959e-04,4.76286e-01,7.62913e-04,3.62952e+00
bcs,mos_ff,res_bcs,-40,2.97,PASS,2.970000e+00,1.834307e-04,5.56610e-01,4.31722e-04,2.97000e+00
bcs,mos_ff,res_bcs,-40,3.30,PASS,3.300000e+00,1.944734e-04,5.56964e-01,4.68519e-04,3.30000e+00
bcs,mos_ff,res_bcs,-40,3.63,PASS,3.630000e+00,2.072302e-04,5.57048e-01,5.07338e-04,3.63000e+00
bcs,mos_ff,res_bcs,27,2.97,PASS,2.969998e+00,2.379603e-04,5.08729e-01,5.67960e-04,2.96999e+00
bcs,mos_ff,res_bcs,27,3.30,PASS,3.299997e+00,2.492316e-04,5.09973e-01,6.11139e-04,3.29999e+00
bcs,mos_ff,res_bcs,27,3.63,PASS,3.629997e+00,2.623432e-04,5.10835e-01,6.56808e-04,3.62999e+00
bcs,mos_ff,res_bcs,125,2.97,PASS,2.969425e+00,3.321450e-04,4.22569e-01,8.59041e-04,2.96865e+00
bcs,mos_ff,res_bcs,125,3.30,PASS,3.299355e+00,3.440567e-04,4.25288e-01,9.14299e-04,3.29848e+00
bcs,mos_ff,res_bcs,125,3.63,PASS,3.629271e+00,3.580761e-04,4.27490e-01,9.73117e-04,3.62828e+00
wcs,mos_ss,res_wcs,-40,2.97,PASS,2.970000e+00,2.082653e-04,6.67054e-01,2.75395e-04,2.97000e+00
wcs,mos_ss,res_wcs,-40,3.30,PASS,3.300000e+00,2.220500e-04,6.67309e-01,2.98866e-04,3.30000e+00
wcs,mos_ss,res_wcs,-40,3.63,PASS,3.630000e+00,2.385666e-04,6.67293e-01,3.24279e-04,3.63000e+00
wcs,mos_ss,res_wcs,27,2.97,PASS,2.970000e+00,2.720779e-04,6.14922e-01,3.66371e-04,2.97000e+00
wcs,mos_ss,res_wcs,27,3.30,PASS,3.300000e+00,2.856743e-04,6.16017e-01,3.93661e-04,3.30000e+00
wcs,mos_ss,res_wcs,27,3.63,PASS,3.630000e+00,3.020884e-04,6.16770e-01,4.23249e-04,3.63000e+00
wcs,mos_ss,res_wcs,125,2.97,PASS,2.969917e+00,3.820613e-04,5.22884e-01,5.62058e-04,2.96989e+00
wcs,mos_ss,res_wcs,125,3.30,PASS,3.299908e+00,3.958604e-04,5.25423e-01,5.96605e-04,3.29988e+00
