corner_label,vdd_v,vref_neg40_v,vref_27_v,vref_125_v,tc_ppm_per_c
typ,2.97,1.04859e+00,1.04978e+00,1.04794e+00,-3.753
typ,3.30,1.04927e+00,1.05048e+00,1.04863e+00,-3.692
typ,3.63,1.04985e+00,1.05101e+00,1.04900e+00,-4.901
bcs,2.97,1.04586e+00,1.04620e+00,1.04309e+00,-16.047
bcs,3.30,1.04651e+00,1.04686e+00,1.04372e+00,-16.152
bcs,3.63,1.04706e+00,1.04735e+00,1.04402e+00,-17.591
wcs,2.97,1.05281e+00,1.05533e+00,1.05548e+00,15.333
wcs,3.30,1.05354e+00,1.05608e+00,1.05624e+00,15.495
wcs,3.63,1.05416e+00,1.05666e+00,1.05667e+00,14.396
sf,2.97,1.04888e+00,1.05008e+00,1.04825e+00,-3.636
sf,3.30,1.04956e+00,1.05077e+00,1.04892e+00,-3.691
sf,3.63,1.05013e+00,1.05129e+00,1.04927e+00,-4.958
fs,2.97,1.04828e+00,1.04946e+00,1.04763e+00,-3.754
fs,3.30,1.04898e+00,1.05018e+00,1.04834e+00,-3.693
fs,3.63,1.04957e+00,1.05073e+00,1.04873e+00,-4.845
