corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_2ms_v,vref_3ms_v,vref_settle_delta_v,vbeq3_2ms_v,vbeq3_3ms_v
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,2.13616e+00,7.84647e-01,7.84911e-01,3.53269e-03,2.13616e-09,0.000264,1.04859e+00,1.04859e+00,0,7.85249e-01,7.85249e-01
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,2.46626e+00,7.84690e-01,7.85050e-01,3.93352e-03,2.46626e-09,0.00036,1.04927e+00,1.04927e+00,0,7.85299e-01,7.85299e-01
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,2.79638e+00,7.84728e-01,7.85172e-01,4.33637e-03,2.79638e-09,0.000444,1.04985e+00,1.04985e+00,0,7.85341e-01,7.85341e-01
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,2.16567e+00,7.08276e-01,7.08428e-01,7.63991e-03,2.16575e-09,0.000152,1.04978e+00,1.04978e+00,0,7.08850e-01,7.08850e-01
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,2.49579e+00,7.08320e-01,7.08568e-01,8.54337e-03,2.49588e-09,0.000248,1.05048e+00,1.05048e+00,0,7.08901e-01,7.08901e-01
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,2.82594e+00,7.08355e-01,7.08681e-01,9.46054e-03,2.82606e-09,0.000326,1.05101e+00,1.05101e+00,0,7.08940e-01,7.08940e-01
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,2.22474e+00,5.90057e-01,5.90033e-01,2.27799e-02,2.26894e-09,2.4e-05,1.04794e+00,1.04794e+00,0,5.90547e-01,5.90547e-01
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,2.55491e+00,5.90097e-01,5.90164e-01,2.60158e-02,2.60695e-09,6.7e-05,1.04863e+00,1.04863e+00,0,5.90597e-01,5.90597e-01
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,2.88514e+00,5.90122e-01,5.90246e-01,2.94841e-02,2.94691e-09,0.000124,1.04900e+00,1.04900e+00,0,5.90624e-01,5.90624e-01
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,2.18402e+00,7.81935e-01,7.82163e-01,2.70394e-03,2.18402e-09,0.000228,1.04586e+00,1.04586e+00,0,7.82666e-01,7.82666e-01
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,2.51413e+00,7.81976e-01,7.82294e-01,3.00768e-03,2.51413e-09,0.000318,1.04651e+00,1.04651e+00,0,7.82712e-01,7.82712e-01
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,2.84426e+00,7.82010e-01,7.82407e-01,3.31224e-03,2.84426e-09,0.000397,1.04706e+00,1.04706e+00,0,7.82752e-01,7.82752e-01
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,2.21089e+00,7.04791e-01,7.04901e-01,5.41529e-03,2.21131e-09,0.00011,1.04620e+00,1.04620e+00,0,7.05494e-01,7.05494e-01
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,2.54103e+00,7.04831e-01,7.05030e-01,6.03515e-03,2.54152e-09,0.000199,1.04686e+00,1.04686e+00,0,7.05542e-01,7.05542e-01
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,2.87119e+00,7.04862e-01,7.05133e-01,6.65946e-03,2.87178e-09,0.000271,1.04735e+00,1.04735e+00,0,7.05577e-01,7.05577e-01
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,2.26569e+00,5.85419e-01,5.85342e-01,1.45837e-02,2.40374e-09,7.7e-05,1.04309e+00,1.04309e+00,0,5.86039e-01,5.86039e-01
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,2.59587e+00,5.85455e-01,5.85460e-01,1.63891e-02,2.75449e-09,5e-06,1.04372e+00,1.04372e+00,0,5.86085e-01,5.86085e-01
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,2.92613e+00,5.85475e-01,5.85528e-01,1.82444e-02,3.10924e-09,5.3e-05,1.04402e+00,1.04402e+00,0,5.86107e-01,5.86107e-01
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,2.08733e+00,7.88979e-01,7.89276e-01,5.97624e-03,2.08733e-09,0.000297,1.05281e+00,1.05281e+00,0,7.89443e-01,7.89443e-01
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,2.41742e+00,7.89025e-01,7.89425e-01,6.68051e-03,2.41742e-09,0.0004,1.05354e+00,1.05354e+00,0,7.89495e-01,7.89495e-01
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,2.74753e+00,7.89065e-01,7.89555e-01,7.39480e-03,2.74753e-09,0.00049,1.05416e+00,1.05416e+00,0,7.89540e-01,7.89540e-01
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,2.11922e+00,7.13866e-01,7.14054e-01,1.49077e-02,2.11924e-09,0.000188,1.05533e+00,1.05533e+00,0,7.14298e-01,7.14298e-01
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,2.44933e+00,7.13912e-01,7.14205e-01,1.69303e-02,2.44936e-09,0.000293,1.05608e+00,1.05608e+00,0,7.14353e-01,7.14353e-01
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,2.77947e+00,7.13950e-01,7.14328e-01,1.90647e-02,2.77951e-09,0.000378,1.05666e+00,1.05666e+00,0,7.14395e-01,7.14395e-01
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,2.18217e+00,5.97521e-01,5.97546e-01,5.85556e-02,2.20621e-09,2.5e-05,1.05548e+00,1.05548e+00,0,5.97871e-01,5.97871e-01
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,PASS,2.51232e+00,5.97566e-01,5.97690e-01,7.63677e-02,2.54932e-09,0.000124,1.05624e+00,1.05624e+00,0,5.97926e-01,5.97926e-01
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,PASS,2.84254e+00,5.97596e-01,5.97788e-01,1.06176e-01,2.91447e-09,0.000192,1.05667e+00,1.05667e+00,0,5.97958e-01,5.97958e-01
