corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,release_time_us,det_2000u_v,i_mkfb_2000u_a,fb_2000u_v,dvsns_2000u_v,checkpoint_verdicts
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,100,3.51782e-03,2.13653e-09,2.13653e+00,1.6e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,100,3.91764e-03,2.46670e-09,2.46669e+00,4.4e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,100,4.31957e-03,2.79688e-09,2.79688e+00,9.6e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,100,7.62283e-03,2.16605e-09,2.16596e+00,0.000134,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,100,8.52621e-03,2.49625e-09,2.49615e+00,7.5e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,100,9.44360e-03,2.82649e-09,2.82638e+00,3.2e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,100,2.27525e-02,2.26913e-09,2.22496e+00,0.000325,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,100,2.59927e-02,2.60720e-09,2.55520e+00,0.000275,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,100,2.94677e-02,2.94724e-09,2.88551e+00,0.000255,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,100,2.68235e-03,2.18433e-09,2.18432e+00,3.4e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,100,2.98400e-03,2.51450e-09,2.51450e+00,2.3e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,100,3.28652e-03,2.84469e-09,2.84468e+00,7.2e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,100,5.38953e-03,2.21153e-09,2.21112e+00,0.000158,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,100,6.00730e-03,2.54181e-09,2.54131e+00,0.000103,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
