corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,release_time_us,det_2000u_v,i_mkfb_2000u_a,fb_2000u_v,dvsns_2000u_v,checkpoint_verdicts
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,100,6.62963e-03,2.87213e-09,2.87155e+00,6.4e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,100,1.45455e-02,2.40376e-09,2.26582e+00,0.000359,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,100,1.63492e-02,2.75457e-09,2.59607e+00,0.000315,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,100,1.82033e-02,3.10937e-09,2.92639e+00,0.000302,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,100,5.96919e-03,2.08776e-09,2.08775e+00,1e-06,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,100,6.67460e-03,2.41792e-09,2.41792e+00,6.4e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,100,7.39034e-03,2.74810e-09,2.74809e+00,0.000119,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,100,1.49060e-02,2.11960e-09,2.11958e+00,0.000116,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,100,1.69359e-02,2.44979e-09,2.44977e+00,5.1e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,100,1.90796e-02,2.78001e-09,2.77998e+00,4e-06,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,100,5.85812e-02,2.20650e-09,2.18247e+00,0.000297,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,100,7.65009e-02,2.54977e-09,2.51269e+00,0.00024,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,100,1.06621e-01,2.91553e-09,2.84298e+00,0.000212,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,100,5.09531e-03,2.16474e-09,2.16474e+00,8e-06,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,100,5.68607e-03,2.49491e-09,2.49491e+00,5.1e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,100,6.28270e-03,2.82510e-09,2.82510e+00,0.000102,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,100,1.19836e-02,2.19411e-09,2.19407e+00,0.000124,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,100,1.35050e-02,2.52431e-09,2.52426e+00,6.7e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,100,1.50784e-02,2.85455e-09,2.85449e+00,2.6e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,100,4.25949e-02,2.28716e-09,2.25290e+00,0.000313,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,100,5.14322e-02,2.62788e-09,2.58314e+00,0.000266,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,100,6.27082e-02,2.97490e-09,2.91346e+00,0.000249,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,100,2.57025e-03,2.10833e-09,2.10833e+00,2.6e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,100,2.85957e-03,2.43850e-09,2.43849e+00,3.7e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,100,3.14979e-03,2.76868e-09,2.76867e+00,9e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,100,5.28177e-03,2.13804e-09,2.13786e+00,0.000146,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,100,5.88956e-03,2.46825e-09,2.46805e+00,8.5e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,100,6.50244e-03,2.79851e-09,2.79827e+00,3.9e-05,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,100,1.45147e-02,2.26831e-09,2.19701e+00,0.000337,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,100,1.63409e-02,2.60907e-09,2.52724e+00,0.000284,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,100,1.82258e-02,2.95188e-09,2.85754e+00,0.000261,"100u:PASS;200u:PASS;300u:PASS;400u:PASS;500u:PASS;600u:PASS;700u:PASS;800u:PASS;900u:PASS;1000u:PASS;2000u:PASS"
