corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_2ms_v,vref_3ms_v,vref_settle_delta_v
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13482e+00,7.85016e-01,7.84854e-01,3.50279e-03,2.13503e-09,0.000162,1.13709e+00,1.13709e+00,0
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46500e+00,7.85038e-01,7.84920e-01,3.90100e-03,2.46521e-09,0.000118,1.13754e+00,1.13754e+00,0
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79520e+00,7.85056e-01,7.84974e-01,4.30114e-03,2.79506e-09,8.2e-05,1.13787e+00,1.13787e+00,0
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16431e+00,7.08661e-01,7.08377e-01,7.58372e-03,2.16437e-09,0.000284,1.16631e+00,1.16631e+00,0
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49452e+00,7.08681e-01,7.08440e-01,8.48243e-03,2.49452e-09,0.000241,1.16677e+00,1.16677e+00,0
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82476e+00,7.08695e-01,7.08481e-01,9.39512e-03,2.82481e-09,0.000214,1.16702e+00,1.16702e+00,0
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22346e+00,5.90431e-01,5.89949e-01,2.26175e-02,2.26750e-09,0.000482,1.20656e+00,1.20656e+00,0
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55372e+00,5.90446e-01,5.89996e-01,2.58337e-02,2.60555e-09,0.00045,1.20700e+00,1.20700e+00,0
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88405e+00,5.90447e-01,5.89999e-01,2.92810e-02,2.94555e-09,0.000448,1.20702e+00,1.20702e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18218e+00,7.82420e-01,7.82248e-01,2.67216e-03,2.18234e-09,0.000172,1.13411e+00,1.13411e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51237e+00,7.82441e-01,7.82312e-01,2.97267e-03,2.51234e-09,0.000129,1.13454e+00,1.13454e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84257e+00,7.82458e-01,7.82362e-01,3.27406e-03,2.84241e-09,9.6e-05,1.13486e+00,1.13486e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.20903e+00,7.05295e-01,7.04996e-01,5.36591e-03,2.20945e-09,0.000299,1.16248e+00,1.16248e+00,0
