corner_label,vdd_v,vref_neg40_v,vref_27_v,vref_125_v,tc_ppm_per_c
typ,2.97,1.13709e+00,1.16631e+00,1.20656e+00,360.993
typ,3.30,1.13754e+00,1.16677e+00,1.20700e+00,360.799
typ,3.63,1.13787e+00,1.16702e+00,1.20702e+00,359.112
bcs,2.97,1.13411e+00,1.16248e+00,1.20148e+00,351.234
bcs,3.30,1.13454e+00,1.16292e+00,1.20188e+00,350.945
bcs,3.63,1.13486e+00,1.16314e+00,1.20184e+00,349.003
wcs,2.97,1.14161e+00,1.17215e+00,1.21438e+00,376.258
wcs,3.30,1.14208e+00,1.17264e+00,1.21486e+00,376.152
wcs,3.63,1.14243e+00,1.17293e+00,1.21494e+00,374.664
sf,2.97,1.13714e+00,1.16637e+00,1.20664e+00,361.131
sf,3.30,1.13757e+00,1.16682e+00,1.20705e+00,360.888
sf,3.63,1.13789e+00,1.16705e+00,1.20704e+00,359.103
fs,2.97,1.13703e+00,1.16623e+00,1.20648e+00,360.914
fs,3.30,1.13750e+00,1.16672e+00,1.20695e+00,360.763
fs,3.63,1.13784e+00,1.16699e+00,1.20699e+00,359.121
