corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_2ms_v,vref_3ms_v,vref_settle_delta_v,vbeq3_2ms_v,vbeq3_3ms_v
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13653e+00,7.84591e-01,7.84575e-01,3.51782e-03,2.13653e-09,1.6e-05,1.04758e+00,1.04758e+00,0,7.85188e-01,7.85188e-01
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46669e+00,7.84618e-01,7.84662e-01,3.91764e-03,2.46670e-09,4.4e-05,1.04804e+00,1.04804e+00,0,7.85221e-01,7.85221e-01
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79688e+00,7.84639e-01,7.84735e-01,4.31957e-03,2.79688e-09,9.6e-05,1.04840e+00,1.04840e+00,0,7.85247e-01,7.85247e-01
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16596e+00,7.08244e-01,7.08110e-01,7.62283e-03,2.16605e-09,0.000134,1.04901e+00,1.04901e+00,0,7.08808e-01,7.08808e-01
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49615e+00,7.08270e-01,7.08195e-01,8.52621e-03,2.49625e-09,7.5e-05,1.04947e+00,1.04947e+00,0,7.08841e-01,7.08841e-01
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82638e+00,7.08288e-01,7.08256e-01,9.44360e-03,2.82649e-09,3.2e-05,1.04977e+00,1.04977e+00,0,7.08863e-01,7.08863e-01
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22496e+00,5.90056e-01,5.89731e-01,2.27525e-02,2.26913e-09,0.000325,1.04747e+00,1.04747e+00,0,5.90529e-01,5.90529e-01
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55520e+00,5.90077e-01,5.89802e-01,2.59927e-02,2.60720e-09,0.000275,1.04790e+00,1.04790e+00,0,5.90559e-01,5.90559e-01
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88551e+00,5.90083e-01,5.89828e-01,2.94677e-02,2.94724e-09,0.000255,1.04801e+00,1.04801e+00,0,5.90568e-01,5.90568e-01
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18432e+00,7.81897e-01,7.81863e-01,2.68235e-03,2.18433e-09,3.4e-05,1.04507e+00,1.04507e+00,0,7.82620e-01,7.82620e-01
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51450e+00,7.81922e-01,7.81945e-01,2.98400e-03,2.51450e-09,2.3e-05,1.04550e+00,1.04550e+00,0,7.82651e-01,7.82651e-01
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84468e+00,7.81942e-01,7.82014e-01,3.28652e-03,2.84469e-09,7.2e-05,1.04584e+00,1.04584e+00,0,7.82676e-01,7.82676e-01
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.21112e+00,7.04780e-01,7.04622e-01,5.38953e-03,2.21153e-09,0.000158,1.04567e+00,1.04567e+00,0,7.05470e-01,7.05470e-01
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.54131e+00,7.04803e-01,7.04700e-01,6.00730e-03,2.54181e-09,0.000103,1.04610e+00,1.04610e+00,0,7.05501e-01,7.05501e-01
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.87155e+00,7.04819e-01,7.04755e-01,6.62963e-03,2.87213e-09,6.4e-05,1.04637e+00,1.04637e+00,0,7.05521e-01,7.05521e-01
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26582e+00,5.85443e-01,5.85084e-01,1.45455e-02,2.40376e-09,0.000359,1.04289e+00,1.04289e+00,0,5.86042e-01,5.86042e-01
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59607e+00,5.85462e-01,5.85147e-01,1.63492e-02,2.75457e-09,0.000315,1.04328e+00,1.04328e+00,0,5.86070e-01,5.86070e-01
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92639e+00,5.85465e-01,5.85163e-01,1.82033e-02,3.10937e-09,0.000302,1.04335e+00,1.04335e+00,0,5.86075e-01,5.86075e-01
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08775e+00,7.88907e-01,7.88906e-01,5.96919e-03,2.08776e-09,1e-06,1.05162e+00,1.05162e+00,0,7.89368e-01,7.89368e-01
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41792e+00,7.88935e-01,7.88999e-01,6.67460e-03,2.41792e-09,6.4e-05,1.05210e+00,1.05210e+00,0,7.89402e-01,7.89402e-01
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74809e+00,7.88958e-01,7.89077e-01,7.39034e-03,2.74810e-09,0.000119,1.05249e+00,1.05249e+00,0,7.89430e-01,7.89430e-01
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11958e+00,7.13815e-01,7.13699e-01,1.49060e-02,2.11960e-09,0.000116,1.05435e+00,1.05435e+00,0,7.14240e-01,7.14240e-01
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44977e+00,7.13842e-01,7.13791e-01,1.69359e-02,2.44979e-09,5.1e-05,1.05484e+00,1.05484e+00,0,7.14276e-01,7.14276e-01
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77998e+00,7.13863e-01,7.13859e-01,1.90796e-02,2.78001e-09,4e-06,1.05518e+00,1.05518e+00,0,7.14300e-01,7.14300e-01
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18247e+00,5.97498e-01,5.97201e-01,5.85812e-02,2.20650e-09,0.000297,1.05477e+00,1.05477e+00,0,5.97834e-01,5.97834e-01
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51269e+00,5.97522e-01,5.97282e-01,7.65009e-02,2.54977e-09,0.00024,1.05524e+00,1.05524e+00,0,5.97868e-01,5.97868e-01
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84298e+00,5.97532e-01,5.97320e-01,1.06621e-01,2.91552e-09,0.000212,1.05541e+00,1.05541e+00,0,5.97880e-01,5.97880e-01
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16474e+00,7.84543e-01,7.84535e-01,5.09531e-03,2.16474e-09,8e-06,1.04787e+00,1.04787e+00,0,7.85209e-01,7.85209e-01
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49491e+00,7.84569e-01,7.84620e-01,5.68607e-03,2.49491e-09,5.1e-05,1.04831e+00,1.04831e+00,0,7.85241e-01,7.85241e-01
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82510e+00,7.84589e-01,7.84691e-01,6.28270e-03,2.82510e-09,0.000102,1.04866e+00,1.04866e+00,0,7.85266e-01,7.85266e-01
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19407e+00,7.08197e-01,7.08073e-01,1.19836e-02,2.19411e-09,0.000124,1.04931e+00,1.04931e+00,0,7.08829e-01,7.08829e-01
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52426e+00,7.08222e-01,7.08155e-01,1.35050e-02,2.52431e-09,6.7e-05,1.04975e+00,1.04975e+00,0,7.08862e-01,7.08862e-01
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85449e+00,7.08239e-01,7.08213e-01,1.50784e-02,2.85455e-09,2.6e-05,1.05004e+00,1.05004e+00,0,7.08883e-01,7.08883e-01
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25290e+00,5.90010e-01,5.89697e-01,4.25949e-02,2.28716e-09,0.000313,1.04777e+00,1.04777e+00,0,5.90550e-01,5.90550e-01
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58314e+00,5.90030e-01,5.89764e-01,5.14322e-02,2.62788e-09,0.000266,1.04818e+00,1.04818e+00,0,5.90580e-01,5.90580e-01
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91346e+00,5.90035e-01,5.89786e-01,6.27082e-02,2.97490e-09,0.000249,1.04828e+00,1.04828e+00,0,5.90587e-01,5.90587e-01
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10833e+00,7.84640e-01,7.84614e-01,2.57025e-03,2.10833e-09,2.6e-05,1.04729e+00,1.04729e+00,0,7.85167e-01,7.85167e-01
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43849e+00,7.84667e-01,7.84704e-01,2.85957e-03,2.43850e-09,3.7e-05,1.04776e+00,1.04776e+00,0,7.85201e-01,7.85201e-01
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76867e+00,7.84690e-01,7.84780e-01,3.14979e-03,2.76868e-09,9e-05,1.04813e+00,1.04813e+00,0,7.85228e-01,7.85228e-01
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13786e+00,7.08292e-01,7.08146e-01,5.28177e-03,2.13804e-09,0.000146,1.04871e+00,1.04871e+00,0,7.08786e-01,7.08786e-01
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46805e+00,7.08319e-01,7.08234e-01,5.88956e-03,2.46825e-09,8.5e-05,1.04918e+00,1.04918e+00,0,7.08820e-01,7.08820e-01
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79827e+00,7.08338e-01,7.08299e-01,6.50244e-03,2.79851e-09,3.9e-05,1.04950e+00,1.04950e+00,0,7.08843e-01,7.08843e-01
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19701e+00,5.90101e-01,5.89764e-01,1.45147e-02,2.26831e-09,0.000337,1.04717e+00,1.04717e+00,0,5.90506e-01,5.90506e-01
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52724e+00,5.90124e-01,5.89840e-01,1.63409e-02,2.60907e-09,0.000284,1.04761e+00,1.04761e+00,0,5.90538e-01,5.90538e-01
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85754e+00,5.90132e-01,5.89871e-01,1.82258e-02,2.95188e-09,0.000261,1.04775e+00,1.04775e+00,0,5.90548e-01,5.90548e-01
