corner_label,vdd_v,vref_neg40_v,vref_27_v,vref_125_v,tc_ppm_per_c
typ,2.97,1.04437e+00,1.04582e+00,1.04442e+00,0.290
typ,3.30,1.04469e+00,1.04615e+00,1.04470e+00,0.058
typ,3.63,1.04494e+00,1.04633e+00,1.04469e+00,-1.448
bcs,2.97,1.04149e+00,1.04211e+00,1.03948e+00,-11.690
bcs,3.30,1.04180e+00,1.04242e+00,1.03974e+00,-11.977
bcs,3.63,1.04203e+00,1.04258e+00,1.03968e+00,-13.661
wcs,2.97,1.04881e+00,1.05157e+00,1.05211e+00,19.019
wcs,3.30,1.04915e+00,1.05191e+00,1.05243e+00,18.898
wcs,3.63,1.04941e+00,1.05211e+00,1.05246e+00,17.569
sf,2.97,1.04441e+00,1.04587e+00,1.04448e+00,0.406
sf,3.30,1.04472e+00,1.04619e+00,1.04474e+00,0.116
sf,3.63,1.04496e+00,1.04635e+00,1.04471e+00,-1.448
fs,2.97,1.04433e+00,1.04576e+00,1.04435e+00,0.116
fs,3.30,1.04466e+00,1.04610e+00,1.04466e+00,0.000
fs,3.63,1.04492e+00,1.04630e+00,1.04466e+00,-1.506
