corner_label,vdd_v,vref_neg40_v,vref_27_v,vref_125_v,tc_ppm_per_c
typ,2.97,1.04758e+00,1.04901e+00,1.04747e+00,-0.636
typ,3.30,1.04804e+00,1.04947e+00,1.04790e+00,-0.808
typ,3.63,1.04840e+00,1.04977e+00,1.04801e+00,-2.252
bcs,2.97,1.04507e+00,1.04567e+00,1.04289e+00,-12.635
bcs,3.30,1.04550e+00,1.04610e+00,1.04328e+00,-12.862
bcs,3.63,1.04584e+00,1.04637e+00,1.04335e+00,-14.422
wcs,2.97,1.05162e+00,1.05435e+00,1.05477e+00,18.107
wcs,3.30,1.05210e+00,1.05484e+00,1.05524e+00,18.041
wcs,3.63,1.05249e+00,1.05518e+00,1.05541e+00,16.772
sf,2.97,1.04787e+00,1.04931e+00,1.04777e+00,-0.578
sf,3.30,1.04831e+00,1.04975e+00,1.04818e+00,-0.751
sf,3.63,1.04866e+00,1.05004e+00,1.04828e+00,-2.193
fs,2.97,1.04729e+00,1.04871e+00,1.04717e+00,-0.693
fs,3.30,1.04776e+00,1.04918e+00,1.04761e+00,-0.866
fs,3.63,1.04813e+00,1.04950e+00,1.04775e+00,-2.194
