corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,1.132044e+00,2.113651e+00,7.900478e-01,7.479618e-01,7.906158e-01,4.208600e-02,5.074867e-06,5.154725e-06,5.217602e-06,6.543776e+04,1.062159e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,1.133279e+00,2.443651e+00,7.901110e-01,7.480266e-01,7.906856e-01,4.208440e-02,5.090561e-06,5.171162e-06,5.235409e-06,6.543775e+04,1.062160e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,1.134466e+00,2.773651e+00,7.901736e-01,7.480906e-01,7.907525e-01,4.208300e-02,5.106134e-06,5.187451e-06,5.252531e-06,6.543769e+04,1.062159e+04
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,1.051644e+00,2.165255e+00,7.084638e-01,6.536206e-01,7.090319e-01,5.484320e-02,5.076177e-06,5.139060e-06,5.185676e-06,6.606894e+04,1.072190e+04
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,1.052769e+00,2.495255e+00,7.085375e-01,6.536959e-01,7.091129e-01,5.484160e-02,5.090241e-06,5.153701e-06,5.201473e-06,6.606900e+04,1.072191e+04
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,1.053851e+00,2.825255e+00,7.086114e-01,6.537716e-01,7.091906e-01,5.483980e-02,5.104407e-06,5.168449e-06,5.216673e-06,6.606901e+04,1.072190e+04
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,9.283776e-01,2.262368e+00,5.802243e-01,5.061904e-01,5.807505e-01,7.403390e-02,5.081045e-06,5.126401e-06,5.156180e-06,6.741950e+04,1.093775e+04
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,9.293828e-01,2.592368e+00,5.803106e-01,5.062786e-01,5.808444e-01,7.403200e-02,5.093294e-06,5.139073e-06,5.169697e-06,6.741950e+04,1.093773e+04
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,9.303554e-01,2.922368e+00,5.804008e-01,5.063713e-01,5.809350e-01,7.402950e-02,5.106130e-06,5.152434e-06,5.182780e-06,6.741949e+04,1.093774e+04
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,1.095639e+00,2.169966e+00,7.853339e-01,7.433517e-01,7.860316e-01,4.198220e-02,5.080264e-06,5.176518e-06,5.256710e-06,5.889756e+04,9.563166e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,1.096774e+00,2.499966e+00,7.853979e-01,7.434173e-01,7.861018e-01,4.198060e-02,5.096194e-06,5.193242e-06,5.274787e-06,5.889758e+04,9.563159e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,1.097868e+00,2.829966e+00,7.854613e-01,7.434823e-01,7.861692e-01,4.197900e-02,5.112020e-06,5.209846e-06,5.292220e-06,5.889755e+04,9.563162e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,1.013448e+00,2.220889e+00,7.023512e-01,6.476156e-01,7.030639e-01,5.473560e-02,5.081445e-06,5.158215e-06,5.219553e-06,5.946565e+04,9.653223e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,1.014481e+00,2.550889e+00,7.024257e-01,6.476919e-01,7.031453e-01,5.473380e-02,5.095708e-06,5.173095e-06,5.235559e-06,5.946561e+04,9.653215e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,1.015478e+00,2.880889e+00,7.025006e-01,6.477687e-01,7.032237e-01,5.473190e-02,5.110100e-06,5.188128e-06,5.251018e-06,5.946548e+04,9.653212e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,8.873277e-01,2.316882e+00,5.720161e-01,4.980937e-01,5.727022e-01,7.392240e-02,5.086547e-06,5.143162e-06,5.184934e-06,6.068071e+04,9.847133e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,8.882516e-01,2.646882e+00,5.721035e-01,4.981830e-01,5.727965e-01,7.392050e-02,5.098968e-06,5.156041e-06,5.198605e-06,6.068072e+04,9.847148e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,8.891512e-01,2.976882e+00,5.721951e-01,4.982775e-01,5.728881e-01,7.391760e-02,5.112034e-06,5.169700e-06,5.211921e-06,6.068072e+04,9.847128e+03
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,1.169401e+00,2.057118e+00,7.961808e-01,7.539906e-01,7.966194e-01,4.219020e-02,5.069612e-06,5.133285e-06,5.179119e-06,7.197780e+04,1.168005e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,1.170732e+00,2.387118e+00,7.962432e-01,7.540546e-01,7.966888e-01,4.218860e-02,5.085066e-06,5.149434e-06,5.196658e-06,7.197764e+04,1.168002e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,1.172009e+00,2.717118e+00,7.963049e-01,7.541176e-01,7.967551e-01,4.218730e-02,5.100379e-06,5.165403e-06,5.213475e-06,7.197769e+04,1.168004e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,1.091271e+00,2.109410e+00,7.164191e-01,6.614670e-01,7.168426e-01,5.495210e-02,5.071070e-06,5.120202e-06,5.152274e-06,7.267245e+04,1.179059e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,1.092485e+00,2.439410e+00,7.164919e-01,6.615414e-01,7.169232e-01,5.495050e-02,5.084936e-06,5.134605e-06,5.167869e-06,7.267247e+04,1.179061e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,1.093648e+00,2.769410e+00,7.165648e-01,6.616159e-01,7.170002e-01,5.494890e-02,5.098870e-06,5.149066e-06,5.182820e-06,7.267237e+04,1.179060e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,9.715475e-01,2.207651e+00,5.909082e-01,5.167610e-01,5.912743e-01,7.414720e-02,5.075817e-06,5.109983e-06,5.127859e-06,7.415828e+04,1.202834e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,PASS,9.726332e-01,2.537651e+00,5.909936e-01,5.168481e-01,5.913678e-01,7.414550e-02,5.087902e-06,5.122460e-06,5.141239e-06,7.415827e+04,1.202834e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,PASS,9.736778e-01,2.867651e+00,5.910824e-01,5.169391e-01,5.914576e-01,7.414330e-02,5.100512e-06,5.135530e-06,5.154114e-06,7.415827e+04,1.202834e+04
