corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,PASS,9.681634e-01,2.867651e+00,5.910824e-01,5.166985e-01,5.909814e-01,7.438390e-02,5.100512e-06,5.101048e-06,5.086176e-06,7.415827e+04,1.202833e+04
sf,hbt_typ,mos_sf,res_typ,-40,2.97,PASS,1.121163e+00,2.141867e+00,7.900581e-01,7.476521e-01,7.899912e-01,4.240600e-02,5.077416e-06,5.076854e-06,5.060873e-06,6.543768e+04,1.062160e+04
sf,hbt_typ,mos_sf,res_typ,-40,3.30,PASS,1.122305e+00,2.471867e+00,7.901217e-01,7.477154e-01,7.900576e-01,4.240630e-02,5.093229e-06,5.092676e-06,5.077306e-06,6.543773e+04,1.062161e+04
sf,hbt_typ,mos_sf,res_typ,-40,3.63,PASS,1.123400e+00,2.801867e+00,7.901848e-01,7.477779e-01,7.901211e-01,4.240690e-02,5.108924e-06,5.108350e-06,5.093074e-06,6.543767e+04,1.062161e+04
sf,hbt_typ,mos_sf,res_typ,27,2.97,PASS,1.042951e+00,2.193132e+00,7.084767e-01,6.533075e-01,7.083982e-01,5.516920e-02,5.078641e-06,5.078672e-06,5.063684e-06,6.606905e+04,1.072190e+04
sf,hbt_typ,mos_sf,res_typ,27,3.30,PASS,1.044000e+00,2.523132e+00,7.085509e-01,6.533812e-01,7.084755e-01,5.516970e-02,5.092806e-06,5.092830e-06,5.078400e-06,6.606894e+04,1.072192e+04
sf,hbt_typ,mos_sf,res_typ,27,3.63,PASS,1.045008e+00,2.853132e+00,7.086253e-01,6.534553e-01,7.085494e-01,5.517000e-02,5.107076e-06,5.107094e-06,5.092531e-06,6.606903e+04,1.072191e+04
sf,hbt_typ,mos_sf,res_typ,125,2.97,PASS,9.219913e-01,2.289686e+00,5.802422e-01,5.058959e-01,5.801489e-01,7.434630e-02,5.083588e-06,5.084294e-06,5.070379e-06,6.741950e+04,1.093774e+04
sf,hbt_typ,mos_sf,res_typ,125,3.30,PASS,9.229394e-01,2.619686e+00,5.803291e-01,5.059824e-01,5.802388e-01,7.434670e-02,5.095919e-06,5.096618e-06,5.083108e-06,6.741950e+04,1.093772e+04
sf,hbt_typ,mos_sf,res_typ,125,3.63,PASS,9.238557e-01,2.949686e+00,5.804199e-01,5.060734e-01,5.803255e-01,7.434650e-02,5.108847e-06,5.109630e-06,5.095413e-06,6.741950e+04,1.093774e+04
fs,hbt_typ,mos_fs,res_typ,-40,2.97,PASS,1.120829e+00,2.085438e+00,7.900376e-01,7.476319e-01,7.899718e-01,4.240570e-02,5.072355e-06,5.071804e-06,5.056072e-06,6.543760e+04,1.062159e+04
fs,hbt_typ,mos_fs,res_typ,-40,3.30,PASS,1.121954e+00,2.415438e+00,7.901004e-01,7.476943e-01,7.900373e-01,4.240610e-02,5.087923e-06,5.087381e-06,5.072263e-06,6.543760e+04,1.062159e+04
fs,hbt_typ,mos_fs,res_typ,-40,3.63,PASS,1.123033e+00,2.745438e+00,7.901625e-01,7.477558e-01,7.900998e-01,4.240670e-02,5.103368e-06,5.102806e-06,5.087787e-06,6.543772e+04,1.062161e+04
fs,hbt_typ,mos_fs,res_typ,27,2.97,PASS,1.042618e+00,2.137387e+00,7.084511e-01,6.532821e-01,7.083737e-01,5.516900e-02,5.073762e-06,5.073795e-06,5.059026e-06,6.606890e+04,1.072190e+04
fs,hbt_typ,mos_fs,res_typ,27,3.30,PASS,1.043653e+00,2.467387e+00,7.085243e-01,6.533548e-01,7.084500e-01,5.516950e-02,5.087721e-06,5.087747e-06,5.073538e-06,6.606889e+04,1.072190e+04
fs,hbt_typ,mos_fs,res_typ,27,3.63,PASS,1.044647e+00,2.797387e+00,7.085977e-01,6.534278e-01,7.085229e-01,5.516990e-02,5.101778e-06,5.101799e-06,5.087465e-06,6.606907e+04,1.072190e+04
fs,hbt_typ,mos_fs,res_typ,125,2.97,PASS,9.216323e-01,2.235065e+00,5.802069e-01,5.058607e-01,5.801149e-01,7.434620e-02,5.078588e-06,5.079286e-06,5.065560e-06,6.741948e+04,1.093774e+04
fs,hbt_typ,mos_fs,res_typ,125,3.30,PASS,9.225685e-01,2.565065e+00,5.802927e-01,5.059461e-01,5.802037e-01,7.434660e-02,5.090751e-06,5.091442e-06,5.078127e-06,6.741950e+04,1.093773e+04
fs,hbt_typ,mos_fs,res_typ,125,3.63,PASS,9.234723e-01,2.895065e+00,5.803823e-01,5.060360e-01,5.802893e-01,7.434630e-02,5.103497e-06,5.104271e-06,5.090265e-06,6.741948e+04,1.093772e+04
