corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,1.120995e+00,2.113651e+00,7.900478e-01,7.476419e-01,7.899814e-01,4.240590e-02,5.074867e-06,5.074310e-06,5.058451e-06,6.543774e+04,1.062160e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,1.122128e+00,2.443651e+00,7.901110e-01,7.477048e-01,7.900474e-01,4.240620e-02,5.090561e-06,5.090013e-06,5.074766e-06,6.543762e+04,1.062160e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,1.123215e+00,2.773651e+00,7.901736e-01,7.477668e-01,7.901104e-01,4.240680e-02,5.106134e-06,5.105566e-06,5.090415e-06,6.543761e+04,1.062160e+04
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,1.042783e+00,2.165255e+00,7.084638e-01,6.532947e-01,7.083858e-01,5.516910e-02,5.076177e-06,5.076209e-06,5.061328e-06,6.606906e+04,1.072190e+04
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,1.043825e+00,2.495255e+00,7.085375e-01,6.533679e-01,7.084626e-01,5.516960e-02,5.090241e-06,5.090266e-06,5.075945e-06,6.606896e+04,1.072190e+04
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,1.044826e+00,2.825255e+00,7.086114e-01,6.534415e-01,7.085361e-01,5.516990e-02,5.104407e-06,5.104426e-06,5.089975e-06,6.606907e+04,1.072189e+04
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,9.218087e-01,2.262368e+00,5.802243e-01,5.058780e-01,5.801316e-01,7.434630e-02,5.081045e-06,5.081748e-06,5.067926e-06,6.741951e+04,1.093775e+04
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,9.227508e-01,2.592368e+00,5.803106e-01,5.059639e-01,5.802210e-01,7.434670e-02,5.093294e-06,5.093988e-06,5.080576e-06,6.741948e+04,1.093774e+04
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,9.236609e-01,2.922368e+00,5.804008e-01,5.060544e-01,5.803071e-01,7.434640e-02,5.106130e-06,5.106909e-06,5.092797e-06,6.741949e+04,1.093773e+04
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,1.083608e+00,2.169966e+00,7.853339e-01,7.429687e-01,7.852737e-01,4.236520e-02,5.080264e-06,5.079959e-06,5.065302e-06,5.889763e+04,9.563168e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,1.084644e+00,2.499966e+00,7.853979e-01,7.430324e-01,7.853400e-01,4.236550e-02,5.096194e-06,5.095890e-06,5.081768e-06,5.889761e+04,9.563158e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,1.085641e+00,2.829966e+00,7.854613e-01,7.430954e-01,7.854036e-01,4.236590e-02,5.112020e-06,5.111701e-06,5.097613e-06,5.889764e+04,9.563177e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,1.003648e+00,2.220889e+00,7.023512e-01,6.472200e-01,7.022804e-01,5.513120e-02,5.081445e-06,5.081711e-06,5.067929e-06,5.946563e+04,9.653205e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,1.004601e+00,2.550889e+00,7.024257e-01,6.472941e-01,7.023576e-01,5.513160e-02,5.095708e-06,5.095963e-06,5.082661e-06,5.946558e+04,9.653210e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,1.005520e+00,2.880889e+00,7.025006e-01,6.473688e-01,7.024317e-01,5.513180e-02,5.110100e-06,5.110363e-06,5.096862e-06,5.946567e+04,9.653228e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,8.798635e-01,2.316882e+00,5.720161e-01,4.977050e-01,5.719320e-01,7.431110e-02,5.086547e-06,5.087465e-06,5.074619e-06,6.068071e+04,9.847144e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,8.807261e-01,2.646882e+00,5.721035e-01,4.977920e-01,5.720218e-01,7.431150e-02,5.098968e-06,5.099880e-06,5.087354e-06,6.068072e+04,9.847134e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,8.815651e-01,2.976882e+00,5.721951e-01,4.978842e-01,5.721089e-01,7.431090e-02,5.112034e-06,5.113066e-06,5.099745e-06,6.068072e+04,9.847145e+03
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,1.159724e+00,2.057118e+00,7.961808e-01,7.537334e-01,7.961085e-01,4.244740e-02,5.069612e-06,5.068812e-06,5.051782e-06,7.197767e+04,1.168003e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,1.160953e+00,2.387118e+00,7.962432e-01,7.537954e-01,7.961740e-01,4.244780e-02,5.085066e-06,5.084283e-06,5.067950e-06,7.197762e+04,1.168003e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,1.162128e+00,2.717118e+00,7.963049e-01,7.538565e-01,7.962365e-01,4.244840e-02,5.100379e-06,5.099571e-06,5.083406e-06,7.197763e+04,1.168004e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,1.083687e+00,2.109410e+00,7.164191e-01,6.612106e-01,7.163341e-01,5.520850e-02,5.071070e-06,5.070874e-06,5.054918e-06,7.267238e+04,1.179059e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,1.084818e+00,2.439410e+00,7.164919e-01,6.612829e-01,7.164105e-01,5.520900e-02,5.084936e-06,5.084738e-06,5.069425e-06,7.267244e+04,1.179060e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,1.085898e+00,2.769410e+00,7.165648e-01,6.613553e-01,7.164833e-01,5.520950e-02,5.098870e-06,5.098655e-06,5.083295e-06,7.267229e+04,1.179060e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,9.661606e-01,2.207651e+00,5.909082e-01,5.165249e-01,5.908070e-01,7.438330e-02,5.075817e-06,5.076309e-06,5.061520e-06,7.415828e+04,1.202833e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,PASS,9.671825e-01,2.537651e+00,5.909936e-01,5.166097e-01,5.908961e-01,7.438390e-02,5.087902e-06,5.088386e-06,5.074099e-06,7.415827e+04,1.202835e+04
