corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,dc_gain_db,crossover_hz,phase_margin_deg,n_crossings
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84197e+00,2.842398e+00,5.977194e-01,5.971042e-01,1.213273e+00,46.0842,4.176223e+07,92.5126,4
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16284e+00,2.163169e+00,7.849819e-01,7.846886e-01,1.135904e+00,47.3077,4.501534e+07,97.7877,2
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49303e+00,2.493389e+00,7.849949e-01,7.847282e-01,1.136194e+00,47.5015,4.487065e+07,93.6770,2
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82323e+00,2.823622e+00,7.850044e-01,7.847571e-01,1.136375e+00,47.2877,4.475473e+07,89.4167,2
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19223e+00,2.192553e+00,7.086239e-01,7.082086e-01,1.165152e+00,46.9153,4.612666e+07,100.7073,2
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52245e+00,2.522800e+00,7.086351e-01,7.082428e-01,1.165445e+00,47.0518,4.581404e+07,96.1394,2
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85269e+00,2.853076e+00,7.086396e-01,7.082566e-01,1.165537e+00,46.7156,4.576969e+07,92.4263,2
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25121e+00,2.251541e+00,5.903875e-01,5.897682e-01,1.205410e+00,46.2753,4.565761e+07,104.0111,2
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58148e+00,2.581844e+00,5.903924e-01,5.897833e-01,1.205656e+00,46.3086,4.537853e+07,100.4398,2
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91182e+00,2.912214e+00,5.903834e-01,5.897560e-01,1.205488e+00,45.7614,4.514124e+07,97.3903,2
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10681e+00,2.107143e+00,7.849758e-01,7.846698e-01,1.135812e+00,46.8241,4.492792e+07,97.8097,2
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43699e+00,2.437358e+00,7.849903e-01,7.847142e-01,1.136130e+00,47.0996,4.475149e+07,93.2349,2
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76719e+00,2.767586e+00,7.850013e-01,7.847477e-01,1.136340e+00,46.9895,4.472994e+07,89.5159,2
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13640e+00,2.136726e+00,7.086156e-01,7.081834e-01,1.165028e+00,46.4421,4.595539e+07,99.6900,2
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46661e+00,2.466967e+00,7.086288e-01,7.082235e-01,1.165356e+00,46.6627,4.592679e+07,96.2526,2
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79685e+00,2.797236e+00,7.086352e-01,7.082431e-01,1.165484e+00,46.4376,4.571321e+07,92.4358,2
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19570e+00,2.196025e+00,5.903778e-01,5.897389e-01,1.205269e+00,45.8322,4.585534e+07,105.2019,2
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52595e+00,2.526320e+00,5.903855e-01,5.897624e-01,1.205566e+00,45.9579,4.539464e+07,100.7710,2
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85628e+00,2.856682e+00,5.903792e-01,5.897432e-01,1.205449e+00,45.5368,4.516716e+07,97.5614,2
