corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,dc_gain_db,crossover_hz,phase_margin_deg,n_crossings
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13482e+00,2.135145e+00,7.849790e-01,7.846795e-01,1.135860e+00,47.0747,4.487137e+07,97.2664,2
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46500e+00,2.465363e+00,7.849927e-01,7.847215e-01,1.136164e+00,47.3098,4.482211e+07,93.5310,2
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79520e+00,2.795594e+00,7.850029e-01,7.847526e-01,1.136359e+00,47.1480,4.481576e+07,89.5107,2
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16431e+00,2.164635e+00,7.086199e-01,7.081965e-01,1.165092e+00,46.6871,4.590893e+07,99.7530,2
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49452e+00,2.494879e+00,7.086321e-01,7.082336e-01,1.165403e+00,46.8664,4.580510e+07,96.0282,2
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82476e+00,2.825151e+00,7.086375e-01,7.082502e-01,1.165512e+00,46.5859,4.564023e+07,92.1909,2
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22346e+00,2.223785e+00,5.903828e-01,5.897541e-01,1.205342e+00,46.0653,4.549128e+07,103.7126,2
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55372e+00,2.554084e+00,5.903891e-01,5.897732e-01,1.205614e+00,46.1465,4.537777e+07,100.8422,2
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88405e+00,2.884451e+00,5.903814e-01,5.897498e-01,1.205470e+00,45.6635,4.508649e+07,97.4009,2
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18218e+00,2.182485e+00,7.823850e-01,7.820858e-01,1.132975e+00,46.7918,4.927094e+07,103.2805,2
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51237e+00,2.512704e+00,7.823984e-01,7.821267e-01,1.133272e+00,46.9729,4.900155e+07,98.9905,2
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84257e+00,2.842936e+00,7.824082e-01,7.821569e-01,1.133462e+00,46.7432,4.860332e+07,93.9810,2
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.20903e+00,2.209335e+00,7.052558e-01,7.048280e-01,1.161355e+00,46.3664,5.056971e+07,105.6654,2
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.53925e+00,2.539583e+00,7.052673e-01,7.048629e-01,1.161653e+00,46.4885,5.005943e+07,101.1215,2
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.86950e+00,2.869860e+00,7.052719e-01,7.048770e-01,1.161747e+00,46.1337,4.953301e+07,96.4164,2
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26389e+00,2.264196e+00,5.858705e-01,5.852281e-01,1.200346e+00,45.6511,5.328210e+07,118.9269,2
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59416e+00,2.594503e+00,5.858753e-01,5.852429e-01,1.200591e+00,45.6698,5.013856e+07,107.2165,2
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92451e+00,2.924881e+00,5.858656e-01,5.852134e-01,1.200411e+00,45.1079,5.003488e+07,105.5669,2
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08649e+00,2.086840e+00,7.891868e-01,7.888846e-01,1.140294e+00,47.2584,4.147818e+07,93.3299,2
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41667e+00,2.417056e+00,7.892010e-01,7.889278e-01,1.140605e+00,47.5452,4.145344e+07,89.0759,2
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74687e+00,2.747284e+00,7.892115e-01,7.889599e-01,1.140807e+00,47.4502,4.148157e+07,84.9608,2
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11837e+00,2.118715e+00,7.140817e-01,7.136590e-01,1.170852e+00,46.9091,4.211218e+07,94.1533,2
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44858e+00,2.448956e+00,7.140946e-01,7.136983e-01,1.171176e+00,47.1432,4.221562e+07,90.8163,2
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77881e+00,2.779224e+00,7.141009e-01,7.137175e-01,1.171301e+00,46.9367,4.228582e+07,87.4519,2
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18140e+00,2.181752e+00,5.977170e-01,5.970969e-01,1.213073e+00,46.3571,4.157115e+07,97.8064,2
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51166e+00,2.512043e+00,5.977248e-01,5.971208e-01,1.213374e+00,46.4950,4.157557e+07,95.1398,2
