corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,dc_gain_db,crossover_hz,phase_margin_deg,n_crossings,notch_min_db,notch_min_hz,notch_margin_flag
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13482e+00,2.135145e+00,7.849790e-01,7.846795e-01,1.043445e+00,47.0747,4.564162e+07,100.9205,2,-0.5091,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46500e+00,2.465363e+00,7.849927e-01,7.847215e-01,1.043660e+00,47.3098,4.544229e+07,96.2751,2,-0.7062,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79520e+00,2.795594e+00,7.850029e-01,7.847526e-01,1.043800e+00,47.1480,4.516417e+07,91.5544,2,-0.9235,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16431e+00,2.164635e+00,7.086199e-01,7.081965e-01,1.044901e+00,46.6871,4.674005e+07,102.6839,2,-0.3782,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49452e+00,2.494879e+00,7.086321e-01,7.082336e-01,1.045111e+00,46.8664,4.619703e+07,97.9513,2,-0.5630,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82476e+00,2.825151e+00,7.086375e-01,7.082502e-01,1.045181e+00,46.5859,4.596995e+07,93.9377,2,-0.7966,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22346e+00,2.223785e+00,5.903828e-01,5.897541e-01,1.043483e+00,46.0653,4.687761e+07,109.1212,2,-0.2777,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55372e+00,2.554084e+00,5.903891e-01,5.897732e-01,1.043643e+00,46.1465,4.566398e+07,102.3590,2,-0.3657,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88405e+00,2.884451e+00,5.903814e-01,5.897498e-01,1.043508e+00,45.6635,4.581352e+07,100.1518,2,-0.4608,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18218e+00,2.182485e+00,7.823850e-01,7.820858e-01,1.040637e+00,46.7918,5.058048e+07,108.0075,2,-0.3361,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51237e+00,2.512704e+00,7.823984e-01,7.821267e-01,1.040847e+00,46.9729,4.957150e+07,101.6278,2,-0.4641,5.843414e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84257e+00,2.842936e+00,7.824082e-01,7.821569e-01,1.040983e+00,46.7432,4.920835e+07,97.0233,2,-0.6272,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.20903e+00,2.209335e+00,7.052558e-01,7.048280e-01,1.041262e+00,46.3664,5.293577e+07,113.1402,2,-0.0885,5.843414e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.53925e+00,2.539583e+00,7.052673e-01,7.048629e-01,1.041463e+00,46.4885,5.143853e+07,106.2282,2,-0.2881,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.86950e+00,2.869860e+00,7.052719e-01,7.048770e-01,1.041521e+00,46.1337,5.106071e+07,102.2672,2,-0.4859,5.843414e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26389e+00,2.264196e+00,5.858705e-01,5.852281e-01,1.038614e+00,45.6511,,,0,0.0620,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59416e+00,2.594503e+00,5.858753e-01,5.852429e-01,1.038754e+00,45.6698,5.288518e+07,117.0688,2,-0.1437,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92451e+00,2.924881e+00,5.858656e-01,5.852134e-01,1.038592e+00,45.1079,5.115364e+07,109.0190,2,-0.3077,5.843414e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08649e+00,2.086840e+00,7.891868e-01,7.888846e-01,1.047819e+00,47.2584,4.192783e+07,95.8405,2,-0.7027,4.641589e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41667e+00,2.417056e+00,7.892010e-01,7.889278e-01,1.048040e+00,47.5452,4.176477e+07,91.3077,2,-1.0114,5.011872e+07,clear
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74687e+00,2.747284e+00,7.892115e-01,7.889599e-01,1.048185e+00,47.4502,4.174471e+07,87.1658,2,-1.2850,5.011872e+07,clear
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11837e+00,2.118715e+00,7.140817e-01,7.136590e-01,1.050581e+00,46.9091,4.278869e+07,98.0618,2,-0.6396,5.011872e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44858e+00,2.448956e+00,7.140946e-01,7.136983e-01,1.050802e+00,47.1432,4.259642e+07,92.9078,2,-0.8238,5.011872e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77881e+00,2.779224e+00,7.141009e-01,7.137175e-01,1.050884e+00,46.9367,4.250679e+07,89.5102,2,-1.0770,5.011872e+07,clear
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18140e+00,2.181752e+00,5.977170e-01,5.970969e-01,1.051110e+00,46.3571,4.233870e+07,102.0635,2,-0.5129,5.011872e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51166e+00,2.512043e+00,5.977248e-01,5.971208e-01,1.051292e+00,46.4950,4.194120e+07,97.2934,4,-0.7042,4.641589e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84197e+00,2.842398e+00,5.977194e-01,5.971042e-01,1.051189e+00,46.0842,4.181304e+07,93.7733,2,-0.8194,4.641589e+07,marginal
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16284e+00,2.163169e+00,7.849819e-01,7.846886e-01,1.043480e+00,47.3077,4.545699e+07,100.6620,2,-0.5764,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49303e+00,2.493389e+00,7.849949e-01,7.847282e-01,1.043685e+00,47.5015,4.512020e+07,95.5540,2,-0.7002,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82323e+00,2.823622e+00,7.850044e-01,7.847571e-01,1.043814e+00,47.2877,4.513766e+07,91.9620,2,-0.8995,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19223e+00,2.192553e+00,7.086239e-01,7.082086e-01,1.044948e+00,46.9153,4.647714e+07,101.9009,2,-0.3124,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52245e+00,2.522800e+00,7.086351e-01,7.082428e-01,1.045145e+00,47.0518,4.628757e+07,97.9532,2,-0.5352,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85269e+00,2.853076e+00,7.086396e-01,7.082566e-01,1.045202e+00,46.7156,4.628838e+07,94.9315,2,-0.7580,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25121e+00,2.251541e+00,5.903875e-01,5.897682e-01,1.043537e+00,46.2753,4.641997e+07,107.6494,2,-0.1925,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58148e+00,2.581844e+00,5.903924e-01,5.897833e-01,1.043678e+00,46.3086,4.586667e+07,103.1068,2,-0.3362,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91182e+00,2.912214e+00,5.903834e-01,5.897560e-01,1.043526e+00,45.7614,4.559200e+07,99.7102,2,-0.5052,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10681e+00,2.107143e+00,7.849758e-01,7.846698e-01,1.043407e+00,46.8241,4.544817e+07,100.6113,2,-0.5550,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43699e+00,2.437358e+00,7.849903e-01,7.847142e-01,1.043633e+00,47.0996,4.516286e+07,95.6282,2,-0.6846,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76719e+00,2.767586e+00,7.850013e-01,7.847477e-01,1.043784e+00,46.9895,4.505794e+07,91.2669,2,-0.9471,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13640e+00,2.136726e+00,7.086156e-01,7.081834e-01,1.044849e+00,46.4421,4.657415e+07,102.5160,2,-0.3847,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46661e+00,2.466967e+00,7.086288e-01,7.082235e-01,1.045073e+00,46.6627,4.627894e+07,98.3487,2,-0.4903,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79685e+00,2.797236e+00,7.086352e-01,7.082431e-01,1.045157e+00,46.4376,4.607529e+07,94.2553,2,-0.7600,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19570e+00,2.196025e+00,5.903778e-01,5.897389e-01,1.043425e+00,45.8322,4.669846e+07,108.6023,2,-0.2200,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52595e+00,2.526320e+00,5.903855e-01,5.897624e-01,1.043604e+00,45.9579,4.617595e+07,104.3216,2,-0.2856,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85628e+00,2.856682e+00,5.903792e-01,5.897432e-01,1.043489e+00,45.5368,4.397830e+07,43.9155,20,-16.2597,2.928645e+08,clear
