corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,dc_gain_db,crossover_hz,phase_margin_deg,n_crossings,notch_min_db,notch_min_hz,notch_margin_flag
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13653e+00,2.137131e+00,7.844850e-01,7.841900e-01,1.045690e+00,47.1263,4.559086e+07,102.9929,2,-0.3939,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46669e+00,2.467362e+00,7.844954e-01,7.842286e-01,1.045923e+00,47.3628,4.527386e+07,97.8932,2,-0.6407,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79688e+00,2.797605e+00,7.845023e-01,7.842565e-01,1.046080e+00,47.2041,4.493357e+07,93.1668,2,-0.8304,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16596e+00,2.166563e+00,7.081334e-01,7.077146e-01,1.047112e+00,46.7289,4.646137e+07,103.5185,2,-0.2861,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49615e+00,2.496820e+00,7.081423e-01,7.077483e-01,1.047339e+00,46.9078,4.623257e+07,99.6625,2,-0.5184,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82638e+00,2.827105e+00,7.081445e-01,7.077619e-01,1.047424e+00,46.6281,4.617193e+07,96.4441,2,-0.7086,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22496e+00,2.225581e+00,5.899336e-01,5.893094e-01,1.045514e+00,46.0941,4.739033e+07,111.3226,2,-0.1297,5.011872e+07,marginal
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55520e+00,2.555891e+00,5.899368e-01,5.893254e-01,1.045688e+00,46.1731,4.630083e+07,105.5119,2,-0.3123,5.411695e+07,marginal
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88551e+00,2.886270e+00,5.899260e-01,5.892992e-01,1.045567e+00,45.6885,4.604867e+07,102.4034,2,-0.4004,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18432e+00,2.184895e+00,7.817973e-01,7.815036e-01,1.043305e+00,46.8437,5.125978e+07,111.9107,2,-0.1938,5.411695e+07,marginal
