corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,psrr_dc_db,psrr_min_db,psrr_min_freq_hz,psrr_1khz_db,psrr_100khz_db,psrr_1mhz_db
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13653e+00,2.137131e+00,7.844850e-01,7.841900e-01,1.045690e+00,61.8598,3.3560,3.414549e+07,61.8597,61.5346,52.2367
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46669e+00,2.467362e+00,7.844954e-01,7.842286e-01,1.045923e+00,64.4517,3.2605,3.686945e+07,64.4516,63.8741,52.4472
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79688e+00,2.797605e+00,7.845023e-01,7.842565e-01,1.046080e+00,69.2687,3.1024,3.686945e+07,69.2685,67.711,52.6517
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16596e+00,2.166563e+00,7.081334e-01,7.077146e-01,1.047112e+00,61.2930,3.3791,3.686945e+07,61.293,61.0021,52.1178
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49615e+00,2.496820e+00,7.081423e-01,7.077483e-01,1.047339e+00,66.0676,3.2755,3.686945e+07,66.0675,65.246,52.4974
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82638e+00,2.827105e+00,7.081445e-01,7.077619e-01,1.047424e+00,100.3999,3.1840,3.686945e+07,100.16,72.8494,52.6865
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22496e+00,2.225581e+00,5.899336e-01,5.893094e-01,1.045514e+00,61.1999,3.5553,3.414549e+07,61.1999,60.9347,52.3536
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55520e+00,2.555891e+00,5.899368e-01,5.893254e-01,1.045688e+00,77.0032,3.5769,3.414549e+07,77.0021,71.5719,52.8022
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88551e+00,2.886270e+00,5.899260e-01,5.892992e-01,1.045567e+00,60.4059,3.5972,3.686945e+07,60.4058,60.1587,51.8854
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18432e+00,2.184895e+00,7.817973e-01,7.815036e-01,1.043305e+00,61.9919,3.9791,3.686945e+07,61.9919,61.7873,54.1307
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51450e+00,2.515128e+00,7.818074e-01,7.815412e-01,1.043533e+00,64.6523,3.9253,3.686945e+07,64.6523,64.2773,54.443
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84468e+00,2.845373e+00,7.818141e-01,7.815683e-01,1.043687e+00,69.3958,3.8132,3.981072e+07,69.3957,68.3588,54.7354
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.21112e+00,2.211683e+00,7.046756e-01,7.042535e-01,1.043902e+00,61.5290,4.0105,3.686945e+07,61.529,61.3421,54.0077
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.54131e+00,2.541943e+00,7.046838e-01,7.042851e-01,1.044119e+00,66.6706,3.9934,3.981072e+07,66.6705,66.0803,54.5466
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.87155e+00,2.872233e+00,7.046852e-01,7.042962e-01,1.044194e+00,87.8457,3.8903,3.981072e+07,87.8373,74.7417,54.7624
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26582e+00,2.266406e+00,5.853290e-01,5.846925e-01,1.041073e+00,61.6606,4.2448,3.686945e+07,61.6605,61.4866,54.3559
