corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,psrr_dc_db,psrr_min_db,psrr_min_freq_hz,psrr_1khz_db,psrr_100khz_db,psrr_1mhz_db
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41667e+00,2.417056e+00,7.892010e-01,7.889278e-01,1.140605e+00,62.0235,3.3450,3.414549e+07,62.0234,61.1123,48.0193
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74687e+00,2.747284e+00,7.892115e-01,7.889599e-01,1.140807e+00,67.7705,3.2447,3.414549e+07,67.7701,65.0393,48.1695
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11837e+00,2.118715e+00,7.140817e-01,7.136590e-01,1.170852e+00,58.2143,3.4417,3.414549e+07,58.2143,57.8188,47.8359
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44858e+00,2.448956e+00,7.140946e-01,7.136983e-01,1.171176e+00,62.8814,3.3708,3.414549e+07,62.8813,61.8132,48.1296
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77881e+00,2.779224e+00,7.141009e-01,7.137175e-01,1.171301e+00,99.6472,3.3292,3.414549e+07,99.1062,68.4149,48.2832
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18140e+00,2.181752e+00,5.977170e-01,5.970969e-01,1.213073e+00,57.1640,3.5535,3.162278e+07,57.1639,56.8808,48.0953
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51166e+00,2.512043e+00,5.977248e-01,5.971208e-01,1.213374e+00,68.2966,3.6075,3.162278e+07,68.2962,65.5177,48.542
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84197e+00,2.842398e+00,5.977194e-01,5.971042e-01,1.213273e+00,59.0564,3.5990,3.414549e+07,59.0564,58.599,48.0774
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16284e+00,2.163169e+00,7.849819e-01,7.846886e-01,1.135904e+00,59.7826,3.9124,3.414549e+07,59.7826,59.384,49.3719
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49303e+00,2.493389e+00,7.849949e-01,7.847282e-01,1.136194e+00,62.7726,3.8824,3.686945e+07,62.7725,62.0149,49.6056
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82323e+00,2.823622e+00,7.850044e-01,7.847571e-01,1.136375e+00,68.9660,3.7571,3.686945e+07,68.9657,66.4438,49.8144
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19223e+00,2.192553e+00,7.086239e-01,7.082086e-01,1.165152e+00,58.8578,3.9568,3.414549e+07,58.8577,58.5408,49.3743
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52245e+00,2.522800e+00,7.086351e-01,7.082428e-01,1.165445e+00,64.1978,3.9152,3.686945e+07,64.1977,63.202,49.7703
