corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,psrr_dc_db,psrr_min_db,psrr_min_freq_hz,psrr_1khz_db,psrr_100khz_db,psrr_1mhz_db
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13482e+00,2.135145e+00,7.849790e-01,7.846795e-01,1.043445e+00,62.4278,3.4098,3.686945e+07,62.4278,61.9937,51.6604
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46500e+00,2.465363e+00,7.849927e-01,7.847215e-01,1.043660e+00,65.2456,3.2567,3.686945e+07,65.2456,64.453,51.8729
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79520e+00,2.795594e+00,7.850029e-01,7.847526e-01,1.043800e+00,70.7293,3.1254,3.686945e+07,70.729,68.4233,52.0758
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16431e+00,2.164635e+00,7.086199e-01,7.081965e-01,1.044901e+00,61.7891,3.3643,3.686945e+07,61.789,61.4178,51.6656
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49452e+00,2.494879e+00,7.086321e-01,7.082336e-01,1.045111e+00,66.9656,3.2760,3.686945e+07,66.9655,65.8552,52.0224
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82476e+00,2.825151e+00,7.086375e-01,7.082502e-01,1.045181e+00,84.6756,3.2036,3.686945e+07,84.6682,72.0985,52.1989
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22346e+00,2.223785e+00,5.903828e-01,5.897541e-01,1.043483e+00,61.6282,3.5643,3.414549e+07,61.6282,61.3023,51.9968
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55372e+00,2.554084e+00,5.903891e-01,5.897732e-01,1.043643e+00,80.1195,3.5981,3.414549e+07,80.117,71.8928,52.4031
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88405e+00,2.884451e+00,5.903814e-01,5.897498e-01,1.043508e+00,60.0401,3.5785,3.686945e+07,60.0401,59.7934,51.5435
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18218e+00,2.182485e+00,7.823850e-01,7.820858e-01,1.040637e+00,62.5794,4.0213,3.686945e+07,62.5794,62.2834,53.3598
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51237e+00,2.512704e+00,7.823984e-01,7.821267e-01,1.040847e+00,65.4870,3.9465,3.981072e+07,65.4869,64.9292,53.659
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84257e+00,2.842936e+00,7.824082e-01,7.821569e-01,1.040983e+00,70.9402,3.8045,3.981072e+07,70.94,69.2526,53.9359
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.20903e+00,2.209335e+00,7.052558e-01,7.048280e-01,1.041262e+00,62.0458,4.0507,3.686945e+07,62.0458,61.791,53.4059
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.53925e+00,2.539583e+00,7.052673e-01,7.048629e-01,1.041463e+00,67.6571,3.9722,3.981072e+07,67.657,66.7967,53.8925
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.86950e+00,2.869860e+00,7.052719e-01,7.048770e-01,1.041521e+00,80.8252,3.8873,3.981072e+07,80.8232,73.3873,54.0857
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26389e+00,2.264196e+00,5.858705e-01,5.852281e-01,1.038614e+00,62.1168,4.2404,3.686945e+07,62.1168,61.8899,53.8749
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59416e+00,2.594503e+00,5.858753e-01,5.852429e-01,1.038754e+00,92.1821,4.2593,3.686945e+07,92.1572,74.5096,54.3735
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92451e+00,2.924881e+00,5.858656e-01,5.852134e-01,1.038592e+00,59.3304,4.2844,3.686945e+07,59.3304,59.1913,52.9038
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08649e+00,2.086840e+00,7.891868e-01,7.888846e-01,1.047819e+00,62.2460,2.8165,3.414549e+07,62.246,61.6724,50.2908
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41667e+00,2.417056e+00,7.892010e-01,7.889278e-01,1.048040e+00,64.9740,2.6753,3.414549e+07,64.9739,63.9562,50.4476
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74687e+00,2.747284e+00,7.892115e-01,7.889599e-01,1.048185e+00,70.4139,2.5701,3.414549e+07,70.4135,67.5856,50.6018
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11837e+00,2.118715e+00,7.140817e-01,7.136590e-01,1.050581e+00,61.5176,2.7526,3.414549e+07,61.5175,61.0298,50.2579
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44858e+00,2.448956e+00,7.140946e-01,7.136983e-01,1.050802e+00,66.3118,2.6790,3.414549e+07,66.3116,64.9921,50.5358
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77881e+00,2.779224e+00,7.141009e-01,7.137175e-01,1.050884e+00,92.5320,2.6327,3.414549e+07,92.4683,70.8063,50.693
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18140e+00,2.181752e+00,5.977170e-01,5.970969e-01,1.051110e+00,61.1095,2.9675,3.162278e+07,61.1095,60.6955,50.5064
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51166e+00,2.512043e+00,5.977248e-01,5.971208e-01,1.051292e+00,74.8920,2.9326,3.414549e+07,74.891,69.5679,50.873
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84197e+00,2.842398e+00,5.977194e-01,5.971042e-01,1.051189e+00,61.0977,2.8693,3.414549e+07,61.0976,60.6725,50.42
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16284e+00,2.163169e+00,7.849819e-01,7.846886e-01,1.043480e+00,62.8117,3.4065,3.686945e+07,62.8117,62.3529,51.8102
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49303e+00,2.493389e+00,7.849949e-01,7.847282e-01,1.043685e+00,65.7641,3.2578,3.686945e+07,65.764,64.908,52.0374
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82323e+00,2.823622e+00,7.850044e-01,7.847571e-01,1.043814e+00,71.6236,3.1292,3.686945e+07,71.6233,69.0027,52.2477
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19223e+00,2.192553e+00,7.086239e-01,7.082086e-01,1.044948e+00,62.2237,3.3531,3.686945e+07,62.2236,61.8255,51.8111
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52245e+00,2.522800e+00,7.086351e-01,7.082428e-01,1.045145e+00,67.7875,3.2686,3.686945e+07,67.7873,66.5129,52.1775
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85269e+00,2.853076e+00,7.086396e-01,7.082566e-01,1.045202e+00,80.4150,3.1985,3.686945e+07,80.4123,71.8479,52.3445
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25121e+00,2.251541e+00,5.903875e-01,5.897682e-01,1.043537e+00,62.2096,3.5442,3.414549e+07,62.2096,61.8484,52.1606
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58148e+00,2.581844e+00,5.903924e-01,5.897833e-01,1.043678e+00,87.6227,3.5744,3.414549e+07,87.6094,72.6029,52.5474
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91182e+00,2.912214e+00,5.903834e-01,5.897560e-01,1.043526e+00,59.6172,3.5307,3.686945e+07,59.6172,59.4009,51.6167
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10681e+00,2.107143e+00,7.849758e-01,7.846698e-01,1.043407e+00,62.0429,3.4211,3.414549e+07,62.0429,61.6353,51.5385
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43699e+00,2.437358e+00,7.849903e-01,7.847142e-01,1.043633e+00,64.7333,3.2674,3.686945e+07,64.7332,64.004,51.7373
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76719e+00,2.767586e+00,7.850013e-01,7.847477e-01,1.043784e+00,69.8692,3.1317,3.686945e+07,69.8689,67.8479,51.9335
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13640e+00,2.136726e+00,7.086156e-01,7.081834e-01,1.044849e+00,61.3620,3.3845,3.686945e+07,61.3619,61.0177,51.5464
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46661e+00,2.466967e+00,7.086288e-01,7.082235e-01,1.045073e+00,66.1910,3.2914,3.686945e+07,66.1909,65.2227,51.8946
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79685e+00,2.797236e+00,7.086352e-01,7.082431e-01,1.045157e+00,94.1392,3.2152,3.686945e+07,94.0722,72.1951,52.0804
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19570e+00,2.196025e+00,5.903778e-01,5.897389e-01,1.043425e+00,61.0594,3.5774,3.414549e+07,61.0594,60.7674,51.865
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52595e+00,2.526320e+00,5.903855e-01,5.897624e-01,1.043604e+00,75.9451,3.6069,3.414549e+07,75.9442,70.883,52.297
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85628e+00,2.856682e+00,5.903792e-01,5.897432e-01,1.043489e+00,60.5516,3.6043,3.686945e+07,60.5515,60.2679,51.5157
