corner_label,temp_c,vdd_v,psrr_min_freq_hz,psrr_min_db,zout_peak_freq_hz,zout_peak_db,freq_ratio_zout_over_psrr,verdict_psrr_pex,verdict_zout_pex
typ,-40,2.97,2.928645e+07,-1.4647,1.000000e+00,96.9533,0.0000,PASS,PASS
typ,-40,3.30,2.928645e+07,-1.6169,1.000000e+00,96.9538,0.0000,PASS,PASS
typ,-40,3.63,2.928645e+07,-1.7389,1.000000e+00,96.9539,0.0000,PASS,PASS
typ,27,2.97,2.928645e+07,-1.5157,1.000000e+00,97.0354,0.0000,PASS,PASS
typ,27,3.30,2.928645e+07,-1.6229,1.000000e+00,97.0364,0.0000,PASS,PASS
typ,27,3.63,2.928645e+07,-1.7059,1.000000e+00,97.0370,0.0000,PASS,PASS
typ,125,2.97,2.712273e+07,-1.3375,1.000000e+00,97.2090,0.0000,PASS,PASS
typ,125,3.30,2.928645e+07,-1.3531,1.000000e+00,97.2108,0.0000,PASS,PASS
typ,125,3.63,2.928645e+07,-1.4511,1.000000e+00,97.2120,0.0000,PASS,PASS
bcs,-40,2.97,2.928645e+07,-0.9905,1.000000e+00,96.0387,0.0000,PASS,PASS
bcs,-40,3.30,3.162278e+07,-1.0893,1.000000e+00,96.0393,0.0000,PASS,PASS
bcs,-40,3.63,3.162278e+07,-1.2267,1.000000e+00,96.0394,0.0000,PASS,PASS
bcs,27,2.97,3.162278e+07,-0.9834,1.000000e+00,96.1211,0.0000,PASS,PASS
bcs,27,3.30,3.162278e+07,-1.0981,1.000000e+00,96.1222,0.0000,PASS,PASS
bcs,27,3.63,3.162278e+07,-1.1968,1.000000e+00,96.1227,0.0000,PASS,PASS
bcs,125,2.97,2.928645e+07,-0.8393,1.000000e+00,96.2949,0.0000,PASS,PASS
bcs,125,3.30,2.928645e+07,-0.8699,1.000000e+00,96.2968,0.0000,PASS,PASS
bcs,125,3.63,3.162278e+07,-0.8906,1.000000e+00,96.2980,0.0000,PASS,PASS
wcs,-40,2.97,2.712273e+07,-1.9183,1.000000e+00,97.7809,0.0000,PASS,PASS
wcs,-40,3.30,2.712273e+07,-2.0537,1.000000e+00,97.7815,0.0000,PASS,PASS
wcs,-40,3.63,2.712273e+07,-2.1473,1.000000e+00,97.7816,0.0000,PASS,PASS
wcs,27,2.97,2.712273e+07,-1.9735,1.000000e+00,97.8628,0.0000,PASS,PASS
wcs,27,3.30,2.712273e+07,-2.0626,1.000000e+00,97.8638,0.0000,PASS,PASS
wcs,27,3.63,2.712273e+07,-2.1187,1.000000e+00,97.8643,0.0000,PASS,PASS
wcs,125,2.97,2.712273e+07,-1.7722,1.000000e+00,98.0361,0.0000,PASS,PASS
wcs,125,3.30,2.712273e+07,-1.8805,1.000000e+00,98.0379,0.0000,PASS,PASS
wcs,125,3.63,2.712273e+07,-1.9733,1.000000e+00,98.0391,0.0000,PASS,PASS
sf,-40,2.97,2.928645e+07,-1.5015,1.000000e+00,96.9524,0.0000,PASS,PASS
sf,-40,3.30,2.928645e+07,-1.6526,1.000000e+00,96.9530,0.0000,PASS,PASS
sf,-40,3.63,2.928645e+07,-1.7749,1.000000e+00,96.9532,0.0000,PASS,PASS
sf,27,2.97,2.928645e+07,-1.5587,1.000000e+00,97.0347,0.0000,PASS,PASS
sf,27,3.30,2.928645e+07,-1.6641,1.000000e+00,97.0358,0.0000,PASS,PASS
sf,27,3.63,2.928645e+07,-1.7463,1.000000e+00,97.0363,0.0000,PASS,PASS
sf,125,2.97,2.712273e+07,-1.3817,1.000000e+00,97.2084,0.0000,PASS,PASS
sf,125,3.30,2.928645e+07,-1.4137,1.000000e+00,97.2103,0.0000,PASS,PASS
sf,125,3.63,2.928645e+07,-1.5189,1.000000e+00,97.2115,0.0000,PASS,PASS
fs,-40,2.97,2.928645e+07,-1.4160,1.000000e+00,96.9541,0.0000,PASS,PASS
fs,-40,3.30,2.928645e+07,-1.5705,1.000000e+00,96.9546,0.0000,PASS,PASS
fs,-40,3.63,2.928645e+07,-1.6938,1.000000e+00,96.9547,0.0000,PASS,PASS
fs,27,2.97,2.928645e+07,-1.4642,1.000000e+00,97.0361,0.0000,PASS,PASS
fs,27,3.30,2.928645e+07,-1.5740,1.000000e+00,97.0371,0.0000,PASS,PASS
fs,27,3.63,2.928645e+07,-1.6592,1.000000e+00,97.0376,0.0000,PASS,PASS
fs,125,2.97,2.712273e+07,-1.2950,1.000000e+00,97.2095,0.0000,PASS,PASS
fs,125,3.30,2.712273e+07,-1.3117,1.000000e+00,97.2114,0.0000,PASS,PASS
fs,125,3.63,2.928645e+07,-1.3965,1.000000e+00,97.2126,0.0000,PASS,PASS
