corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,zout_dc_db,zout_peak_db,zout_peak_freq_hz,zout_1khz_db,zout_100khz_db,zout_1mhz_db
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,2.13653e+00,2.137383e+00,7.843983e-01,7.841066e-01,1.044864e+00,96.9533,96.9533,1.000000e+00,96.9533,96.9532,96.9484
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,2.46669e+00,2.467609e+00,7.844099e-01,7.841487e-01,1.045111e+00,96.9538,96.9538,1.000000e+00,96.9538,96.9538,96.949
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,2.79688e+00,2.797848e+00,7.844179e-01,7.841801e-01,1.045284e+00,96.9539,96.9539,1.000000e+00,96.9539,96.9539,96.9491
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,2.16596e+00,2.166884e+00,7.080207e-01,7.076058e-01,1.046045e+00,97.0354,97.0354,1.000000e+00,97.0354,97.0353,97.0304
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,2.49615e+00,2.497136e+00,7.080308e-01,7.076432e-01,1.046287e+00,97.0364,97.0364,1.000000e+00,97.0364,97.0364,97.0315
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,2.82638e+00,2.827416e+00,7.080342e-01,7.076605e-01,1.046389e+00,97.0370,97.0370,1.000000e+00,97.037,97.0369,97.0321
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,2.22496e+00,2.226010e+00,5.897835e-01,5.891636e-01,1.044100e+00,97.2090,97.2090,1.000000e+00,97.209,97.2089,97.2038
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,2.55520e+00,2.556316e+00,5.897879e-01,5.891833e-01,1.044290e+00,97.2108,97.2108,1.000000e+00,97.2108,97.2108,97.2057
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,2.88551e+00,2.886689e+00,5.897783e-01,5.891609e-01,1.044187e+00,97.2120,97.2120,1.000000e+00,97.212,97.212,97.2069
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,2.18432e+00,2.185180e+00,7.817022e-01,7.814130e-01,1.042394e+00,96.0387,96.0387,1.000000e+00,96.0387,96.0387,96.0348
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,2.51450e+00,2.515407e+00,7.817136e-01,7.814544e-01,1.042638e+00,96.0393,96.0393,1.000000e+00,96.0393,96.0392,96.0354
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,2.84468e+00,2.845647e+00,7.817215e-01,7.814855e-01,1.042810e+00,96.0394,96.0394,1.000000e+00,96.0394,96.0394,96.0355
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,2.21112e+00,2.212045e+00,7.045519e-01,7.041351e-01,1.042726e+00,96.1211,96.1211,1.000000e+00,96.1211,96.121,96.117
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,2.54131e+00,2.542300e+00,7.045614e-01,7.041708e-01,1.042960e+00,96.1222,96.1222,1.000000e+00,96.1222,96.1221,96.1182
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,2.87155e+00,2.872584e+00,7.045642e-01,7.041860e-01,1.043053e+00,96.1227,96.1227,1.000000e+00,96.1227,96.1227,96.1187
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,2.26582e+00,2.266891e+00,5.851642e-01,5.845335e-01,1.039513e+00,96.2949,96.2949,1.000000e+00,96.2949,96.2948,96.2907
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,2.59607e+00,2.597203e+00,5.851673e-01,5.845493e-01,1.039685e+00,96.2968,96.2968,1.000000e+00,96.2968,96.2967,96.2926
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,2.92639e+00,2.927588e+00,5.851559e-01,5.845215e-01,1.039557e+00,96.2980,96.2980,1.000000e+00,96.298,96.298,96.2939
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,2.08775e+00,2.088620e+00,7.887149e-01,7.884184e-01,1.048847e+00,97.7809,97.7809,1.000000e+00,97.7809,97.7809,97.7751
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,2.41792e+00,2.418845e+00,7.887267e-01,7.884614e-01,1.049098e+00,97.7815,97.7815,1.000000e+00,97.7815,97.7814,97.7757
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,2.74809e+00,2.749082e+00,7.887350e-01,7.884935e-01,1.049274e+00,97.7816,97.7816,1.000000e+00,97.7816,97.7815,97.7758
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,2.11958e+00,2.120505e+00,7.135935e-01,7.131772e-01,1.051349e+00,97.8628,97.8628,1.000000e+00,97.8628,97.8627,97.8568
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,2.44977e+00,2.450754e+00,7.136042e-01,7.132165e-01,1.051600e+00,97.8638,97.8638,1.000000e+00,97.8638,97.8638,97.8579
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,2.77998e+00,2.781030e+00,7.136084e-01,7.132359e-01,1.051712e+00,97.8643,97.8643,1.000000e+00,97.8643,97.8643,97.8585
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,2.18247e+00,2.183509e+00,5.972304e-01,5.966168e-01,1.051382e+00,98.0361,98.0361,1.000000e+00,98.0361,98.036,98.0299
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,PASS,2.51269e+00,2.513808e+00,5.972362e-01,5.966410e-01,1.051592e+00,98.0379,98.0379,1.000000e+00,98.0379,98.0379,98.0318
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,PASS,2.84298e+00,2.844170e+00,5.972288e-01,5.966251e-01,1.051519e+00,98.0391,98.0391,1.000000e+00,98.0391,98.0391,98.033
sf,hbt_typ,mos_sf,res_typ,-40,2.97,PASS,2.16474e+00,2.165592e+00,7.843485e-01,7.840629e-01,1.045127e+00,96.9524,96.9524,1.000000e+00,96.9524,96.9524,96.9476
sf,hbt_typ,mos_sf,res_typ,-40,3.30,PASS,2.49491e+00,2.495821e+00,7.843592e-01,7.841025e-01,1.045364e+00,96.9530,96.9530,1.000000e+00,96.953,96.953,96.9482
sf,hbt_typ,mos_sf,res_typ,-40,3.63,PASS,2.82510e+00,2.826062e+00,7.843665e-01,7.841316e-01,1.045527e+00,96.9532,96.9532,1.000000e+00,96.9532,96.9531,96.9484
sf,hbt_typ,mos_sf,res_typ,27,2.97,PASS,2.19407e+00,2.194984e+00,7.079721e-01,7.075653e-01,1.046322e+00,97.0347,97.0347,1.000000e+00,97.0347,97.0346,97.0297
sf,hbt_typ,mos_sf,res_typ,27,3.30,PASS,2.52426e+00,2.525239e+00,7.079812e-01,7.075996e-01,1.046552e+00,97.0358,97.0358,1.000000e+00,97.0358,97.0357,97.0309
sf,hbt_typ,mos_sf,res_typ,27,3.63,PASS,2.85449e+00,2.855522e+00,7.079836e-01,7.076140e-01,1.046641e+00,97.0363,97.0363,1.000000e+00,97.0363,97.0363,97.0314
sf,hbt_typ,mos_sf,res_typ,125,2.97,PASS,2.25290e+00,2.253946e+00,5.897365e-01,5.891259e-01,1.044382e+00,97.2084,97.2084,1.000000e+00,97.2084,97.2083,97.2032
sf,hbt_typ,mos_sf,res_typ,125,3.30,PASS,2.58314e+00,2.584256e+00,5.897395e-01,5.891415e-01,1.044554e+00,97.2103,97.2103,1.000000e+00,97.2103,97.2102,97.2051
sf,hbt_typ,mos_sf,res_typ,125,3.63,PASS,2.91346e+00,2.914633e+00,5.897286e-01,5.891152e-01,1.044433e+00,97.2115,97.2115,1.000000e+00,97.2115,97.2114,97.2064
fs,hbt_typ,mos_fs,res_typ,-40,2.97,PASS,2.10833e+00,2.109191e+00,7.844484e-01,7.841502e-01,1.044594e+00,96.9541,96.9541,1.000000e+00,96.9541,96.954,96.9492
fs,hbt_typ,mos_fs,res_typ,-40,3.30,PASS,2.43849e+00,2.439414e+00,7.844608e-01,7.841949e-01,1.044852e+00,96.9546,96.9546,1.000000e+00,96.9546,96.9546,96.9498
fs,hbt_typ,mos_fs,res_typ,-40,3.63,PASS,2.76867e+00,2.769650e+00,7.844697e-01,7.842287e-01,1.045035e+00,96.9547,96.9547,1.000000e+00,96.9547,96.9547,96.9499
fs,hbt_typ,mos_fs,res_typ,27,2.97,PASS,2.13786e+00,2.138789e+00,7.080695e-01,7.076460e-01,1.045760e+00,97.0361,97.0361,1.000000e+00,97.0361,97.036,97.0311
fs,hbt_typ,mos_fs,res_typ,27,3.30,PASS,2.46805e+00,2.469037e+00,7.080807e-01,7.076865e-01,1.046016e+00,97.0371,97.0371,1.000000e+00,97.0371,97.0371,97.0322
fs,hbt_typ,mos_fs,res_typ,27,3.63,PASS,2.79827e+00,2.799314e+00,7.080851e-01,7.077068e-01,1.046131e+00,97.0376,97.0376,1.000000e+00,97.0376,97.0376,97.0328
fs,hbt_typ,mos_fs,res_typ,125,2.97,PASS,2.19701e+00,2.198065e+00,5.898308e-01,5.892010e-01,1.043811e+00,97.2095,97.2095,1.000000e+00,97.2095,97.2095,97.2044
fs,hbt_typ,mos_fs,res_typ,125,3.30,PASS,2.52724e+00,2.528366e+00,5.898366e-01,5.892251e-01,1.044020e+00,97.2114,97.2114,1.000000e+00,97.2114,97.2113,97.2062
fs,hbt_typ,mos_fs,res_typ,125,3.63,PASS,2.85754e+00,2.858735e+00,5.898286e-01,5.892070e-01,1.043936e+00,97.2126,97.2126,1.000000e+00,97.2126,97.2125,97.2075
