corner_label,vdd_v,n_pass,n_grid,vmin_v,vmin_temp_c,vmax_v,vmax_temp_c,vref_27c_v,box_tc_ppm_per_c,endpoint_tc_ppm_per_c
typ,2.97,8,8,1.0475,125,1.049,50,1.049,8.955,-0.636
typ,3.30,8,8,1.0479,125,1.0495,27,1.0495,9.067,-0.808
typ,3.63,8,8,1.048,125,1.0498,27,1.0498,10.161,-2.252
bcs,2.97,8,8,1.0429,125,1.0457,0,1.0457,16.229,-12.635
bcs,3.30,8,8,1.0433,125,1.0461,0,1.0461,16.454,-12.862
bcs,3.63,8,8,1.0433,125,1.0464,0,1.0464,17.839,-14.422
wcs,2.97,8,8,1.0516,-40,1.0551,75,1.0543,19.716,18.107
wcs,3.30,8,8,1.0521,-40,1.0555,75,1.0548,19.765,18.041
wcs,3.63,8,8,1.0525,-40,1.0558,75,1.0552,19.012,16.772
sf,2.97,8,8,1.0478,125,1.0493,50,1.0493,8.952,-0.578
sf,3.30,8,8,1.0482,125,1.0498,50,1.0497,9.122,-0.751
sf,3.63,8,8,1.0483,125,1.05,27,1.05,10.158,-2.193
fs,2.97,8,8,1.0472,125,1.0487,27,1.0487,8.900,-0.693
fs,3.30,8,8,1.0476,125,1.0492,27,1.0492,9.069,-0.866
fs,3.63,8,8,1.0477,125,1.0495,27,1.0495,10.106,-2.194
