corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vfb_v,veb_q1_v,veb_q2_v,veb_q3_v,dveb_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,typ,mos_tt,res_typ,-40,2.97,PASS,1.296360e+00,2.113651e+00,8.781591e-01,8.348473e-01,8.780527e-01,4.331180e-02,5.070577e-06,5.069984e-06,5.049355e-06,8.284371e+04,1.092877e+04
typ,typ,mos_tt,res_typ,-40,3.30,PASS,1.297823e+00,2.443651e+00,8.782153e-01,8.349108e-01,8.781238e-01,4.330450e-02,5.086413e-06,5.085833e-06,5.066155e-06,8.284373e+04,1.092875e+04
typ,typ,mos_tt,res_typ,-40,3.63,PASS,1.299211e+00,2.773651e+00,8.782745e-01,8.349732e-01,8.781911e-01,4.330130e-02,5.101931e-06,5.101342e-06,5.082102e-06,8.284365e+04,1.092877e+04
typ,typ,mos_tt,res_typ,27,2.97,PASS,1.203554e+00,2.165255e+00,7.809334e-01,7.255703e-01,7.808307e-01,5.536310e-02,5.073023e-06,5.072997e-06,5.053861e-06,8.364363e+04,1.103204e+04
typ,typ,mos_tt,res_typ,27,3.30,PASS,1.204891e+00,2.495255e+00,7.810090e-01,7.256437e-01,7.809112e-01,5.536530e-02,5.087178e-06,5.087146e-06,5.068885e-06,8.364360e+04,1.103204e+04
typ,typ,mos_tt,res_typ,27,3.63,PASS,1.206160e+00,2.825255e+00,7.810838e-01,7.257164e-01,7.809875e-01,5.536740e-02,5.101220e-06,5.101180e-06,5.083141e-06,8.364366e+04,1.103204e+04
typ,typ,mos_tt,res_typ,125,2.97,PASS,1.064208e+00,2.262368e+00,6.322453e-01,5.591711e-01,6.321263e-01,7.307420e-02,5.079090e-06,5.079689e-06,5.062212e-06,8.535433e+04,1.125423e+04
typ,typ,mos_tt,res_typ,125,3.30,PASS,1.065406e+00,2.592368e+00,6.323315e-01,5.592553e-01,6.322172e-01,7.307620e-02,5.091362e-06,5.091947e-06,5.075173e-06,8.535449e+04,1.125424e+04
typ,typ,mos_tt,res_typ,125,3.63,PASS,1.066545e+00,2.922368e+00,6.324200e-01,5.593421e-01,6.323036e-01,7.307790e-02,5.103988e-06,5.104624e-06,5.087505e-06,8.535449e+04,1.125425e+04
bcs,bcs,mos_ff,res_bcs,-40,2.97,PASS,1.255160e+00,2.169966e+00,8.782289e-01,8.350101e-01,8.781430e-01,4.321880e-02,5.075675e-06,5.075340e-06,5.056349e-06,7.456309e+04,9.839617e+03
bcs,bcs,mos_ff,res_bcs,-40,3.30,PASS,1.256492e+00,2.499966e+00,8.782917e-01,8.350750e-01,8.782142e-01,4.321670e-02,5.091752e-06,5.091422e-06,5.073267e-06,7.456296e+04,9.839609e+03
bcs,bcs,mos_ff,res_bcs,-40,3.63,PASS,1.257761e+00,2.829966e+00,8.783577e-01,8.351383e-01,8.782818e-01,4.321940e-02,5.107516e-06,5.107177e-06,5.089376e-06,7.456301e+04,9.839624e+03
bcs,bcs,mos_ff,res_bcs,27,2.97,PASS,1.161088e+00,2.220889e+00,7.802096e-01,7.249230e-01,7.801131e-01,5.528660e-02,5.078010e-06,5.078225e-06,5.060581e-06,7.528284e+04,9.932348e+03
bcs,bcs,mos_ff,res_bcs,27,3.30,PASS,1.162306e+00,2.550889e+00,7.802876e-01,7.249974e-01,7.801937e-01,5.529020e-02,5.092368e-06,5.092570e-06,5.075691e-06,7.528281e+04,9.932333e+03
bcs,bcs,mos_ff,res_bcs,27,3.63,PASS,1.163466e+00,2.880889e+00,7.803650e-01,7.250711e-01,7.802703e-01,5.529390e-02,5.106621e-06,5.106823e-06,5.090082e-06,7.528281e+04,9.932340e+03
bcs,bcs,mos_ff,res_bcs,125,2.97,PASS,1.019441e+00,2.316882e+00,6.301391e-01,5.571278e-01,6.300292e-01,7.301130e-02,5.084335e-06,5.085155e-06,5.068999e-06,7.682223e+04,1.013200e+04
bcs,bcs,mos_ff,res_bcs,125,3.30,PASS,1.020532e+00,2.646882e+00,6.302272e-01,5.572131e-01,6.301203e-01,7.301410e-02,5.096776e-06,5.097581e-06,5.082019e-06,7.682216e+04,1.013198e+04
bcs,bcs,mos_ff,res_bcs,125,3.63,PASS,1.021576e+00,2.976882e+00,6.303177e-01,5.573013e-01,6.302072e-01,7.301640e-02,5.109597e-06,5.110477e-06,5.094472e-06,7.682225e+04,1.013199e+04
wcs,wcs,mos_ss,res_wcs,-40,2.97,PASS,1.336792e+00,2.057118e+00,8.773813e-01,8.339874e-01,8.772831e-01,4.339390e-02,5.065718e-06,5.064874e-06,5.042654e-06,9.112442e+04,1.201793e+04
