point,mismatch_mode,draw_index,seed,corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_v
nominal,mismatch,12,20260921,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.500055e+00,7.077059e-01,7.049134e-01,7.992804e-03,8.044868e-14,0.0027925,1.038274e+00
nominal,mismatch,13,20260922,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.511284e+00,7.055373e-01,6.918872e-01,8.617796e-03,1.214168e-13,0.0136501,9.984078e-01
nominal,mismatch,14,20260923,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.497599e+00,7.059940e-01,7.106820e-01,8.482267e-03,6.379005e-14,0.004688,1.031831e+00
nominal,mismatch,15,20260924,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.477221e+00,7.168858e-01,7.225850e-01,7.681283e-03,1.143191e-13,0.0056992,1.115153e+00
nominal,mismatch,16,20260925,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498957e+00,7.124043e-01,7.066004e-01,8.127603e-03,9.911643e-14,0.0058039,1.051945e+00
nominal,mismatch,17,20260926,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.480563e+00,7.110785e-01,7.182078e-01,8.406316e-03,8.284265e-14,0.0071293,1.111587e+00
nominal,mismatch,18,20260927,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.504995e+00,7.035480e-01,6.962779e-01,8.534040e-03,9.042837e-14,0.0072701,1.017767e+00
nominal,mismatch,19,20260928,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.496154e+00,7.082930e-01,7.095370e-01,8.113586e-03,7.371267e-14,0.001244,1.055730e+00
nominal,mismatch,20,20260929,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.525570e+00,6.945205e-01,6.902454e-01,1.033941e-02,1.073899e-13,0.0042751,9.521175e-01
nominal,mismatch,21,20260930,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.510565e+00,7.004521e-01,6.967559e-01,1.051892e-02,1.103190e-13,0.0036962,1.002201e+00
nominal,mismatch,22,20260931,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.480341e+00,7.131410e-01,7.204596e-01,8.236382e-03,1.291411e-13,0.0073186,1.113025e+00
nominal,mismatch,23,20260932,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.510722e+00,7.043384e-01,6.934571e-01,8.440455e-03,8.926470e-14,0.0108813,1.007652e+00
nominal,mismatch,24,20260933,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.504407e+00,7.064553e-01,7.062899e-01,8.813072e-03,1.018208e-13,0.0001654,1.010000e+00
nominal,mismatch,25,20260934,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.512211e+00,7.011634e-01,6.981762e-01,9.418965e-03,1.231176e-13,0.0029872,9.929748e-01
nominal,mismatch,26,20260935,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498878e+00,7.073467e-01,7.093636e-01,8.751667e-03,1.051021e-13,0.0020169,1.039324e+00
nominal,mismatch,27,20260936,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.504607e+00,7.037115e-01,7.034963e-01,9.242039e-03,8.051905e-14,0.0002152,1.026465e+00
nominal,mismatch,28,20260937,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.483951e+00,7.084794e-01,7.204256e-01,8.214268e-03,1.173613e-13,0.0119462,1.087538e+00
nominal,mismatch,29,20260938,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.486595e+00,7.127797e-01,7.200970e-01,8.956169e-03,7.527597e-14,0.0073173,1.084139e+00
nominal,mismatch,30,20260939,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.500699e+00,7.074934e-01,7.041744e-01,8.622864e-03,9.240380e-14,0.003319,1.036970e+00
nominal,mismatch,31,20260940,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493467e+00,7.104939e-01,7.096590e-01,8.325546e-03,7.111354e-14,0.0008349,1.053569e+00
nominal,mismatch,32,20260941,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.502318e+00,7.039811e-01,7.121240e-01,8.940079e-03,1.107193e-13,0.0081429,1.037847e+00
nominal,mismatch,33,20260942,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.477092e+00,7.167458e-01,7.173640e-01,7.658984e-03,9.262868e-14,0.0006182,1.117752e+00
nominal,mismatch,34,20260943,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.504205e+00,7.083463e-01,7.061504e-01,9.022545e-03,9.550911e-14,0.0021959,1.025279e+00
nominal,mismatch,35,20260944,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.485700e+00,7.077643e-01,7.121399e-01,9.029788e-03,1.000767e-13,0.0043756,1.083232e+00
nominal,mismatch,36,20260945,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.508051e+00,7.033212e-01,7.006789e-01,9.000839e-03,1.030091e-13,0.0026423,1.010220e+00
nominal,mismatch,37,20260946,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498023e+00,7.036587e-01,7.063914e-01,9.154443e-03,1.041851e-13,0.0027327,1.044722e+00
nominal,mismatch,38,20260947,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.481188e+00,7.105532e-01,7.169575e-01,8.518834e-03,8.231712e-14,0.0064043,1.092982e+00
nominal,mismatch,39,20260948,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.511593e+00,7.035806e-01,7.063635e-01,9.204846e-03,1.081951e-13,0.0027829,9.916610e-01
nominal,mismatch,40,20260949,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.520041e+00,6.999712e-01,6.928204e-01,9.102176e-03,9.284810e-14,0.0071508,9.876479e-01
nominal,mismatch,41,20260950,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.487536e+00,7.120099e-01,7.147016e-01,7.933715e-03,1.228422e-13,0.0026917,1.075806e+00
nominal,mismatch,42,20260951,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.536814e+00,6.931468e-01,6.839494e-01,1.023782e-02,1.219787e-13,0.0091974,9.176218e-01
nominal,mismatch,43,20260952,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.510802e+00,7.033940e-01,6.994549e-01,8.927000e-03,1.021453e-13,0.0039391,9.983228e-01
nominal,mismatch,44,20260953,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.478327e+00,7.112962e-01,7.208572e-01,7.666714e-03,8.544331e-14,0.009561,1.106137e+00
nominal,mismatch,45,20260954,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.511128e+00,7.054274e-01,7.006283e-01,8.862744e-03,7.976466e-14,0.0047991,9.985040e-01
nominal,mismatch,46,20260955,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.491295e+00,7.083090e-01,7.103000e-01,8.168355e-03,1.123965e-13,0.001991,1.072232e+00
nominal,mismatch,47,20260956,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.485342e+00,7.089677e-01,7.119724e-01,7.995865e-03,9.736760e-14,0.0030047,1.082838e+00
nominal,mismatch,48,20260957,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.515596e+00,7.021094e-01,6.934571e-01,8.622669e-03,1.202704e-13,0.0086523,9.886728e-01
nominal,mismatch,49,20260958,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.476686e+00,7.109733e-01,7.210034e-01,8.586144e-03,7.470477e-14,0.0100301,1.115644e+00
nominal,mismatch,50,20260959,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.512318e+00,7.002461e-01,6.953610e-01,9.520585e-03,7.878496e-14,0.0048851,1.002170e+00
nominal,mismatch,51,20260960,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.514211e+00,7.044217e-01,6.972108e-01,8.725026e-03,8.777171e-14,0.0072109,9.860471e-01
nominal,mismatch,52,20260961,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.492097e+00,7.081249e-01,7.080559e-01,8.225680e-03,7.125291e-14,6.9e-05,1.063180e+00
nominal,mismatch,53,20260962,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.530575e+00,6.965910e-01,6.905554e-01,1.069773e-02,1.139105e-13,0.0060356,9.367768e-01
nominal,mismatch,54,20260963,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.486757e+00,7.100085e-01,7.128283e-01,8.302587e-03,9.029256e-14,0.0028198,1.086561e+00
nominal,mismatch,55,20260964,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498396e+00,7.057522e-01,7.082315e-01,8.980305e-03,7.258889e-14,0.0024793,1.049784e+00
nominal,mismatch,56,20260965,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.492983e+00,7.046364e-01,7.113165e-01,8.887372e-03,9.773990e-14,0.0066801,1.064329e+00
nominal,mismatch,57,20260966,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493484e+00,7.110415e-01,7.132685e-01,8.126950e-03,9.865299e-14,0.002227,1.044396e+00
nominal,mismatch,58,20260967,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.492383e+00,7.109567e-01,7.159577e-01,8.506036e-03,7.565109e-14,0.005001,1.058607e+00
nominal,mismatch,59,20260968,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.519177e+00,7.017469e-01,6.918741e-01,9.697625e-03,1.099513e-13,0.0098728,9.713027e-01
nominal,mismatch,60,20260969,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493742e+00,7.080045e-01,7.088084e-01,8.552359e-03,9.523737e-14,0.0008039,1.053069e+00
nominal,mismatch,61,20260970,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.507849e+00,7.063738e-01,6.985383e-01,8.688770e-03,9.365441e-14,0.0078355,1.018046e+00
nominal,mismatch,62,20260971,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.507774e+00,7.060954e-01,6.984824e-01,8.532854e-03,7.783478e-14,0.007613,1.008962e+00
nominal,mismatch,63,20260972,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.494387e+00,7.068581e-01,7.073660e-01,8.667464e-03,1.379475e-13,0.0005079,1.045632e+00
nominal,mismatch,64,20260973,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493231e+00,7.097746e-01,7.089038e-01,8.415801e-03,8.931151e-14,0.0008708,1.058174e+00
nominal,mismatch,65,20260974,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.497624e+00,7.098025e-01,7.110924e-01,8.387066e-03,9.067436e-14,0.0012899,1.049645e+00
nominal,mismatch,66,20260975,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.501426e+00,7.016672e-01,7.071052e-01,9.267662e-03,9.388739e-14,0.005438,1.020215e+00
nominal,mismatch,67,20260976,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.503865e+00,7.047061e-01,6.959019e-01,8.643700e-03,8.471226e-14,0.0088042,1.019555e+00
nominal,mismatch,68,20260977,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.509555e+00,7.023657e-01,6.976596e-01,8.779600e-03,1.047877e-13,0.0047061,1.002617e+00
nominal,mismatch,69,20260978,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.511722e+00,7.049041e-01,6.936013e-01,8.700155e-03,1.094602e-13,0.0113028,1.001338e+00
nominal,mismatch,70,20260979,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.492321e+00,7.075624e-01,7.095479e-01,9.007865e-03,8.232011e-14,0.0019855,1.063502e+00
nominal,mismatch,71,20260980,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.497633e+00,7.115839e-01,7.053364e-01,8.472394e-03,1.028837e-13,0.0062475,1.047539e+00
nominal,mismatch,72,20260981,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.502613e+00,7.063343e-01,7.013965e-01,8.600176e-03,9.191476e-14,0.0049378,1.026973e+00
nominal,mismatch,73,20260982,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.476843e+00,7.225383e-01,7.250924e-01,6.919557e-03,9.150639e-14,0.0025541,1.119842e+00
nominal,mismatch,74,20260983,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498631e+00,7.104297e-01,7.095443e-01,7.815463e-03,1.014954e-13,0.0008854,1.051878e+00
nominal,mismatch,75,20260984,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.484643e+00,7.085466e-01,7.144976e-01,7.934478e-03,7.882387e-14,0.005951,1.104175e+00
nominal,mismatch,76,20260985,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.504488e+00,7.084166e-01,7.074803e-01,8.198599e-03,8.999779e-14,0.0009363,1.027264e+00
nominal,mismatch,77,20260986,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.487963e+00,7.105425e-01,7.142899e-01,7.762336e-03,9.979653e-14,0.0037474,1.070920e+00
nominal,mismatch,78,20260987,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.500279e+00,7.083554e-01,7.083730e-01,8.636230e-03,9.264565e-14,1.76e-05,1.035362e+00
nominal,mismatch,79,20260988,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.488188e+00,7.097760e-01,7.091952e-01,8.496598e-03,6.555558e-14,0.0005808,1.075160e+00
nominal,mismatch,80,20260989,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493569e+00,7.073238e-01,7.109642e-01,8.653899e-03,9.368871e-14,0.0036404,1.058624e+00
nominal,mismatch,81,20260990,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.499341e+00,7.090306e-01,7.079235e-01,8.373086e-03,9.623953e-14,0.0011071,1.041818e+00
nominal,mismatch,82,20260991,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.499669e+00,7.063764e-01,7.054614e-01,8.754028e-03,8.944467e-14,0.000915,1.044264e+00
nominal,mismatch,83,20260992,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.471843e+00,7.173323e-01,7.233279e-01,7.939341e-03,9.676457e-14,0.0059956,1.117535e+00
nominal,mismatch,84,20260993,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.490684e+00,7.170520e-01,7.161812e-01,7.319876e-03,7.596279e-14,0.0008708,1.066461e+00
nominal,mismatch,85,20260994,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.499146e+00,7.043441e-01,7.031854e-01,9.164644e-03,1.053882e-13,0.0011587,1.031323e+00
nominal,mismatch,86,20260995,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.495273e+00,7.070485e-01,7.089696e-01,7.938221e-03,8.807699e-14,0.0019211,1.047706e+00
nominal,mismatch,87,20260996,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.487818e+00,7.123226e-01,7.116210e-01,8.743110e-03,1.045746e-13,0.0007016,1.078737e+00
nominal,mismatch,88,20260997,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.472192e+00,7.128010e-01,7.211420e-01,7.569927e-03,1.189945e-13,0.008341,1.138124e+00
nominal,mismatch,89,20260998,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.469650e+00,7.163989e-01,7.256950e-01,7.696824e-03,8.830564e-14,0.0092961,1.138560e+00
nominal,mismatch,90,20260999,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.503711e+00,7.045795e-01,7.032726e-01,8.590601e-03,9.405788e-14,0.0013069,1.021315e+00
nominal,mismatch,91,20261000,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.513053e+00,7.071403e-01,6.989548e-01,8.637695e-03,9.793196e-14,0.0081855,9.930278e-01
nominal,mismatch,92,20261001,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.483866e+00,7.150573e-01,7.191074e-01,7.859470e-03,7.381400e-14,0.0040501,1.098572e+00
nominal,mismatch,93,20261002,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.520944e+00,6.987736e-01,6.884815e-01,9.590115e-03,1.111213e-13,0.0102921,9.782041e-01
nominal,mismatch,94,20261003,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.487350e+00,7.142688e-01,7.156987e-01,7.643161e-03,9.510697e-14,0.0014299,1.078163e+00
nominal,mismatch,95,20261004,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.476100e+00,7.176009e-01,7.229160e-01,7.761837e-03,1.055077e-13,0.0053151,1.121765e+00
nominal,mismatch,96,20261005,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493270e+00,7.145516e-01,7.118322e-01,8.136316e-03,9.414074e-14,0.0027194,1.067326e+00
nominal,mismatch,97,20261006,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.506175e+00,7.085516e-01,7.043785e-01,8.525252e-03,9.008953e-14,0.0041731,1.021518e+00
nominal,mismatch,98,20261007,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.500196e+00,7.090030e-01,7.046365e-01,8.028278e-03,8.483595e-14,0.0043665,1.041159e+00
nominal,mismatch,99,20261008,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.508791e+00,7.030643e-01,6.999951e-01,9.296135e-03,1.040194e-13,0.0030692,1.014575e+00
nominal,mismatch,100,20261009,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.513719e+00,7.041147e-01,6.967924e-01,9.651896e-03,1.392019e-13,0.0073223,9.917136e-01
nominal,mismatch,101,20261010,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498993e+00,7.072315e-01,7.043293e-01,8.530384e-03,1.008943e-13,0.0029022,1.044987e+00
nominal,mismatch,102,20261011,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.492737e+00,7.033013e-01,7.086980e-01,9.075515e-03,8.137013e-14,0.0053967,1.051753e+00
nominal,mismatch,103,20261012,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.484839e+00,7.128176e-01,7.173773e-01,8.120092e-03,8.996499e-14,0.0045597,1.092105e+00
nominal,mismatch,104,20261013,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.498128e+00,7.108760e-01,7.097163e-01,7.915710e-03,9.002167e-14,0.0011597,1.042300e+00
nominal,mismatch,105,20261014,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.506904e+00,7.055476e-01,7.000012e-01,8.715003e-03,9.039754e-14,0.0055464,1.013255e+00
nominal,mismatch,106,20261015,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.550235e+00,6.916522e-01,6.752097e-01,1.157898e-02,1.013372e-13,0.0164425,8.858399e-01
nominal,mismatch,107,20261016,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.496601e+00,7.149444e-01,7.093437e-01,7.672412e-03,7.108136e-14,0.0056007,1.049182e+00
nominal,mismatch,108,20261017,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.501074e+00,7.105699e-01,7.006843e-01,8.685755e-03,8.146217e-14,0.0098856,1.029426e+00
nominal,mismatch,109,20261018,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.495713e+00,7.112944e-01,7.097039e-01,7.952288e-03,8.543248e-14,0.0015905,1.057972e+00
nominal,mismatch,110,20261019,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.507928e+00,7.025375e-01,6.997115e-01,8.749872e-03,9.783458e-14,0.002826,1.009478e+00
nominal,mismatch,111,20261020,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.493689e+00,7.095924e-01,7.135722e-01,7.863116e-03,8.873812e-14,0.0039798,1.052943e+00
nominal,mismatch,112,20261021,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.497782e+00,7.108535e-01,7.092684e-01,7.870320e-03,1.059496e-13,0.0015851,1.053129e+00
nominal,mismatch,113,20261022,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.505091e+00,7.080995e-01,7.027793e-01,8.602614e-03,9.962964e-14,0.0053202,1.017984e+00
nominal,mismatch,114,20261023,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.492938e+00,7.083023e-01,7.109283e-01,8.748031e-03,9.859101e-14,0.002626,1.068755e+00
nominal,mismatch,115,20261024,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.494945e+00,7.089215e-01,7.093970e-01,8.113127e-03,1.215348e-13,0.0004755,1.063630e+00
nominal,mismatch,116,20261025,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.470554e+00,7.192892e-01,7.257990e-01,7.327215e-03,9.804140e-14,0.0065098,1.149710e+00
