point,mismatch_mode,draw_index,seed,corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_v
nominal,mismatch,0,20260909,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.495168e+00,7.126157e-01,7.062653e-01,8.262510e-03,8.886740e-14,0.0063504,1.051133e+00
nominal,mismatch,1,20260910,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.502832e+00,7.013155e-01,7.021770e-01,9.101975e-03,1.250368e-13,0.0008615,1.020032e+00
nominal,mismatch,2,20260911,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.487387e+00,7.102319e-01,7.147144e-01,7.748098e-03,8.615550e-14,0.0044825,1.084036e+00
nominal,mismatch,3,20260912,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.499614e+00,7.079155e-01,7.059628e-01,9.044736e-03,8.332289e-14,0.0019527,1.042757e+00
nominal,mismatch,4,20260913,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.500057e+00,7.096501e-01,7.069366e-01,8.210839e-03,8.319781e-14,0.0027135,1.033720e+00
nominal,mismatch,5,20260914,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.484030e+00,7.117884e-01,7.194407e-01,8.012231e-03,7.832965e-14,0.0076523,1.090076e+00
nominal,mismatch,6,20260915,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.510246e+00,7.054498e-01,7.011249e-01,9.073704e-03,1.006235e-13,0.0043249,1.000706e+00
nominal,mismatch,7,20260916,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.497647e+00,7.117036e-01,7.080871e-01,8.133200e-03,1.024539e-13,0.0036165,1.051631e+00
nominal,mismatch,8,20260917,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.472980e+00,7.144533e-01,7.264753e-01,8.055242e-03,9.761992e-14,0.012022,1.141932e+00
nominal,mismatch,9,20260918,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.486507e+00,7.109283e-01,7.153560e-01,8.491763e-03,7.400583e-14,0.0044277,1.081742e+00
nominal,mismatch,10,20260919,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.497245e+00,7.096229e-01,7.077550e-01,9.296495e-03,8.754158e-14,0.0018679,1.057589e+00
nominal,mismatch,11,20260920,typ,hbt_typ_mismatch,mos_tt_mismatch,res_typ_mismatch,27,3.30,10u,PASS,2.512404e+00,7.006870e-01,7.015355e-01,9.256987e-03,9.551462e-14,0.0008485,9.992919e-01
