corner_label,vdd_v,box_tc_schematic_ppm_per_c,box_tc_pex_ppm_per_c,delta_ppm_per_c
typ,2.97,8.955,10.623,1.668
typ,3.30,9.067,10.673,1.606
typ,3.63,10.161,11.591,1.430
bcs,2.97,16.229,18.711,2.482
bcs,3.30,16.454,18.873,2.419
bcs,3.63,17.839,20.137,2.298
wcs,2.97,19.716,17.688,-2.028
wcs,3.30,19.765,17.848,-1.917
wcs,3.63,19.012,17.322,-1.690
sf,2.97,8.952,10.562,1.610
sf,3.30,9.122,10.670,1.548
sf,3.63,10.158,11.645,1.487
fs,2.97,8.900,10.568,1.668
fs,3.30,9.069,10.619,1.550
fs,3.63,10.106,11.536,1.430
