corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vpexfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,1.132111e+00,2.113651e+00,7.900365e-01,7.479579e-01,7.906128e-01,4.207860e-02,5.072067e-06,5.153746e-06,5.216816e-06,6.546104e+04,1.064940e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,1.133346e+00,2.443651e+00,7.900997e-01,7.480227e-01,7.906825e-01,4.207700e-02,5.087747e-06,5.170178e-06,5.234618e-06,6.546103e+04,1.064938e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,1.134533e+00,2.773651e+00,7.901622e-01,7.480867e-01,7.907494e-01,4.207550e-02,5.103306e-06,5.186462e-06,5.251737e-06,6.546093e+04,1.064938e+04
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,1.051716e+00,2.165255e+00,7.084509e-01,6.536161e-01,7.090284e-01,5.483480e-02,5.073724e-06,5.138204e-06,5.184990e-06,6.609224e+04,1.074969e+04
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,1.052841e+00,2.495255e+00,7.085246e-01,6.536915e-01,7.091093e-01,5.483310e-02,5.087777e-06,5.152841e-06,5.200783e-06,6.609230e+04,1.074968e+04
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,1.053923e+00,2.825255e+00,7.085985e-01,6.537671e-01,7.091870e-01,5.483140e-02,5.101931e-06,5.167584e-06,5.215980e-06,6.609228e+04,1.074968e+04
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,9.284548e-01,2.262368e+00,5.802097e-01,5.061854e-01,5.807465e-01,7.402430e-02,5.078977e-06,5.125679e-06,5.155603e-06,6.744280e+04,1.096551e+04
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,9.294602e-01,2.592368e+00,5.802960e-01,5.062736e-01,5.808403e-01,7.402240e-02,5.091216e-06,5.138348e-06,5.169117e-06,6.744283e+04,1.096551e+04
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,9.304330e-01,2.922368e+00,5.803862e-01,5.063663e-01,5.809309e-01,7.401990e-02,5.104044e-06,5.151705e-06,5.182199e-06,6.744282e+04,1.096552e+04
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,1.095712e+00,2.169966e+00,7.853225e-01,7.433478e-01,7.860285e-01,4.197470e-02,5.077425e-06,5.175525e-06,5.255910e-06,5.892101e+04,9.590950e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,1.096847e+00,2.499966e+00,7.853865e-01,7.434134e-01,7.860987e-01,4.197310e-02,5.093340e-06,5.192244e-06,5.273982e-06,5.892100e+04,9.590940e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,1.097941e+00,2.829966e+00,7.854498e-01,7.434783e-01,7.861661e-01,4.197150e-02,5.109151e-06,5.208842e-06,5.291411e-06,5.892094e+04,9.590961e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,1.013524e+00,2.220889e+00,7.023382e-01,6.476112e-01,7.030604e-01,5.472700e-02,5.078959e-06,5.157346e-06,5.218855e-06,5.948883e+04,9.680987e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,1.014558e+00,2.550889e+00,7.024127e-01,6.476874e-01,7.031417e-01,5.472530e-02,5.093210e-06,5.172221e-06,5.234858e-06,5.948897e+04,9.681006e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,1.015555e+00,2.880889e+00,7.024876e-01,6.477643e-01,7.032201e-01,5.472330e-02,5.107591e-06,5.187250e-06,5.250313e-06,5.948882e+04,9.680987e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,8.874089e-01,2.316882e+00,5.720014e-01,4.980886e-01,5.726982e-01,7.391280e-02,5.084451e-06,5.142429e-06,5.184347e-06,6.070402e+04,9.874925e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,8.883330e-01,2.646882e+00,5.720887e-01,4.981779e-01,5.727925e-01,7.391080e-02,5.096863e-06,5.155306e-06,5.198016e-06,6.070403e+04,9.874933e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,8.892328e-01,2.976882e+00,5.721803e-01,4.982724e-01,5.728841e-01,7.390790e-02,5.109920e-06,5.168961e-06,5.211329e-06,6.070404e+04,9.874905e+03
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,1.169463e+00,2.057118e+00,7.961696e-01,7.539868e-01,7.966163e-01,4.218280e-02,5.066854e-06,5.132322e-06,5.178348e-06,7.200109e+04,1.170782e+04
