corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vpexfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,1.239452e+00,2.113651e+00,7.900199e-01,7.476383e-01,7.899253e-01,4.238160e-02,5.067955e-06,5.073406e-06,5.044597e-06,8.911053e+04,1.066067e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,1.240996e+00,2.443651e+00,7.900830e-01,7.477011e-01,7.899925e-01,4.238190e-02,5.083614e-06,5.089105e-06,5.061176e-06,8.911042e+04,1.066068e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,1.242467e+00,2.773651e+00,7.901455e-01,7.477632e-01,7.900562e-01,4.238230e-02,5.099152e-06,5.104653e-06,5.076965e-06,8.911048e+04,1.066067e+04
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,1.162576e+00,2.165255e+00,7.084320e-01,6.532905e-01,7.083209e-01,5.514150e-02,5.070122e-06,5.075417e-06,5.048997e-06,8.996937e+04,1.076097e+04
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,1.163992e+00,2.495255e+00,7.085056e-01,6.533638e-01,7.083992e-01,5.514180e-02,5.084158e-06,5.089470e-06,5.063868e-06,8.996933e+04,1.076096e+04
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,1.165339e+00,2.825255e+00,7.085795e-01,6.534373e-01,7.084735e-01,5.514220e-02,5.098295e-06,5.103626e-06,5.078019e-06,8.996924e+04,1.076098e+04
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,1.044345e+00,2.262368e+00,5.801882e-01,5.058733e-01,5.800563e-01,7.431490e-02,5.075936e-06,5.081079e-06,5.057285e-06,9.180592e+04,1.097682e+04
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,1.045619e+00,2.592368e+00,5.802745e-01,5.059592e-01,5.801475e-01,7.431530e-02,5.088164e-06,5.093317e-06,5.070169e-06,9.180591e+04,1.097682e+04
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,1.046834e+00,2.922368e+00,5.803646e-01,5.060497e-01,5.802342e-01,7.431490e-02,5.100979e-06,5.106233e-06,5.082451e-06,9.180606e+04,1.097680e+04
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,1.190493e+00,2.169966e+00,7.853057e-01,7.429651e-01,7.852195e-01,4.234060e-02,5.073255e-06,5.079042e-06,5.051898e-06,8.022203e+04,9.602224e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,1.191898e+00,2.499966e+00,7.853696e-01,7.430288e-01,7.852869e-01,4.234080e-02,5.089149e-06,5.094968e-06,5.068582e-06,8.022186e+04,9.602219e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,1.193242e+00,2.829966e+00,7.854329e-01,7.430918e-01,7.853511e-01,4.234110e-02,5.104939e-06,5.110775e-06,5.084528e-06,8.022198e+04,9.602223e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,1.111729e+00,2.220889e+00,7.023191e-01,6.472158e-01,7.022179e-01,5.510330e-02,5.075307e-06,5.080908e-06,5.056021e-06,8.099474e+04,9.692283e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,1.113017e+00,2.550889e+00,7.023935e-01,6.472899e-01,7.022963e-01,5.510360e-02,5.089542e-06,5.095156e-06,5.070964e-06,8.099460e+04,9.692284e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,1.114249e+00,2.880889e+00,7.024684e-01,6.473646e-01,7.023711e-01,5.510380e-02,5.103905e-06,5.109552e-06,5.085243e-06,8.099473e+04,9.692298e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,9.904159e-01,2.316882e+00,5.719797e-01,4.977002e-01,5.718596e-01,7.427950e-02,5.081371e-06,5.086787e-06,5.064367e-06,8.264731e+04,9.886221e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,9.915755e-01,2.646882e+00,5.720669e-01,4.977873e-01,5.719509e-01,7.427960e-02,5.093770e-06,5.099200e-06,5.077292e-06,8.264732e+04,9.886198e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,9.926878e-01,2.976882e+00,5.721585e-01,4.978794e-01,5.720383e-01,7.427910e-02,5.106814e-06,5.112382e-06,5.089693e-06,8.264732e+04,9.886214e+03
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,1.289720e+00,2.057118e+00,7.961532e-01,7.537298e-01,7.960503e-01,4.242340e-02,5.062804e-06,5.067921e-06,5.037490e-06,9.799914e+04,1.171911e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,1.291402e+00,2.387118e+00,7.962156e-01,7.537918e-01,7.961173e-01,4.242380e-02,5.078223e-06,5.083388e-06,5.053972e-06,9.799910e+04,1.171911e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,1.292998e+00,2.717118e+00,7.962772e-01,7.538529e-01,7.961808e-01,4.242430e-02,5.093502e-06,5.098672e-06,5.069610e-06,9.799910e+04,1.171911e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,1.215159e+00,2.109410e+00,7.163877e-01,6.612065e-01,7.162667e-01,5.518120e-02,5.065101e-06,5.070093e-06,5.042169e-06,9.894399e+04,1.182966e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,1.216703e+00,2.439410e+00,7.164604e-01,6.612788e-01,7.163449e-01,5.518160e-02,5.078939e-06,5.083954e-06,5.056981e-06,9.894403e+04,1.182967e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,1.218165e+00,2.769410e+00,7.165333e-01,6.613512e-01,7.164188e-01,5.518210e-02,5.092846e-06,5.097867e-06,5.071013e-06,9.894398e+04,1.182967e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,1.100650e+00,2.207651e+00,5.908726e-01,5.165202e-01,5.907287e-01,7.435240e-02,5.070777e-06,5.075650e-06,5.050487e-06,1.009648e+05,1.206742e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,PASS,1.102039e+00,2.537651e+00,5.909579e-01,5.166051e-01,5.908200e-01,7.435280e-02,5.082842e-06,5.087723e-06,5.063349e-06,1.009646e+05,1.206740e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,PASS,1.103356e+00,2.867651e+00,5.910466e-01,5.166938e-01,5.909063e-01,7.435280e-02,5.095431e-06,5.100382e-06,5.075538e-06,1.009646e+05,1.206741e+04
sf,hbt_typ,mos_sf,res_typ,-40,2.97,PASS,1.239668e+00,2.141867e+00,7.900300e-01,7.476485e-01,7.899347e-01,4.238150e-02,5.070457e-06,5.075943e-06,5.046921e-06,8.911043e+04,1.066066e+04
sf,hbt_typ,mos_sf,res_typ,-40,3.30,PASS,1.241224e+00,2.471867e+00,7.900936e-01,7.477118e-01,7.900023e-01,4.238180e-02,5.086234e-06,5.091761e-06,5.063617e-06,8.911055e+04,1.066067e+04
sf,hbt_typ,mos_sf,res_typ,-40,3.63,PASS,1.242706e+00,2.801867e+00,7.901566e-01,7.477743e-01,7.900666e-01,4.238230e-02,5.101894e-06,5.107431e-06,5.079524e-06,8.911059e+04,1.066066e+04
sf,hbt_typ,mos_sf,res_typ,27,2.97,PASS,1.162792e+00,2.193132e+00,7.084448e-01,6.533033e-01,7.083329e-01,5.514150e-02,5.072545e-06,5.077874e-06,5.051269e-06,8.996929e+04,1.076098e+04
sf,hbt_typ,mos_sf,res_typ,27,3.30,PASS,1.164218e+00,2.523132e+00,7.085188e-01,6.533771e-01,7.084117e-01,5.514170e-02,5.086682e-06,5.092029e-06,5.066239e-06,8.996936e+04,1.076098e+04
sf,hbt_typ,mos_sf,res_typ,27,3.63,PASS,1.165575e+00,2.853132e+00,7.085933e-01,6.534511e-01,7.084864e-01,5.514220e-02,5.100923e-06,5.106289e-06,5.080489e-06,8.996941e+04,1.076099e+04
sf,hbt_typ,mos_sf,res_typ,125,2.97,PASS,1.044581e+00,2.289686e+00,5.802059e-01,5.058912e-01,5.800732e-01,7.431470e-02,5.078445e-06,5.083620e-06,5.059669e-06,9.180597e+04,1.097680e+04
sf,hbt_typ,mos_sf,res_typ,125,3.30,PASS,1.045863e+00,2.619686e+00,5.802927e-01,5.059776e-01,5.801649e-01,7.431510e-02,5.090756e-06,5.095942e-06,5.072632e-06,9.180601e+04,1.097681e+04
sf,hbt_typ,mos_sf,res_typ,125,3.63,PASS,1.047085e+00,2.949686e+00,5.803835e-01,5.060687e-01,5.802521e-01,7.431480e-02,5.103662e-06,5.108950e-06,5.084995e-06,9.180597e+04,1.097680e+04
fs,hbt_typ,mos_fs,res_typ,-40,2.97,PASS,1.239240e+00,2.085438e+00,7.900099e-01,7.476283e-01,7.899160e-01,4.238160e-02,5.065496e-06,5.070907e-06,5.042323e-06,8.911052e+04,1.066066e+04
fs,hbt_typ,mos_fs,res_typ,-40,3.30,PASS,1.240773e+00,2.415438e+00,7.900726e-01,7.476906e-01,7.899828e-01,4.238200e-02,5.081029e-06,5.086480e-06,5.058779e-06,8.911048e+04,1.066067e+04
fs,hbt_typ,mos_fs,res_typ,-40,3.63,PASS,1.242232e+00,2.745438e+00,7.901346e-01,7.477522e-01,7.900461e-01,4.238240e-02,5.096439e-06,5.101900e-06,5.074444e-06,8.911043e+04,1.066068e+04
fs,hbt_typ,mos_fs,res_typ,27,2.97,PASS,1.162365e+00,2.137387e+00,7.084196e-01,6.532780e-01,7.083092e-01,5.514160e-02,5.067750e-06,5.073008e-06,5.046783e-06,8.996935e+04,1.076097e+04
fs,hbt_typ,mos_fs,res_typ,27,3.30,PASS,1.163771e+00,2.467387e+00,7.084927e-01,6.533507e-01,7.083870e-01,5.514200e-02,5.081682e-06,5.086957e-06,5.061551e-06,8.996926e+04,1.076097e+04
fs,hbt_typ,mos_fs,res_typ,27,3.63,PASS,1.165109e+00,2.797387e+00,7.085660e-01,6.534237e-01,7.084608e-01,5.514230e-02,5.095711e-06,5.101005e-06,5.075598e-06,8.996934e+04,1.076098e+04
fs,hbt_typ,mos_fs,res_typ,125,2.97,PASS,1.044118e+00,2.235065e+00,5.801711e-01,5.058561e-01,5.800400e-01,7.431500e-02,5.073513e-06,5.078622e-06,5.054989e-06,9.180594e+04,1.097680e+04
fs,hbt_typ,mos_fs,res_typ,125,3.30,PASS,1.045384e+00,2.565065e+00,5.802568e-01,5.059414e-01,5.801307e-01,7.431540e-02,5.085657e-06,5.090775e-06,5.067792e-06,9.180592e+04,1.097682e+04
fs,hbt_typ,mos_fs,res_typ,125,3.63,PASS,1.046591e+00,2.895065e+00,5.803464e-01,5.060313e-01,5.802168e-01,7.431510e-02,5.098381e-06,5.103600e-06,5.079992e-06,9.180609e+04,1.097680e+04
