corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vpexfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,1.132681e+00,2.113651e+00,7.900261e-01,7.479544e-01,7.906098e-01,4.207170e-02,5.069504e-06,5.152853e-06,5.216066e-06,6.558031e+04,1.065928e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,1.133918e+00,2.443651e+00,7.900893e-01,7.480192e-01,7.906796e-01,4.207010e-02,5.085170e-06,5.169281e-06,5.233866e-06,6.558028e+04,1.065928e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,1.135107e+00,2.773651e+00,7.901518e-01,7.480832e-01,7.907465e-01,4.206860e-02,5.100716e-06,5.185560e-06,5.250982e-06,6.558021e+04,1.065927e+04
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,1.052288e+00,2.165255e+00,7.084392e-01,6.536121e-01,7.090250e-01,5.482710e-02,5.071478e-06,5.137422e-06,5.184335e-06,6.621158e+04,1.075958e+04
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,1.053414e+00,2.495255e+00,7.085128e-01,6.536874e-01,7.091060e-01,5.482540e-02,5.085521e-06,5.152054e-06,5.200126e-06,6.621147e+04,1.075959e+04
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,1.054498e+00,2.825255e+00,7.085867e-01,6.537631e-01,7.091837e-01,5.482360e-02,5.099664e-06,5.166795e-06,5.215321e-06,6.621151e+04,1.075959e+04
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,9.290284e-01,2.262368e+00,5.801963e-01,5.061808e-01,5.807426e-01,7.401550e-02,5.077081e-06,5.125019e-06,5.155051e-06,6.756205e+04,1.097541e+04
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,9.300353e-01,2.592368e+00,5.802826e-01,5.062689e-01,5.808365e-01,7.401370e-02,5.089313e-06,5.137686e-06,5.168565e-06,6.756204e+04,1.097543e+04
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,9.310095e-01,2.922368e+00,5.803728e-01,5.063616e-01,5.809271e-01,7.401120e-02,5.102133e-06,5.151040e-06,5.181644e-06,6.756203e+04,1.097543e+04
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,1.096290e+00,2.169966e+00,7.853120e-01,7.433443e-01,7.860255e-01,4.196770e-02,5.074825e-06,5.174617e-06,5.255145e-06,5.904014e+04,9.600826e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,PASS,1.097427e+00,2.499966e+00,7.853760e-01,7.434098e-01,7.860957e-01,4.196620e-02,5.090727e-06,5.191331e-06,5.273215e-06,5.904013e+04,9.600852e+03
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,PASS,1.098523e+00,2.829966e+00,7.854393e-01,7.434748e-01,7.861631e-01,4.196450e-02,5.106525e-06,5.207926e-06,5.290641e-06,5.904009e+04,9.600828e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,PASS,1.014103e+00,2.220889e+00,7.023263e-01,6.476071e-01,7.030570e-01,5.471920e-02,5.076682e-06,5.156553e-06,5.218188e-06,5.960805e+04,9.690892e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,PASS,1.015138e+00,2.550889e+00,7.024007e-01,6.476833e-01,7.031383e-01,5.471740e-02,5.090923e-06,5.171424e-06,5.234188e-06,5.960804e+04,9.690909e+03
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,PASS,1.016138e+00,2.880889e+00,7.024756e-01,6.477602e-01,7.032167e-01,5.471540e-02,5.105293e-06,5.186449e-06,5.249642e-06,5.960812e+04,9.690889e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,PASS,8.879891e-01,2.316882e+00,5.719878e-01,4.980840e-01,5.726943e-01,7.390380e-02,5.082531e-06,5.141761e-06,5.183787e-06,6.082326e+04,9.884824e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,PASS,8.889147e-01,2.646882e+00,5.720751e-01,4.981733e-01,5.727886e-01,7.390180e-02,5.094935e-06,5.154634e-06,5.197455e-06,6.082325e+04,9.884814e+03
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,8.898159e-01,2.976882e+00,5.721667e-01,4.982677e-01,5.728802e-01,7.389900e-02,5.107984e-06,5.168286e-06,5.210766e-06,6.082325e+04,9.884824e+03
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,1.170024e+00,2.057118e+00,7.961594e-01,7.539833e-01,7.966134e-01,4.217610e-02,5.064329e-06,5.131444e-06,5.177612e-06,7.212024e+04,1.171772e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,1.171358e+00,2.387118e+00,7.962218e-01,7.540472e-01,7.966828e-01,4.217460e-02,5.079756e-06,5.147583e-06,5.195145e-06,7.212026e+04,1.171773e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,1.172637e+00,2.717118e+00,7.962835e-01,7.541102e-01,7.967491e-01,4.217330e-02,5.095043e-06,5.163542e-06,5.211954e-06,7.212034e+04,1.171773e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,1.091902e+00,2.109410e+00,7.163947e-01,6.614587e-01,7.168358e-01,5.493600e-02,5.066438e-06,5.118588e-06,5.150955e-06,7.281489e+04,1.182826e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,1.093118e+00,2.439410e+00,7.164675e-01,6.615331e-01,7.169164e-01,5.493440e-02,5.080283e-06,5.132983e-06,5.166546e-06,7.281491e+04,1.182827e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,1.094283e+00,2.769410e+00,7.165404e-01,6.616076e-01,7.169934e-01,5.493280e-02,5.094196e-06,5.147437e-06,5.181491e-06,7.281487e+04,1.182827e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,9.721882e-01,2.207651e+00,5.908806e-01,5.167515e-01,5.912665e-01,7.412910e-02,5.071906e-06,5.108621e-06,5.126749e-06,7.430083e+04,1.206602e+04
