corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vpexfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,PASS,8.821215e-01,2.976882e+00,5.721585e-01,4.978794e-01,5.720675e-01,7.427910e-02,5.106814e-06,5.112382e-06,5.093853e-06,6.086827e+04,9.886214e+03
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,PASS,1.160088e+00,2.057118e+00,7.961532e-01,7.537298e-01,7.960773e-01,4.242340e-02,5.062804e-06,5.067921e-06,5.044122e-06,7.216532e+04,1.171911e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,PASS,1.161317e+00,2.387118e+00,7.962156e-01,7.537918e-01,7.961428e-01,4.242380e-02,5.078223e-06,5.083388e-06,5.060249e-06,7.216526e+04,1.171911e+04
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,PASS,1.162492e+00,2.717118e+00,7.962772e-01,7.538529e-01,7.962053e-01,4.242430e-02,5.093502e-06,5.098672e-06,5.075667e-06,7.216523e+04,1.171911e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,PASS,1.084110e+00,2.109410e+00,7.163877e-01,6.612065e-01,7.162986e-01,5.518120e-02,5.065101e-06,5.070093e-06,5.048194e-06,7.286000e+04,1.182966e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,PASS,1.085241e+00,2.439410e+00,7.164604e-01,6.612788e-01,7.163749e-01,5.518160e-02,5.078939e-06,5.083954e-06,5.062671e-06,7.285998e+04,1.182967e+04
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,PASS,1.086322e+00,2.769410e+00,7.165333e-01,6.613512e-01,7.164477e-01,5.518210e-02,5.092846e-06,5.097867e-06,5.076510e-06,7.285996e+04,1.182967e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,PASS,9.666470e-01,2.207651e+00,5.908726e-01,5.165202e-01,5.907667e-01,7.435240e-02,5.070777e-06,5.075650e-06,5.055836e-06,7.434583e+04,1.206742e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,PASS,9.676695e-01,2.537651e+00,5.909579e-01,5.166051e-01,5.908557e-01,7.435280e-02,5.082842e-06,5.087723e-06,5.068392e-06,7.434583e+04,1.206740e+04
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,PASS,9.686510e-01,2.867651e+00,5.910466e-01,5.166938e-01,5.909410e-01,7.435280e-02,5.095431e-06,5.100382e-06,5.080447e-06,7.434582e+04,1.206741e+04
sf,hbt_typ,mos_sf,res_typ,-40,2.97,PASS,1.121566e+00,2.141867e+00,7.900300e-01,7.476485e-01,7.899595e-01,4.238150e-02,5.070457e-06,5.075943e-06,5.053037e-06,6.562519e+04,1.066066e+04
sf,hbt_typ,mos_sf,res_typ,-40,3.30,PASS,1.122708e+00,2.471867e+00,7.900936e-01,7.477118e-01,7.900258e-01,4.238180e-02,5.086234e-06,5.091761e-06,5.069429e-06,6.562518e+04,1.066067e+04
sf,hbt_typ,mos_sf,res_typ,-40,3.63,PASS,1.123804e+00,2.801867e+00,7.901566e-01,7.477743e-01,7.900893e-01,4.238230e-02,5.101894e-06,5.107431e-06,5.085157e-06,6.562525e+04,1.066066e+04
sf,hbt_typ,mos_sf,res_typ,27,2.97,PASS,1.043409e+00,2.193132e+00,7.084448e-01,6.533033e-01,7.083621e-01,5.514150e-02,5.072545e-06,5.077874e-06,5.056814e-06,6.625652e+04,1.076098e+04
sf,hbt_typ,mos_sf,res_typ,27,3.30,PASS,1.044459e+00,2.523132e+00,7.085188e-01,6.533771e-01,7.084393e-01,5.514170e-02,5.086682e-06,5.092029e-06,5.071497e-06,6.625651e+04,1.076098e+04
sf,hbt_typ,mos_sf,res_typ,27,3.63,PASS,1.045467e+00,2.853132e+00,7.085933e-01,6.534511e-01,7.085132e-01,5.514220e-02,5.100923e-06,5.106289e-06,5.085597e-06,6.625649e+04,1.076099e+04
sf,hbt_typ,mos_sf,res_typ,125,2.97,PASS,9.225090e-01,2.289686e+00,5.802059e-01,5.058912e-01,5.801079e-01,7.431470e-02,5.078445e-06,5.083620e-06,5.064577e-06,6.760705e+04,1.097680e+04
sf,hbt_typ,mos_sf,res_typ,125,3.30,PASS,9.234578e-01,2.619686e+00,5.802927e-01,5.059776e-01,5.801977e-01,7.431510e-02,5.090756e-06,5.095942e-06,5.077283e-06,6.760704e+04,1.097681e+04
sf,hbt_typ,mos_sf,res_typ,125,3.63,PASS,9.243747e-01,2.949686e+00,5.803835e-01,5.060687e-01,5.802843e-01,7.431480e-02,5.103662e-06,5.108950e-06,5.089564e-06,6.760705e+04,1.097680e+04
fs,hbt_typ,mos_fs,res_typ,-40,2.97,PASS,1.121239e+00,2.085438e+00,7.900099e-01,7.476283e-01,7.899405e-01,4.238160e-02,5.065496e-06,5.070907e-06,5.048348e-06,6.562513e+04,1.066066e+04
fs,hbt_typ,mos_fs,res_typ,-40,3.30,PASS,1.122365e+00,2.415438e+00,7.900726e-01,7.476906e-01,7.900059e-01,4.238200e-02,5.081029e-06,5.086480e-06,5.064498e-06,6.562528e+04,1.066067e+04
fs,hbt_typ,mos_fs,res_typ,-40,3.63,PASS,1.123443e+00,2.745438e+00,7.901346e-01,7.477522e-01,7.900684e-01,4.238240e-02,5.096439e-06,5.101900e-06,5.079983e-06,6.562514e+04,1.066068e+04
fs,hbt_typ,mos_fs,res_typ,27,2.97,PASS,1.043083e+00,2.137387e+00,7.084196e-01,6.532780e-01,7.083380e-01,5.514160e-02,5.067750e-06,5.073008e-06,5.052249e-06,6.625663e+04,1.076097e+04
fs,hbt_typ,mos_fs,res_typ,27,3.30,PASS,1.044118e+00,2.467387e+00,7.084927e-01,6.533507e-01,7.084142e-01,5.514200e-02,5.081682e-06,5.086957e-06,5.066730e-06,6.625650e+04,1.076097e+04
fs,hbt_typ,mos_fs,res_typ,27,3.63,PASS,1.045112e+00,2.797387e+00,7.085660e-01,6.534237e-01,7.084871e-01,5.514230e-02,5.095711e-06,5.101005e-06,5.080626e-06,6.625658e+04,1.076098e+04
fs,hbt_typ,mos_fs,res_typ,125,2.97,PASS,9.221547e-01,2.235065e+00,5.801711e-01,5.058561e-01,5.800743e-01,7.431500e-02,5.073513e-06,5.078622e-06,5.059834e-06,6.760704e+04,1.097680e+04
fs,hbt_typ,mos_fs,res_typ,125,3.30,PASS,9.230916e-01,2.565065e+00,5.802568e-01,5.059414e-01,5.801631e-01,7.431540e-02,5.085657e-06,5.090775e-06,5.072378e-06,6.760705e+04,1.097682e+04
fs,hbt_typ,mos_fs,res_typ,125,3.63,PASS,9.239961e-01,2.895065e+00,5.803464e-01,5.060313e-01,5.802486e-01,7.431510e-02,5.098381e-06,5.103600e-06,5.084493e-06,6.760704e+04,1.097680e+04
