corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vpexfb_v,vbe_q1_v,vbe_q2_v,vbe_q3_v,dvbe_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
typ,hbt_typ,mos_tt,res_typ,-40,2.97,PASS,1.238510e+00,2.113651e+00,7.900199e-01,7.476383e-01,7.899255e-01,4.238160e-02,5.067955e-06,5.073416e-06,5.044646e-06,8.892289e+04,1.062160e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.30,PASS,1.240052e+00,2.443651e+00,7.900830e-01,7.477012e-01,7.899926e-01,4.238180e-02,5.083614e-06,5.089114e-06,5.061222e-06,8.892307e+04,1.062159e+04
typ,hbt_typ,mos_tt,res_typ,-40,3.63,PASS,1.241519e+00,2.773651e+00,7.901455e-01,7.477632e-01,7.900564e-01,4.238230e-02,5.099152e-06,5.104662e-06,5.077010e-06,8.892293e+04,1.062160e+04
typ,hbt_typ,mos_tt,res_typ,27,2.97,PASS,1.161633e+00,2.165255e+00,7.084320e-01,6.532906e-01,7.083211e-01,5.514140e-02,5.070122e-06,5.075425e-06,5.049041e-06,8.978178e+04,1.072190e+04
typ,hbt_typ,mos_tt,res_typ,27,3.30,PASS,1.163046e+00,2.495255e+00,7.085056e-01,6.533638e-01,7.083994e-01,5.514180e-02,5.084158e-06,5.089479e-06,5.063910e-06,8.978173e+04,1.072190e+04
typ,hbt_typ,mos_tt,res_typ,27,3.63,PASS,1.164391e+00,2.825255e+00,7.085795e-01,6.534374e-01,7.084737e-01,5.514210e-02,5.098295e-06,5.103635e-06,5.078059e-06,8.978180e+04,1.072189e+04
typ,hbt_typ,mos_tt,res_typ,125,2.97,PASS,1.043401e+00,2.262368e+00,5.801882e-01,5.058734e-01,5.800565e-01,7.431480e-02,5.075936e-06,5.081086e-06,5.057323e-06,9.161853e+04,1.093774e+04
typ,hbt_typ,mos_tt,res_typ,125,3.30,PASS,1.044672e+00,2.592368e+00,5.802745e-01,5.059593e-01,5.801477e-01,7.431520e-02,5.088164e-06,5.093324e-06,5.070205e-06,9.161845e+04,1.093773e+04
typ,hbt_typ,mos_tt,res_typ,125,3.63,PASS,1.045884e+00,2.922368e+00,5.803646e-01,5.060497e-01,5.802344e-01,7.431490e-02,5.100979e-06,5.106242e-06,5.082486e-06,9.161847e+04,1.093775e+04
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,PASS,1.189549e+00,2.169966e+00,7.853057e-01,7.429651e-01,7.852197e-01,4.234060e-02,5.073255e-06,5.079051e-06,5.051948e-06,8.003434e+04,9.563164e+03
