corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
bcs,bcs,mos_ff,res_bcs,-40,3.63,PASS,3.57495e-01,1.70496e-01,2.84334e+00,8.75057e-01,8.74964e-01,1.20013e+00,1.88517e-03,2.84324e-09,9.3e-05
bcs,bcs,mos_ff,res_bcs,27,2.97,PASS,2.93108e-01,1.33955e-01,2.21156e+00,7.82587e-01,7.82296e-01,1.19847e+00,3.12430e-03,2.21191e-09,0.000291
bcs,bcs,mos_ff,res_bcs,27,3.30,PASS,3.25669e-01,1.37007e-01,2.54178e+00,7.82607e-01,7.82356e-01,1.19888e+00,3.47555e-03,2.54216e-09,0.000251
bcs,bcs,mos_ff,res_bcs,27,3.63,PASS,3.58223e-01,1.22647e-01,2.87202e+00,7.82619e-01,7.82393e-01,1.19911e+00,3.82787e-03,2.87265e-09,0.000226
bcs,bcs,mos_ff,res_bcs,125,2.97,PASS,2.24043e-01,2.49461e-02,2.27011e+00,6.42452e-01,6.41965e-01,1.19197e+00,8.83299e-03,2.39457e-09,0.000487
bcs,bcs,mos_ff,res_bcs,125,3.30,PASS,1.90744e-01,3.46206e-02,2.60038e+00,6.42465e-01,6.42006e-01,1.19233e+00,9.86229e-03,2.74130e-09,0.000459
bcs,bcs,mos_ff,res_bcs,125,3.63,PASS,1.17753e-01,5.77527e-02,2.93071e+00,6.42464e-01,6.42003e-01,1.19233e+00,1.09036e-02,3.09093e-09,0.000461
wcs,wcs,mos_ss,res_wcs,-40,2.97,PASS,2.89524e-01,1.40760e-01,2.08732e+00,8.69945e-01,8.69792e-01,1.19471e+00,2.34819e-03,2.08758e-09,0.000153
wcs,wcs,mos_ss,res_wcs,-40,3.30,PASS,3.21695e-01,1.56156e-01,2.41750e+00,8.69969e-01,8.69863e-01,1.19515e+00,2.61217e-03,2.41740e-09,0.000106
wcs,wcs,mos_ss,res_wcs,-40,3.63,PASS,3.53867e-01,1.71497e-01,2.74770e+00,8.69988e-01,8.69921e-01,1.19548e+00,2.87711e-03,2.74757e-09,6.7e-05
wcs,wcs,mos_ss,res_wcs,27,2.97,PASS,2.90557e-01,1.41880e-01,2.12086e+00,7.78026e-01,7.77761e-01,1.19455e+00,5.67633e-03,2.12087e-09,0.000265
wcs,wcs,mos_ss,res_wcs,27,3.30,PASS,3.22843e-01,1.57098e-01,2.45106e+00,7.78049e-01,7.77829e-01,1.19501e+00,6.33507e-03,2.45095e-09,0.00022
wcs,wcs,mos_ss,res_wcs,27,3.63,PASS,3.55128e-01,1.71813e-01,2.78129e+00,7.78065e-01,7.77876e-01,1.19528e+00,7.00094e-03,2.78131e-09,0.000189
wcs,wcs,mos_ss,res_wcs,125,2.97,PASS,2.91462e-01,1.28058e-01,2.18746e+00,6.39178e-01,6.38734e-01,1.18950e+00,2.18841e-02,2.19995e-09,0.000444
wcs,wcs,mos_ss,res_wcs,125,3.30,PASS,3.23560e-01,1.23712e-01,2.51771e+00,6.39196e-01,6.38789e-01,1.18992e+00,2.50069e-02,2.53234e-09,0.000407
wcs,wcs,mos_ss,res_wcs,125,3.63,PASS,3.53721e-01,1.04338e-01,2.84802e+00,6.39200e-01,6.38802e-01,1.19000e+00,2.83570e-02,2.86531e-09,0.000398
sf,typ,mos_sf,res_typ,-40,2.97,PASS,2.91004e-01,1.41168e-01,2.16364e+00,8.72723e-01,8.72570e-01,1.19733e+00,2.19899e-03,2.16371e-09,0.000153
sf,typ,mos_sf,res_typ,-40,3.30,PASS,3.23339e-01,1.56601e-01,2.49384e+00,8.72745e-01,8.72635e-01,1.19773e+00,2.44572e-03,2.49392e-09,0.00011
sf,typ,mos_sf,res_typ,-40,3.63,PASS,3.55675e-01,1.71959e-01,2.82404e+00,8.72762e-01,8.72687e-01,1.19804e+00,2.69297e-03,2.82393e-09,7.5e-05
sf,typ,mos_sf,res_typ,27,2.97,PASS,2.91835e-01,1.42139e-01,2.19473e+00,7.80511e-01,7.80244e-01,1.19672e+00,4.98420e-03,2.19465e-09,0.000267
sf,typ,mos_sf,res_typ,27,3.30,PASS,3.24262e-01,1.56993e-01,2.52494e+00,7.80531e-01,7.80304e-01,1.19713e+00,5.55567e-03,2.52494e-09,0.000227
sf,typ,mos_sf,res_typ,27,3.63,PASS,3.56688e-01,1.70682e-01,2.85518e+00,7.80544e-01,7.80343e-01,1.19737e+00,6.13147e-03,2.85523e-09,0.000201
sf,typ,mos_sf,res_typ,125,2.97,PASS,2.89630e-01,1.22244e-01,2.25730e+00,6.40880e-01,6.40427e-01,1.19078e+00,1.73197e-02,2.27908e-09,0.000453
sf,typ,mos_sf,res_typ,125,3.30,PASS,3.11356e-01,1.07401e-01,2.58757e+00,6.40894e-01,6.40471e-01,1.19115e+00,1.95827e-02,2.61275e-09,0.000423
sf,typ,mos_sf,res_typ,125,3.63,PASS,3.15384e-01,8.91107e-02,2.91789e+00,6.40895e-01,6.40472e-01,1.19116e+00,2.19434e-02,2.94712e-09,0.000423
fs,typ,mos_fs,res_typ,-40,2.97,PASS,2.91010e-01,1.41149e-01,2.10763e+00,8.72716e-01,8.72548e-01,1.19723e+00,1.41004e-03,2.10774e-09,0.000168
fs,typ,mos_fs,res_typ,-40,3.30,PASS,3.23345e-01,1.56466e-01,2.43782e+00,8.72739e-01,8.72618e-01,1.19766e+00,1.56739e-03,2.43800e-09,0.000121
fs,typ,mos_fs,res_typ,-40,3.63,PASS,3.55680e-01,1.71452e-01,2.76802e+00,8.72758e-01,8.72675e-01,1.19799e+00,1.72489e-03,2.76812e-09,8.3e-05
fs,typ,mos_fs,res_typ,27,2.97,PASS,2.91833e-01,1.38842e-01,2.13895e+00,7.80502e-01,7.80216e-01,1.19659e+00,2.93733e-03,2.13914e-09,0.000286
fs,typ,mos_fs,res_typ,27,3.30,PASS,3.24255e-01,1.49401e-01,2.46916e+00,7.80524e-01,7.80283e-01,1.19704e+00,3.26775e-03,2.46922e-09,0.000241
fs,typ,mos_fs,res_typ,27,3.63,PASS,3.56671e-01,1.52900e-01,2.79939e+00,7.80539e-01,7.80328e-01,1.19731e+00,3.59929e-03,2.79955e-09,0.000211
fs,typ,mos_fs,res_typ,125,2.97,PASS,2.64512e-01,2.72863e-02,2.20191e+00,6.40870e-01,6.40397e-01,1.19064e+00,8.66918e-03,2.26616e-09,0.000473
fs,typ,mos_fs,res_typ,125,3.30,PASS,2.43693e-01,2.51248e-02,2.53217e+00,6.40887e-01,6.40449e-01,1.19106e+00,9.68580e-03,2.60482e-09,0.000438
fs,typ,mos_fs,res_typ,125,3.63,PASS,1.96668e-01,3.78234e-02,2.86249e+00,6.40890e-01,6.40459e-01,1.19112e+00,1.07158e-02,2.94488e-09,0.000431
