corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
bcs,bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.24019e-01,2.46588e-02,2.27011e+00,6.42452e-01,6.41965e-01,1.19197e+00,8.83299e-03,2.39456e-09,0.000487
bcs,bcs,mos_ff,res_bcs,125,3.30,10u,PASS,1.90694e-01,3.43866e-02,2.60038e+00,6.42465e-01,6.42006e-01,1.19233e+00,9.86229e-03,2.74129e-09,0.000459
bcs,bcs,mos_ff,res_bcs,125,3.63,10u,PASS,1.17695e-01,5.75914e-02,2.93071e+00,6.42464e-01,6.42003e-01,1.19233e+00,1.09036e-02,3.09092e-09,0.000461
wcs,wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.89546e-01,1.40493e-01,2.08732e+00,8.69945e-01,8.69792e-01,1.19471e+00,2.34819e-03,2.08758e-09,0.000153
wcs,wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,3.21719e-01,1.55857e-01,2.41750e+00,8.69969e-01,8.69863e-01,1.19515e+00,2.61216e-03,2.41740e-09,0.000106
wcs,wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,3.53892e-01,1.71165e-01,2.74770e+00,8.69988e-01,8.69921e-01,1.19548e+00,2.87712e-03,2.74758e-09,6.7e-05
wcs,wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.90576e-01,1.41622e-01,2.12086e+00,7.78026e-01,7.77761e-01,1.19455e+00,5.67634e-03,2.12088e-09,0.000265
wcs,wcs,mos_ss,res_wcs,27,3.30,10u,PASS,3.22864e-01,1.56806e-01,2.45106e+00,7.78049e-01,7.77829e-01,1.19501e+00,6.33507e-03,2.45095e-09,0.00022
wcs,wcs,mos_ss,res_wcs,27,3.63,10u,PASS,3.55151e-01,1.71481e-01,2.78129e+00,7.78065e-01,7.77876e-01,1.19528e+00,7.00094e-03,2.78132e-09,0.000189
wcs,wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.91485e-01,1.27892e-01,2.18746e+00,6.39178e-01,6.38734e-01,1.18950e+00,2.18841e-02,2.19994e-09,0.000444
wcs,wcs,mos_ss,res_wcs,125,3.30,10u,PASS,3.23587e-01,1.23369e-01,2.51771e+00,6.39196e-01,6.38789e-01,1.18992e+00,2.50069e-02,2.53232e-09,0.000407
wcs,wcs,mos_ss,res_wcs,125,3.63,10u,PASS,3.53700e-01,1.03760e-01,2.84802e+00,6.39200e-01,6.38802e-01,1.19000e+00,2.83570e-02,2.86529e-09,0.000398
sf,typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.91021e-01,1.40952e-01,2.16364e+00,8.72723e-01,8.72570e-01,1.19733e+00,2.19899e-03,2.16372e-09,0.000153
sf,typ,mos_sf,res_typ,-40,3.30,10u,PASS,3.23358e-01,1.56359e-01,2.49384e+00,8.72745e-01,8.72635e-01,1.19773e+00,2.44572e-03,2.49392e-09,0.00011
sf,typ,mos_sf,res_typ,-40,3.63,10u,PASS,3.55695e-01,1.71690e-01,2.82404e+00,8.72762e-01,8.72687e-01,1.19804e+00,2.69297e-03,2.82394e-09,7.5e-05
sf,typ,mos_sf,res_typ,27,2.97,10u,PASS,2.91850e-01,1.41933e-01,2.19473e+00,7.80511e-01,7.80244e-01,1.19672e+00,4.98420e-03,2.19465e-09,0.000267
sf,typ,mos_sf,res_typ,27,3.30,10u,PASS,3.24278e-01,1.56755e-01,2.52494e+00,7.80531e-01,7.80304e-01,1.19713e+00,5.55567e-03,2.52493e-09,0.000227
sf,typ,mos_sf,res_typ,27,3.63,10u,PASS,3.56706e-01,1.70400e-01,2.85518e+00,7.80544e-01,7.80343e-01,1.19737e+00,6.13147e-03,2.85524e-09,0.000201
sf,typ,mos_sf,res_typ,125,2.97,10u,PASS,2.89639e-01,1.22039e-01,2.25730e+00,6.40880e-01,6.40427e-01,1.19078e+00,1.73197e-02,2.27907e-09,0.000453
sf,typ,mos_sf,res_typ,125,3.30,10u,PASS,3.11267e-01,1.06929e-01,2.58757e+00,6.40894e-01,6.40471e-01,1.19115e+00,1.95827e-02,2.61274e-09,0.000423
sf,typ,mos_sf,res_typ,125,3.63,10u,PASS,3.15214e-01,8.83856e-02,2.91789e+00,6.40895e-01,6.40472e-01,1.19116e+00,2.19434e-02,2.94711e-09,0.000423
fs,typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.91025e-01,1.40848e-01,2.10763e+00,8.72716e-01,8.72548e-01,1.19723e+00,1.41004e-03,2.10774e-09,0.000168
fs,typ,mos_fs,res_typ,-40,3.30,10u,PASS,3.23362e-01,1.56130e-01,2.43782e+00,8.72739e-01,8.72618e-01,1.19766e+00,1.56739e-03,2.43799e-09,0.000121
fs,typ,mos_fs,res_typ,-40,3.63,10u,PASS,3.55699e-01,1.71075e-01,2.76802e+00,8.72758e-01,8.72675e-01,1.19799e+00,1.72490e-03,2.76813e-09,8.3e-05
fs,typ,mos_fs,res_typ,27,2.97,10u,PASS,2.91846e-01,1.38515e-01,2.13895e+00,7.80502e-01,7.80216e-01,1.19659e+00,2.93733e-03,2.13914e-09,0.000286
fs,typ,mos_fs,res_typ,27,3.30,10u,PASS,3.24270e-01,1.48987e-01,2.46916e+00,7.80524e-01,7.80283e-01,1.19704e+00,3.26775e-03,2.46923e-09,0.000241
fs,typ,mos_fs,res_typ,27,3.63,10u,PASS,3.56687e-01,1.52324e-01,2.79939e+00,7.80539e-01,7.80328e-01,1.19731e+00,3.59935e-03,2.79969e-09,0.000211
fs,typ,mos_fs,res_typ,125,2.97,10u,PASS,2.64285e-01,2.69863e-02,2.20191e+00,6.40870e-01,6.40397e-01,1.19064e+00,8.66918e-03,2.26615e-09,0.000473
fs,typ,mos_fs,res_typ,125,3.30,10u,PASS,2.43481e-01,2.49789e-02,2.53217e+00,6.40887e-01,6.40449e-01,1.19106e+00,9.68580e-03,2.60481e-09,0.000438
fs,typ,mos_fs,res_typ,125,3.63,10u,PASS,1.96676e-01,3.77715e-02,2.86249e+00,6.40890e-01,6.40459e-01,1.19112e+00,1.07158e-02,2.94487e-09,0.000431
