corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,iq_2ms_a,iq_3ms_a,iq_avg_a,iq_settle_delta_a
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.13653e+00,7.84591e-01,7.84575e-01,3.51782e-03,2.13653e-09,1.6e-05,2.19835e-05,2.19835e-05,2.19835e-05,0
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,2.46669e+00,7.84618e-01,7.84662e-01,3.91764e-03,2.46670e-09,4.4e-05,2.24086e-05,2.24086e-05,2.24086e-05,0
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,2.79688e+00,7.84639e-01,7.84735e-01,4.31957e-03,2.79688e-09,9.6e-05,2.28445e-05,2.28445e-05,2.28445e-05,0
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.16596e+00,7.08244e-01,7.08110e-01,7.62283e-03,2.16605e-09,0.000134,2.79622e-05,2.79622e-05,2.79622e-05,0
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,2.49615e+00,7.08270e-01,7.08195e-01,8.52621e-03,2.49625e-09,7.5e-05,2.84089e-05,2.84089e-05,2.84089e-05,0
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,2.82638e+00,7.08288e-01,7.08256e-01,9.44360e-03,2.82649e-09,3.2e-05,2.88647e-05,2.88647e-05,2.88647e-05,0
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.22496e+00,5.90056e-01,5.89731e-01,2.27525e-02,2.26913e-09,0.000325,3.66027e-05,3.66027e-05,3.66027e-05,0
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.55520e+00,5.90077e-01,5.89802e-01,2.59927e-02,2.60720e-09,0.000275,3.70767e-05,3.70767e-05,3.70767e-05,0
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.88551e+00,5.90083e-01,5.89828e-01,2.94677e-02,2.94724e-09,0.000255,3.75557e-05,3.75557e-05,3.75557e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.18432e+00,7.81897e-01,7.81863e-01,2.68235e-03,2.18433e-09,3.4e-05,2.46659e-05,2.46659e-05,2.46659e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51450e+00,7.81922e-01,7.81945e-01,2.98400e-03,2.51450e-09,2.3e-05,2.51636e-05,2.51636e-05,2.51636e-05,0
