corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,iq_2ms_a,iq_3ms_a,iq_avg_a,iq_settle_delta_a
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84468e+00,7.81942e-01,7.82014e-01,3.28652e-03,2.84469e-09,7.2e-05,2.56752e-05,2.56752e-05,2.56752e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.21112e+00,7.04780e-01,7.04622e-01,5.38953e-03,2.21153e-09,0.000158,3.13478e-05,3.13478e-05,3.13478e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.54131e+00,7.04803e-01,7.04700e-01,6.00730e-03,2.54181e-09,0.000103,3.18744e-05,3.18744e-05,3.18744e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.87155e+00,7.04819e-01,7.04755e-01,6.62963e-03,2.87213e-09,6.4e-05,3.24131e-05,3.24131e-05,3.24131e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26582e+00,5.85443e-01,5.85084e-01,1.45455e-02,2.40376e-09,0.000359,4.10234e-05,4.10234e-05,4.10234e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59607e+00,5.85462e-01,5.85147e-01,1.63492e-02,2.75457e-09,0.000315,4.15896e-05,4.15896e-05,4.15896e-05,0
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92639e+00,5.85465e-01,5.85163e-01,1.82033e-02,3.10937e-09,0.000302,4.21632e-05,4.21632e-05,4.21632e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08775e+00,7.88907e-01,7.88906e-01,5.96919e-03,2.08776e-09,1e-06,1.98766e-05,1.98766e-05,1.98766e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41792e+00,7.88935e-01,7.88999e-01,6.67460e-03,2.41792e-09,6.4e-05,2.02518e-05,2.02518e-05,2.02518e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74809e+00,7.88958e-01,7.89077e-01,7.39034e-03,2.74810e-09,0.000119,2.06354e-05,2.06354e-05,2.06354e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11958e+00,7.13815e-01,7.13699e-01,1.49060e-02,2.11960e-09,0.000116,2.52925e-05,2.52925e-05,2.52925e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44977e+00,7.13842e-01,7.13791e-01,1.69359e-02,2.44979e-09,5.1e-05,2.56848e-05,2.56848e-05,2.56848e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77998e+00,7.13863e-01,7.13859e-01,1.90796e-02,2.78001e-09,4e-06,2.60837e-05,2.60837e-05,2.60837e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18247e+00,5.97498e-01,5.97201e-01,5.85812e-02,2.20650e-09,0.000297,3.31015e-05,3.31015e-05,3.31015e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51269e+00,5.97522e-01,5.97282e-01,7.65009e-02,2.54977e-09,0.00024,3.35083e-05,3.35083e-05,3.35083e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84298e+00,5.97532e-01,5.97320e-01,1.06621e-01,2.91552e-09,0.000212,3.39124e-05,3.39124e-05,3.39124e-05,0
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16474e+00,7.84543e-01,7.84535e-01,5.09531e-03,2.16474e-09,8e-06,2.19489e-05,2.19489e-05,2.19489e-05,0
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49491e+00,7.84569e-01,7.84620e-01,5.68607e-03,2.49491e-09,5.1e-05,2.23705e-05,2.23705e-05,2.23705e-05,0
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82510e+00,7.84589e-01,7.84691e-01,6.28270e-03,2.82510e-09,0.000102,2.28038e-05,2.28038e-05,2.28038e-05,0
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19407e+00,7.08197e-01,7.08073e-01,1.19836e-02,2.19411e-09,0.000124,2.79278e-05,2.79278e-05,2.79278e-05,0
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52426e+00,7.08222e-01,7.08155e-01,1.35050e-02,2.52431e-09,6.7e-05,2.83711e-05,2.83711e-05,2.83711e-05,0
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85449e+00,7.08239e-01,7.08213e-01,1.50784e-02,2.85455e-09,2.6e-05,2.88246e-05,2.88246e-05,2.88246e-05,0
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25290e+00,5.90010e-01,5.89697e-01,4.25949e-02,2.28716e-09,0.000313,3.65596e-05,3.65596e-05,3.65596e-05,0
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58314e+00,5.90030e-01,5.89764e-01,5.14322e-02,2.62788e-09,0.000266,3.70276e-05,3.70276e-05,3.70276e-05,0
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91346e+00,5.90035e-01,5.89786e-01,6.27082e-02,2.97490e-09,0.000249,3.75006e-05,3.75006e-05,3.75006e-05,0
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10833e+00,7.84640e-01,7.84614e-01,2.57025e-03,2.10833e-09,2.6e-05,2.20195e-05,2.20195e-05,2.20195e-05,0
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43849e+00,7.84667e-01,7.84704e-01,2.85957e-03,2.43850e-09,3.7e-05,2.24482e-05,2.24482e-05,2.24482e-05,0
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76867e+00,7.84690e-01,7.84780e-01,3.14979e-03,2.76868e-09,9e-05,2.2887e-05,2.2887e-05,2.2887e-05,0
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13786e+00,7.08292e-01,7.08146e-01,5.28177e-03,2.13804e-09,0.000146,2.79971e-05,2.79971e-05,2.79971e-05,0
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46805e+00,7.08319e-01,7.08234e-01,5.88956e-03,2.46825e-09,8.5e-05,2.84472e-05,2.84472e-05,2.84472e-05,0
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79827e+00,7.08338e-01,7.08299e-01,6.50244e-03,2.79851e-09,3.9e-05,2.89055e-05,2.89055e-05,2.89055e-05,0
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19701e+00,5.90101e-01,5.89764e-01,1.45147e-02,2.26831e-09,0.000337,3.66404e-05,3.66404e-05,3.66404e-05,0
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52724e+00,5.90124e-01,5.89840e-01,1.63409e-02,2.60907e-09,0.000284,3.71183e-05,3.71183e-05,3.71183e-05,0
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85754e+00,5.90132e-01,5.89871e-01,1.82258e-02,2.95188e-09,0.000261,3.75999e-05,3.75999e-05,3.75999e-05,0
