corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,iq_2ms_a,iq_3ms_a,iq_avg_a,iq_settle_delta_a
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74687e+00,7.89267e-01,7.89197e-01,7.35424e-03,2.74704e-09,7e-05,2.07232e-05,2.07232e-05,2.07232e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11837e+00,7.14125e-01,7.13851e-01,1.48118e-02,2.11840e-09,0.000274,2.53866e-05,2.53866e-05,2.53866e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44858e+00,7.14147e-01,7.13919e-01,1.68269e-02,2.44860e-09,0.000228,2.57699e-05,2.57699e-05,2.57699e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77881e+00,7.14162e-01,7.13964e-01,1.89541e-02,2.77883e-09,0.000198,2.61603e-05,2.61602e-05,2.61603e-05,1e-10
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18140e+00,5.97767e-01,5.97305e-01,5.79940e-02,2.20518e-09,0.000462,3.31668e-05,3.31668e-05,3.31668e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51166e+00,5.97785e-01,5.97359e-01,7.55202e-02,2.54806e-09,0.000426,3.35638e-05,3.35638e-05,3.35638e-05,0
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84197e+00,5.97789e-01,5.97371e-01,1.04693e-01,2.91191e-09,0.000418,3.39586e-05,3.39586e-05,3.39586e-05,0
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16284e+00,7.85020e-01,7.84864e-01,5.06485e-03,2.16295e-09,0.000156,2.21638e-05,2.21638e-05,2.21638e-05,0
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49303e+00,7.85041e-01,7.84928e-01,5.65203e-03,2.49295e-09,0.000113,2.25789e-05,2.25789e-05,2.25789e-05,0
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82323e+00,7.85057e-01,7.84980e-01,6.24510e-03,2.82324e-09,7.7e-05,2.30062e-05,2.30062e-05,2.30062e-05,0
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19223e+00,7.08665e-01,7.08390e-01,1.18932e-02,2.19224e-09,0.000275,2.81307e-05,2.81307e-05,2.81307e-05,0
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52245e+00,7.08685e-01,7.08450e-01,1.34019e-02,2.52247e-09,0.000235,2.85664e-05,2.85664e-05,2.85664e-05,0
