corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.91005e-01,1.09690e-01,2.13653e+00,7.84591e-01,7.84575e-01,1.04758e+00,3.51782e-03,2.13653e-09,1.6e-05
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,3.23340e-01,1.21551e-01,2.46669e+00,7.84618e-01,7.84662e-01,1.04804e+00,3.91764e-03,2.46670e-09,4.4e-05
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,3.55676e-01,1.33291e-01,2.79688e+00,7.84639e-01,7.84735e-01,1.04840e+00,4.31957e-03,2.79688e-09,9.6e-05
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.91836e-01,1.09880e-01,2.16596e+00,7.08244e-01,7.08110e-01,1.04901e+00,7.62283e-03,2.16605e-09,0.000134
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,3.24263e-01,1.20322e-01,2.49615e+00,7.08270e-01,7.08195e-01,1.04947e+00,8.52621e-03,2.49625e-09,7.5e-05
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,3.56689e-01,1.28547e-01,2.82638e+00,7.08288e-01,7.08256e-01,1.04977e+00,9.44360e-03,2.82649e-09,3.2e-05
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.89307e-01,5.25064e-02,2.22496e+00,5.90056e-01,5.89731e-01,1.04747e+00,2.27525e-02,2.26913e-09,0.000325
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,2.93102e-01,3.31086e-02,2.55520e+00,5.90077e-01,5.89802e-01,1.04790e+00,2.59927e-02,2.60720e-09,0.000275
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.86485e-01,2.91377e-02,2.88551e+00,5.90083e-01,5.89828e-01,1.04801e+00,2.94677e-02,2.94724e-09,0.000255
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.92493e-01,1.09978e-01,2.18432e+00,7.81897e-01,7.81863e-01,1.04507e+00,2.68235e-03,2.18433e-09,3.4e-05
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,3.24993e-01,1.21590e-01,2.51450e+00,7.81922e-01,7.81945e-01,1.04550e+00,2.98400e-03,2.51450e-09,2.3e-05
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,3.57492e-01,1.32461e-01,2.84468e+00,7.81942e-01,7.82014e-01,1.04584e+00,3.28652e-03,2.84469e-09,7.2e-05
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.93116e-01,1.04089e-01,2.21112e+00,7.04780e-01,7.04622e-01,1.04567e+00,5.38953e-03,2.21153e-09,0.000158
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,3.25682e-01,1.06144e-01,2.54131e+00,7.04803e-01,7.04700e-01,1.04610e+00,6.00730e-03,2.54181e-09,0.000103
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,3.58247e-01,9.47451e-02,2.87155e+00,7.04819e-01,7.04755e-01,1.04637e+00,6.62963e-03,2.87213e-09,6.4e-05
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.32204e-01,1.95804e-02,2.26582e+00,5.85443e-01,5.85084e-01,1.04289e+00,1.45455e-02,2.40376e-09,0.000359
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.07080e-01,2.72562e-02,2.59607e+00,5.85462e-01,5.85147e-01,1.04328e+00,1.63492e-02,2.75457e-09,0.000315
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,1.47853e-01,4.73840e-02,2.92639e+00,5.85465e-01,5.85163e-01,1.04335e+00,1.82033e-02,3.10937e-09,0.000302
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.89524e-01,1.09281e-01,2.08775e+00,7.88907e-01,7.88906e-01,1.05162e+00,5.96919e-03,2.08776e-09,1e-06
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,3.21695e-01,1.21122e-01,2.41792e+00,7.88935e-01,7.88999e-01,1.05210e+00,6.67460e-03,2.41792e-09,6.4e-05
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,3.53866e-01,1.32899e-01,2.74809e+00,7.88958e-01,7.89077e-01,1.05249e+00,7.39034e-03,2.74810e-09,0.000119
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.90558e-01,1.10414e-01,2.11958e+00,7.13815e-01,7.13699e-01,1.05435e+00,1.49060e-02,2.11960e-09,0.000116
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,3.22844e-01,1.22135e-01,2.44977e+00,7.13842e-01,7.13791e-01,1.05484e+00,1.69359e-02,2.44979e-09,5.1e-05
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,3.55130e-01,1.33448e-01,2.77998e+00,7.13863e-01,7.13859e-01,1.05518e+00,1.90796e-02,2.78001e-09,4e-06
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.91757e-01,1.01004e-01,2.18247e+00,5.97498e-01,5.97201e-01,1.05477e+00,5.85812e-02,2.20650e-09,0.000297
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,3.24141e-01,9.67984e-02,2.51269e+00,5.97522e-01,5.97282e-01,1.05524e+00,7.65009e-02,2.54977e-09,0.00024
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,3.56227e-01,7.91180e-02,2.84298e+00,5.97532e-01,5.97320e-01,1.05541e+00,1.06621e-01,2.91553e-09,0.000212
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.91003e-01,1.09807e-01,2.16474e+00,7.84543e-01,7.84535e-01,1.04787e+00,5.09531e-03,2.16474e-09,8e-06
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,3.23338e-01,1.21700e-01,2.49491e+00,7.84569e-01,7.84620e-01,1.04831e+00,5.68607e-03,2.49491e-09,5.1e-05
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,3.55674e-01,1.33516e-01,2.82510e+00,7.84589e-01,7.84691e-01,1.04866e+00,6.28270e-03,2.82510e-09,0.000102
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.91836e-01,1.10853e-01,2.19407e+00,7.08197e-01,7.08073e-01,1.04931e+00,1.19836e-02,2.19411e-09,0.000124
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,3.24264e-01,1.22328e-01,2.52426e+00,7.08222e-01,7.08155e-01,1.04975e+00,1.35050e-02,2.52431e-09,6.7e-05
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,3.56692e-01,1.32901e-01,2.85449e+00,7.08239e-01,7.08213e-01,1.05004e+00,1.50784e-02,2.85455e-09,2.6e-05
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.91635e-01,9.72071e-02,2.25290e+00,5.90010e-01,5.89697e-01,1.04777e+00,4.25949e-02,2.28716e-09,0.000313
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,3.16084e-01,7.93066e-02,2.58314e+00,5.90030e-01,5.89764e-01,1.04818e+00,5.14322e-02,2.62788e-09,0.000266
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,3.21684e-01,5.76490e-02,2.91346e+00,5.90035e-01,5.89786e-01,1.04828e+00,6.27082e-02,2.97490e-09,0.000249
